area,files,bytes
.,5,29228
.vscode,1,135
Pool_boiling/Subcooling_20_degrees/0.3/2024.11.12_1_2.13_1,3336,149552596157
Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2,301231,43996124793
Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3,344872,37984258619
Pool_boiling/Subcooling_20_degrees/0.3/2025.07.09_0.3_1,253486,28888342414
Pool_boiling/Subcooling_20_degrees/0.3/非沸騰領域のグラフ,4,141175
archive,1,19034
archive/code,70,389662095
code,19,2873343
code/6-class classification,6,42242
code/__pycache__,16,129471
code/dBdata,10,51384
code/data_division,4,7928
code/logs,2,185265
code/regression_analysis,14,107880
code/trush_box,38,148296
code/utils,74,594840
code/various_feature_values,8,379733
configs,1,1067
configs/datasets,2,3420
configs/experiments,3,5259
docs,8,46272
docs/notes,3,6193
docs/progress,2,9534
docs/research_plan,20,301335
experiments,36,124270
experiments/2026-07-24_noise_shortcut_diagnostic,18,5679409
experiments/2026-08-17_waterflow_dataset_snapshot,5,42271
experiments/2026-09-02_selected_log_architecture,9,253551
experiments/2026-09-14_generalization_and_layout,8,440150
experiments/2026-09-14_noise_trend_graphs,20,1051746
experiments/2026-09-14_remove_prediction_max,4,1524703
experiments/2026-09-14_status_audit,10,1996257
experiments/_template,1,529
experiments/run_logs,37,5659115
logs,3,2173127
logs/train,32,2964027
logs/validation,27,151396
templates,2,19351
tests,8,48333
tests/__pycache__,8,49004
trush_box/2026-06-29_conformer_cleanup,6,262169
water_flow,4,42382048
白金計算,2,278050
研究進捗報告,10,93233706
研究進捗報告/2024,76,265714696
研究進捗報告/2025,83,335996300
研究進捗報告/2026,36,172037196
研究進捗報告/原子力学会,13,93461551
研究進捗報告/音響工学特論,40,47107533
