directory,extension,files
[root],,1
[root],.md,2
[root],.xlsx,1
[root],.py,1
.vscode,.json,1
archive,.py,55
archive,.ipynb,8
archive,.v2,2
archive,.pyc,6
code,.ipynb,7
code,.py,88
code,.md,2
code,.pyc,92
code,.v2,2
configs,.md,1
configs,.yaml,5
docs,.md,33
experiments,.md,42
experiments,.csv,38
experiments,.json,11
experiments,.yaml,1
experiments,.png,9
experiments,.py,3
experiments,.pdf,6
experiments,.pyc,1
experiments,.log,37
logs,.log,3
logs,.v2,59
Pool_boiling,.h5,816
Pool_boiling,.txt,1873
Pool_boiling,.png,390318
Pool_boiling,.wav,257
Pool_boiling,.csv,148736
Pool_boiling,.xlsx,3
Pool_boiling,.json,1787
Pool_boiling,.npy,359067
Pool_boiling,.pdf,36
Pool_boiling,.mp4,36
templates,.md,2
tests,.py,8
tests,.pyc,8
trush_box,.log,1
trush_box,.json,2
trush_box,.txt,2
trush_box,.png,1
water_flow,.wav,4
白金計算,.xlsx,2
研究進捗報告,.pptx,45
研究進捗報告,.pdf,92
研究進捗報告,.docx,61
研究進捗報告,.xlsx,4
研究進捗報告,.jpg,15
研究進捗報告,.png,16
研究進捗報告,.md,9
研究進捗報告,.mp4,1
研究進捗報告,.txt,1
研究進捗報告,.py,3
研究進捗報告,.wav,5
研究進捗報告,.ipynb,6
