experiment_name,max_freq_hz,noise_dir_name,r2_mean,rmse_all_mean,rmse_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,epochs_completed
2025.06.11_0.3_2,maxfreq=2kHz,heatflux_no_noise,-0.388288468,281100.7767,269431.3218,0.9720760666,0.9851466941,0.6212962963,0.8574074074,0.5688002474,0.5871562764,169|111|163
2025.06.11_0.3_2,maxfreq=2kHz,heatflux_SNR=0,-1.25951002,332248.1008,289840.899,0.997748436,0.9983136522,0.637037037,0.7055555556,0.8754208754,0.734379167,234|260|267
2025.06.11_0.3_2,maxfreq=2kHz,heatflux_SNR=-4,-0.08571824511,257059.3724,198200.3145,0.999989608,0.9999915402,0.6351851852,0.6981481481,0.8899676375,0.7390129907,86|219|184
2025.06.11_0.3_2,maxfreq=2kHz,heatflux_SNR=-8,0.3211304309,205793.6275,126436.8639,1.0,1.0,0.6444444444,0.7074074074,0.8843537415,0.7425720235,278|160|181
2025.06.11_0.3_2,maxfreq=2kHz,heatflux_SNR=-12,0.7261752026,139218.5173,24835.76637,1.0,1.0,0.8962962963,1.0,0.8107401537,0.8892946376,158|257
2025.06.11_0.3_2,maxfreq=2kHz,heatflux_SNR=-16,0.7693495412,126961.2286,57228.09502,1.0,1.0,0.7546296296,0.8574074074,0.8123582766,0.7994107324,188|165|173
2025.06.11_0.3_2,maxfreq=2kHz,heatflux_SNR=-20,0.7355686188,133484.635,45879.56905,1.0,1.0,0.7731481481,0.8481481481,0.8646170442,0.822417532,220|135|138
2025.06.11_0.3_2,maxfreq=3kHz,heatflux_no_noise,0.7689755899,127374.7055,117025.3244,0.9755081932,0.9871653017,0.8277777778,1.0,0.6891307567,0.8123394509,120|191|220
2025.06.11_0.3_2,maxfreq=3kHz,heatflux_SNR=0,0.7619436554,130449.2013,69838.77095,0.9809855888,0.9896892623,0.8416666667,1.0,0.7141599603,0.8326452443,160|222|140
2025.06.11_0.3_2,maxfreq=3kHz,heatflux_SNR=-4,0.6796189024,143550.3004,88862.58333,0.9913777545,0.9951648158,0.7425925926,0.8481481481,0.811218986,0.7910559465,196|171|265
2025.06.11_0.3_2,maxfreq=3kHz,heatflux_SNR=-8,0.4725042539,176120.6664,154464.6791,0.9994881411,0.9996300946,0.7157407407,0.85,0.7584373555,0.7543869909,243|167|95
2025.06.11_0.3_2,maxfreq=3kHz,heatflux_SNR=-12,0.6480490278,146628.3493,85529.85173,1.0,1.0,0.7509259259,0.8481481481,0.8263705011,0.8016754155,184|264|214
