experiment_name,test_noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,3,0.8286107911740318,0.03899674719191928,109556.16766222804,8553.088425695732,89084.64472116223,15528.564543256207,0.9573661270626355,0.019805511745233706
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.8755940795950208,0.01662877370250205,94066.18309958019,9120.925097517336,78455.67689924904,11063.459754788266,0.9476751068110064,0.013965574333707402
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,3,0.8864483868738641,0.05481659335696573,88293.7814652762,22680.0761307438,70967.04356387972,13560.099750525822,0.9484138368648849,0.028076835968834094
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,3,0.8711790115344803,0.022771154372703516,96114.42648341872,10750.623998237419,73978.54097974556,7612.681178777853,0.9644379471885675,0.005116939843561449
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.8670474551224728,0.04749936731797965,96911.60857127287,20921.915219536702,72597.76171948863,20379.266774863045,0.9401215740928589,0.017188164317789797
2025.06.18_0.3_3,no_noise,kfold,total_power_only,3,0.9117683688711041,0.05333106898437127,77708.26725035557,26143.32025597601,48541.50261168506,19301.382736190524,0.9571209152674559,0.03012755752847946
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,0.6588616756209478,0.14195680710875203,152074.9670063846,29306.31385938218,129577.12373891224,33988.95071885427,0.887085873835321,0.07689741570549849
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,0.5242457728407535,0.279811527486856,179015.19010085947,50883.8079247177,147392.88842696778,34615.644605584115,0.8309868498488054,0.08882207846750546
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,3,0.5124989918707913,0.3283664587854519,179635.65446684152,60239.71440790016,142656.03325807888,47576.655954358495,0.8975696965861891,0.031130340043800057
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.7496384792797529,0.03108564919135441,133895.36541193168,6505.40410287396,110819.65608252333,6149.913636347977,0.9172048722628746,0.007579136602875421
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,0.45753764691781235,0.45166840983552914,188767.9219057191,85279.18503555666,154701.54059141225,84600.18612141264,0.8964504276305855,0.013628117306789858
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,3,0.4447580992887568,0.14159019268523887,199042.8871064424,30531.26653879795,146383.94637585667,34955.45014654163,0.9016037299042697,0.015297282733120282
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,0.6566674628889688,0.14378422283660333,152535.28831544417,29811.71687056834,130010.68797502333,34682.30455465244,0.8869614384640688,0.0748017361266519
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,0.4062105202415817,0.441980261399122,196573.1207042842,70507.95708580576,159842.5227505789,53886.71537628701,0.7967931498062929,0.14308010634013013
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,3,0.4684764639710404,0.3527420254570157,187632.35627848588,64731.695408071304,149117.5745880789,52572.78062632603,0.8963543678606113,0.03433127561523705
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.7473588689154709,0.033465667538564815,134471.84806413026,7045.571227488466,111342.92639502336,6486.720902987475,0.916210989651081,0.008464558045134579
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,0.4009571797567244,0.39522268092831614,202082.63505413078,72431.1218700284,164818.04489307888,72115.01308432904,0.8714251113994415,0.002505177169225718
