experiment_name,noise_level,count,mean_db,std_db
2025.06.18_0.3_3,no_noise,0,nan,nan
2025.06.18_0.3_3,reference_SNR=0,90,7.598836611131931,19.1463951997432
2025.06.18_0.3_3,reference_SNR=-4,90,3.5988366111319308,19.1463951997432
2025.06.18_0.3_3,reference_SNR=-8,90,-0.4011633888680691,19.1463951997432
2025.06.18_0.3_3,reference_SNR=-12,90,-4.401163388868069,19.1463951997432
2025.06.18_0.3_3,reference_SNR=-16,90,-8.401163388868072,19.1463951997432
2025.06.18_0.3_3,reference_SNR=-20,90,-12.401163388868069,19.1463951997432
2025.07.09_0.3_1,no_noise,0,nan,nan
2025.07.09_0.3_1,reference_SNR=0,65,3.9959300719751267,12.466918408879065
2025.07.09_0.3_1,reference_SNR=-4,65,-0.004069928024873912,12.466918408879065
2025.07.09_0.3_1,reference_SNR=-8,65,-4.004069928024873,12.466918408879065
2025.07.09_0.3_1,reference_SNR=-12,65,-8.004069928024874,12.466918408879065
2025.07.09_0.3_1,reference_SNR=-16,65,-12.004069928024876,12.466918408879065
2025.07.09_0.3_1,reference_SNR=-20,65,-16.004069928024872,12.466918408879065
2025.06.11_0.3_2,no_noise,0,nan,nan
2025.06.11_0.3_2,reference_SNR=0,90,10.286044082078538,18.2539283850488
2025.06.11_0.3_2,reference_SNR=-4,90,6.286044082078537,18.253928385048802
2025.06.11_0.3_2,reference_SNR=-8,90,2.286044082078538,18.2539283850488
2025.06.11_0.3_2,reference_SNR=-12,90,-1.7139559179214612,18.2539283850488
2025.06.11_0.3_2,reference_SNR=-16,90,-5.7139559179214645,18.2539283850488
2025.06.11_0.3_2,reference_SNR=-20,90,-9.713955917921462,18.2539283850488
