experiment_name,noise_level,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,no_noise,kfold,total_power_only,1,60,30,0.9279246360570041,69690.1863372926,40149.98975468012,0.9664525084700899
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,1,60,30,0.8881589970176365,86811.79382269458,68178.46429346967,0.9678110924987161
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,1,60,30,0.9247752474840343,71196.49068264561,48515.58574788634,0.9616799585259889
2025.06.18_0.3_3,no_noise,kfold,total_power_only,2,60,30,0.8522272952923826,106921.59261759631,70618.261794702,0.9234316669614011
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,2,60,30,0.86348752617804,102767.18873370902,82455.29719921401,0.9569557130909639
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8368087162120106,112361.30829217454,85242.71464194317,0.9247005218100582
2025.06.18_0.3_3,no_noise,kfold,total_power_only,3,60,30,0.9551531752639257,56513.02279617776,34856.25628567306,0.981478570370877
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,3,60,30,0.8459908556633999,104726.34385704779,82797.31333196968,0.9616869918254443
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,3,60,30,0.8424911868705256,105909.54871325886,82085.50554774051,0.9331928847174941
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,1,60,30,0.9373618175788757,64117.142283317466,56418.78588791668,0.9729322116872572
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,1,60,30,0.7942708137423345,116199.03945049214,90201.45274187502,0.9489404940523628
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.895725963696686,82726.12393154275,63184.231277916675,0.9492289186362521
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,2,60,30,0.8935604577690435,91664.10577664184,73227.44582479828,0.9545243443361148
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,2,60,30,0.8786053427888725,97892.08836804134,75729.54291810417,0.9799217742483556
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8731432122011811,100070.17565907251,85485.90562844792,0.9639846311634354
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,3,60,30,0.8284228852736728,109100.09633586933,83254.89897892419,0.9177849545712827
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,3,60,30,0.8062076837898857,115948.1251513289,103749.332116945,0.9407530631397116
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.855358384132458,100171.0177613209,83469.24797986168,0.9305929043786382
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,1,60,30,0.929207708105166,69067.09506364256,40479.697354638454,0.9659297705490958
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,1,60,30,0.9243143929597039,71414.24563490562,56644.493453990515,0.9748878486947036
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,1,60,30,0.8687486546845007,94043.7818749544,72473.30671107383,0.9341070121497782
