experiment_name,noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,3,0.8263612801070309,0.045636649534789187,110013.08432328746,10497.840097215274,89893.44259230806,14012.433742075165,0.9565384438134767,0.020660193922308903
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.8747425200101083,0.020231255746229422,94322.43911731204,10042.830113975553,77379.79496207542,12335.000942487008,0.9479354847261084,0.016733397230615406
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,3,0.8864483868738641,0.05481659335696573,88293.7814652762,22680.0761307438,70967.04356387972,13560.099750525822,0.9484138368648849,0.028076835968834094
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,3,0.8658791262863588,0.021185557571758665,98101.77547115047,9826.359265576393,77810.35827488445,8343.217605377255,0.9621512658050415,0.00544256173760672
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.8680250501888569,0.04922917110796602,96489.11589602633,22140.32447942982,71947.93531252333,20354.317647753185,0.9398577883511804,0.01936970289631783
2025.06.18_0.3_3,no_noise,kfold,total_power_only,3,0.9117683688711041,0.05333106898437127,77708.26725035557,26143.32025597601,48541.50261168506,19301.382736190524,0.9571209152674559,0.03012755752847946
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,3,0.8402209684882077,0.043256654229841436,105700.6203714959,11877.513183373001,85278.50182692613,17718.904489338354,0.9526346083664983,0.026506901645056723
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.8067989144065177,0.01770556792388326,117276.16634850798,9069.628223617585,97569.37353191224,9058.231082199483,0.9254829737801549,0.026958987749103262
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,3,0.8761538315707281,0.04138960705999223,93182.54439743997,17850.020025665595,73476.77908596184,13192.117705944926,0.9416428786476964,0.02120126168835131
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,3,0.8718180791544742,0.05869127103911394,94491.62695090637,22699.979468364785,72222.66168457195,14372.96695786312,0.959084102092612,0.021044242550616567
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,0.8106951065304372,0.06002215404477041,115860.52623724921,20134.715259935667,91597.81792632195,18209.57748076552,0.919876178764476,0.014721088628488315
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,3,0.9399782100371251,0.03169140401628111,63921.32747797819,20204.916191306744,41671.20939335075,12174.121139603016,0.9714662200826583,0.015750658925516463
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,0.7989515312045888,0.004348249463675919,119631.81874939805,5468.268260888423,98865.7851285789,5624.941715622151,0.9368247115564786,0.015554496028785595
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,0.8372680466781822,0.028626786203863667,107360.35705779023,10115.760857560419,90508.17137309279,11889.670627393312,0.9337873288729663,0.023668612918030844
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,3,0.8628663967238815,0.051226230793646535,97847.92144687871,21638.251901647054,78112.8858717684,17428.36500893987,0.9350612124746602,0.028450355982673616
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.8459554733634708,0.0324244677554184,104941.3389983872,12137.87974942438,82761.70876995391,5854.165970410821,0.9417223404276845,0.014130568453910534
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,0.8229578313204907,0.07132500882366659,111470.4013323718,25206.44402548197,87825.83293357889,22002.88464082129,0.9194520975839255,0.026679650303738423
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,3,0.9312472265861688,0.043001672442105725,67716.4592199896,25648.274727679058,44626.875422927966,17397.7644738133,0.9670361043514403,0.02235235983968253
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,0.8212562354155319,0.05317875745592473,111472.64915255031,13717.292606746989,92840.54326627335,16206.984412294338,0.937475477669688,0.03553564435915779
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,0.8374407095759852,0.04725969934282895,106808.15736450585,15014.374123708125,91166.95687328723,14909.516865180274,0.9325838191702834,0.03354144356041005
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,3,0.8382378954794089,0.06458562392405477,106016.06579843159,21826.206905994175,84702.18640958564,17268.314027678844,0.9201506745920246,0.03605174251712492
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.8576581823377712,0.005926729869329702,101193.04095701229,4825.882233106113,81731.89325425944,2592.5312070799628,0.9416635795336625,0.007359315449762378
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,0.8355302435418747,0.03304401969238206,108571.36896069736,14170.904616683325,88461.16402863445,8020.193218247573,0.9266603529780891,0.00912977476612938
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,3,0.894379849855877,0.042060621458377634,86462.00498322246,19903.21728870742,55512.03409290275,19778.26214804969,0.949458279105766,0.025213336171845274
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,0.8588565951887794,0.035495068968679405,99444.1693089833,10185.100136118444,81538.21756342612,12468.652239529429,0.9486195746859852,0.02141298347767889
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,0.8180380084180178,0.07842814100599504,112226.52436046123,26471.46097738298,95901.23922941223,25841.272028787018,0.9264866089347432,0.04491141244240907
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,3,0.811986028583432,0.048680216334637434,115231.27504470863,17867.752521405662,91436.68552646432,14873.835228409018,0.909509772256803,0.02888943769779157
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.8571914958955986,0.021968459255546618,101330.00190980306,11343.003990905785,83739.76788912056,10517.604728695966,0.9343833952527936,0.008641265142798563
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,0.8335033771274295,0.035856978994119784,109232.59470520228,15530.57757487818,85371.92672898166,13007.3048470962,0.9297914120265139,0.006076785462273357
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,3,0.8834501315894948,0.04606264179266206,90192.89911128557,20126.06084696978,58883.92489177297,14499.384718290074,0.9456986504356001,0.02356534444767415
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,0.8520671736249968,0.03777787667507021,101675.88498551096,10089.06609454987,85782.19046655112,10252.248629779651,0.9399494788912176,0.019194327435556848
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,0.8198374146428128,0.07427432084637929,111755.61037161718,22958.09337839814,93408.29859323167,25146.968964844727,0.9231435098701958,0.042265428870671695
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,3,0.8168854004059831,0.08280363604134386,112398.45191950776,27383.41028320373,90299.14096906915,20632.661370550883,0.911824517830833,0.04945137147600845
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.8517875838848603,0.014304494801461962,103281.19446430953,8486.303527007994,86131.30635405112,10278.778645674623,0.9325960323732875,0.00529517092117781
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,0.8309690510280338,0.010538447847666828,110302.29189370423,7167.628688211358,89801.34768099555,12801.595528918808,0.9249559463712586,0.007737574535959396
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,3,0.8776681307647642,0.0459658462582157,92495.4993316164,14611.573630237699,61925.3541104956,7307.232779427454,0.9414876959057924,0.01985713417284127
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,0.8408705285117627,0.04971080235092885,104954.13733774489,12587.713832369815,90005.01882919,11529.631654760187,0.9365956285073004,0.02694770702299309
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,0.7898509812262335,0.05056077915092938,121801.22883216648,15837.7126150367,104480.70614335667,14557.893373113526,0.9194104842568788,0.03467149458188979
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,3,0.8256047036593088,0.03325484490956098,111146.67181583897,12075.11497209664,88895.03425759125,10965.135831731915,0.924377375873585,0.019456086450137505
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.8535547930631676,0.0326598801260854,102436.9872690388,14486.108833254584,87658.352943565,14977.10434249661,0.9348444074244515,0.01478787305450122
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,0.8356178611488542,0.0610821104516846,108001.69556500278,23341.267408891905,88194.96494037057,25833.455433790503,0.9270025240941714,0.018080433454590407
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,3,0.8815525556502005,0.009398654928774628,92314.96516371025,6362.706329950989,63625.936609681805,11826.60105969417,0.9413315416304142,0.005544091143802723
2025.07.09_0.3_1,no_noise,group_kfold,full_spectrogram_pca,3,0.16075559791811847,0.5139080983269912,238883.4913400436,88333.2928223294,194164.27326288415,77675.60552668778,0.5493807801606323,0.48572191282405247
2025.07.09_0.3_1,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.22328274292468145,0.3507250565855316,234322.85819567365,61567.57181955238,189252.3322751988,45798.39559578163,0.6684750117056582,0.21161914382148608
2025.07.09_0.3_1,no_noise,group_kfold,total_power_only,3,0.25621915432030334,0.20212522384818335,232924.4131235568,42328.63310177509,179271.21123455148,32333.395565173814,0.6956382696028648,0.17551788984544253
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,3,0.2534676005747097,0.3703279455636002,234761.00523362274,40616.531011835876,201271.8393380647,46933.77283704412,0.6528628222090883,0.11717742139019921
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.5084944772033199,0.12968016437093224,194864.844655584,27402.412906986712,152737.6418728852,20321.233609090752,0.7466365351605339,0.12301633960012058
2025.07.09_0.3_1,no_noise,kfold,total_power_only,3,0.4430683379048655,0.07686915035259897,208009.80960014055,17718.421420280978,146078.30922350203,19384.44684112634,0.7348520383684868,0.018420214187517298
2025.07.09_0.3_1,reference_SNR=0,group_kfold,full_spectrogram_pca,3,0.1809838268544759,0.48086746235706096,237485.08171302953,82302.17987374085,197485.039654479,67906.63546052673,0.606817480022047,0.4101084012740382
2025.07.09_0.3_1,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.2893516793255205,0.39012302757327033,223233.83091996433,69983.68074037609,167677.20247377674,49977.65457723994,0.7544221393861213,0.10180883844442931
2025.07.09_0.3_1,reference_SNR=0,group_kfold,total_power_only,3,0.2610695212149618,0.24651727309062776,230910.83465711967,45443.62327821444,179336.16042690468,24990.17351188365,0.7021867975293595,0.20773025736558648
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,3,0.34343110593675624,0.22829297278888377,222255.3883541006,18753.21237787966,182202.8845971301,19677.01371754377,0.6745947174089841,0.10371458831931353
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,0.48549875668715686,0.13306551778026512,199092.9928984195,24409.59845502422,159161.8208230393,19804.866352818,0.7629595712297551,0.06864705253688475
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,3,0.3431243540938523,0.19091162414253424,225209.6503113973,35541.31362079476,160140.94427538264,35780.55833073098,0.6736553404885447,0.054259710759595056
