experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,1,60,30,0.836594761230125,104932.78309899248,68357.38799771755,0.9286759344721103
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,1,60,30,0.922321768448936,72348.22300566861,57197.53480326135,0.9788806557671853
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,1,60,30,0.8683889350198901,94172.56627066,66423.09521163635,0.9345690514287139
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,2,60,30,0.8045083903440267,122979.39979727971,81632.45277462662,0.8977112364343763
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,2,60,30,0.9000474313667501,87935.71264236353,74377.52949088067,0.9839037224507372
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8799737091131477,96362.15429245893,75993.99464254733,0.9433365228423602
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,3,60,30,0.9810051859986142,36779.02487944358,25368.941447135763,0.9909185061838982
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,3,60,30,0.8600405852290773,99835.21255622609,72120.28166874051,0.943932974821637
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,3,60,30,0.8953031325544581,86347.45303391559,66496.57864159466,0.9466038495591719
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,group_kfold,total_power_only,1,60,30,0.7171718651639736,132794.02617379336,97142.547034375,0.9476850945401535
