experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,group_kfold,full_spectrogram_pca,3,0.600325036817037,0.11159790014988688,139721.64781247312,25599.283945237898,113816.2441272039,17745.935003589508,0.8580142056731184,0.1228734173595463
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.7417077829968042,0.1320200307058045,108378.70741961508,8638.3849164823,82060.98705598166,9743.478678086844,0.9010402534031631,0.04737048849361052
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,group_kfold,total_power_only,3,0.5972075402718486,0.4088829603617358,116379.34976633241,38235.91971234898,89206.3787173914,27610.301077501863,0.8305937350821061,0.22625275162911498
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,3,0.894136595014921,0.03155851605509958,86706.38273475274,13784.668572527373,67898.44865429417,9335.73563614881,0.9689057843465197,0.021772430075703824
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,3,0.8812219255624987,0.013500445935625969,92294.05786567817,5264.993418339468,69637.88949859278,5504.671144071527,0.9415031412767486,0.00622334777142188
2025.06.18_0.3_3,heatflux_no_noise,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,3,0.8740361125242554,0.09401686449319697,88230.40259190527,45462.65824769294,58452.92740649331,29410.362653782573,0.9391018923634616,0.04747024575462199
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,full_spectrogram_pca,3,0.816441499712289,0.10896099531441611,99849.48655173434,53602.55356505929,75438.21487716484,40571.046366419214,0.955339299971358,0.01580688483854999
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.7286990603024162,0.09551845315620036,113798.86565085413,17677.62026863027,87058.20948970388,12466.743901738795,0.9054337936770404,0.021247760872678528
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,total_power_only,3,0.8986708296642941,0.048070655141173924,68103.93961054883,7329.675758158423,53716.61130859625,6599.527501811454,0.9598837788976248,0.030183097184809753
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,full_spectrogram_pca,3,0.8793879494618787,0.05095574488693686,91870.83754090266,23775.296971009982,65245.23764967092,18447.30282303711,0.969140277540717,0.015405045850943898
