variant,noise_dir,held_out_experiment,train_experiments,train_samples,test_samples,r2,rmse,mae,prediction_pearson
fixed_mixture,heatflux_SNR=-20,2025.06.11_0.3_2,2025.06.18_0.3_3;2025.07.09_0.3_1,155,90,-1.0797323702756456,386562.01554590056,331845.43922677514,0.7217987350099415
fixed_mixture,heatflux_SNR=-20,2025.06.18_0.3_3,2025.06.11_0.3_2;2025.07.09_0.3_1,155,90,-2.003370496430292,471920.29741590645,422545.9529078705,-0.3750998320780322
fixed_mixture,heatflux_SNR=-20,2025.07.09_0.3_1,2025.06.11_0.3_2;2025.06.18_0.3_3,180,65,-0.3401083027569618,335743.6504689829,284874.44516737707,0.247955911633203
fixed_mixture,heatflux_no_noise,2025.06.11_0.3_2,2025.06.18_0.3_3;2025.07.09_0.3_1,155,90,0.8209672079592398,113417.93702627638,82172.0295894835,0.952427612768132
fixed_mixture,heatflux_no_noise,2025.06.18_0.3_3,2025.06.11_0.3_2;2025.07.09_0.3_1,155,90,0.6937616556857333,150693.31468334803,110385.13815867185,0.8937155871018377
fixed_mixture,heatflux_no_noise,2025.07.09_0.3_1,2025.06.11_0.3_2;2025.06.18_0.3_3,180,65,0.04929823856208526,282787.36971941055,255525.48062410785,0.6296759219671068
relative_mixture,heatflux_SNR=-20,2025.06.11_0.3_2,2025.06.18_0.3_3;2025.07.09_0.3_1,155,90,0.6390353463547473,161045.2017529544,119949.21880740883,0.8920619773873468
relative_mixture,heatflux_SNR=-20,2025.06.18_0.3_3,2025.06.11_0.3_2;2025.07.09_0.3_1,155,90,0.7390238578544308,139112.00345088288,110620.46074068827,0.8720956004113981
relative_mixture,heatflux_SNR=-20,2025.07.09_0.3_1,2025.06.11_0.3_2;2025.06.18_0.3_3,180,65,0.10946648826526462,273692.5605613163,240061.8781001848,0.8670610717293151
relative_mixture,heatflux_no_noise,2025.06.11_0.3_2,2025.06.18_0.3_3;2025.07.09_0.3_1,155,90,0.8209672079592398,113417.93702627638,82172.0295894835,0.952427612768132
relative_mixture,heatflux_no_noise,2025.06.18_0.3_3,2025.06.11_0.3_2;2025.07.09_0.3_1,155,90,0.6937616556857333,150693.31468334803,110385.13815867185,0.8937155871018377
relative_mixture,heatflux_no_noise,2025.07.09_0.3_1,2025.06.11_0.3_2;2025.06.18_0.3_3,180,65,0.04929823856208526,282787.36971941055,255525.48062410785,0.6296759219671068
relative_noise_only,heatflux_SNR=-20,2025.06.11_0.3_2,2025.06.18_0.3_3;2025.07.09_0.3_1,155,90,0.6286355878145902,163348.66624739385,121111.0790504644,0.891346122104957
relative_noise_only,heatflux_SNR=-20,2025.06.18_0.3_3,2025.06.11_0.3_2;2025.07.09_0.3_1,155,90,0.7368377254652658,139693.44171737327,111398.86452215529,0.8712547164331499
relative_noise_only,heatflux_SNR=-20,2025.07.09_0.3_1,2025.06.11_0.3_2;2025.06.18_0.3_3,180,65,0.13084849999942627,270386.8717092886,237654.96920595405,0.8735737638588819
