experiment_name,variant,noise_dir,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,full_spectrogram_pca,3,0.8347221218604363,0.03937914776670163,107531.2469236321,9273.04280815452,87654.7364573289,16131.99759014279,0.9578937824164617,0.02268699540245187
2025.06.18_0.3_3,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.8713492887620086,0.01153582733799714,95681.25435421104,6878.5776128193165,78244.55560417612,8407.066587144873,0.9460886495420299,0.016450806831355615
2025.06.18_0.3_3,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,total_power_only,3,0.88714066708259,0.052986441996845136,88120.02367907738,21860.07754059443,70866.23447099778,13284.984975488902,0.94892943221465,0.0266067220991427
2025.06.18_0.3_3,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,3,0.869938245110352,0.08817906751423685,92190.5500739618,27652.52320302616,71723.9460847386,19753.718803938722,0.9615426733257024,0.021353743297895772
2025.06.18_0.3_3,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,3,0.8753983975976137,0.044418073185527734,93297.75413490729,18962.828479099968,72791.75098878723,16096.446979250819,0.9451948365524673,0.011525214067034868
2025.06.18_0.3_3,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,3,0.9095276655131684,0.0703263196880076,72581.89774247068,37825.27352338595,46507.81792225709,26283.71731813202,0.961522406840107,0.028730321097209743
2025.06.18_0.3_3,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,full_spectrogram_pca,3,0.8563949146019784,0.04525975673283505,100187.463806358,16876.729163860484,81822.61527782108,12297.844394987718,0.9611055726535561,0.011797956005688885
2025.06.18_0.3_3,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,-0.4959607631031007,0.5938587380084535,321667.9695463902,58249.71717706888,276194.2811628011,63809.988381615316,-0.06562044002129296,0.26141981870162584
2025.06.18_0.3_3,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,total_power_only,3,0.9026568056296332,0.06446838616783776,80643.81751390302,31725.961784056006,69048.55325113737,25413.048810602097,0.9674127428867275,0.015883894013051396
2025.06.18_0.3_3,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,3,0.9067574633656066,0.03134374440435903,80462.28258634506,13097.0311130804,56998.1066084782,11245.471832474725,0.9643234513354129,0.011375666105352053
2025.06.18_0.3_3,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,-0.0949875134177965,0.16676257421705448,278835.7112710371,30422.22196170446,238064.26425141224,28894.372185751636,0.17916727873721464,0.2360748565887454
2025.06.18_0.3_3,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,3,0.9396110426689256,0.004949942965435557,65528.397415717765,4854.090208586609,44571.76527412145,1417.4396703072966,0.9713810860320384,0.0014471259559492883
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,full_spectrogram_pca,3,0.8514506013889968,0.050628000015994074,101713.84861057473,18128.5668318932,82500.38470870216,12457.62645480968,0.9595866757822109,0.014016525902150736
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,-0.1431781279815049,0.03793191949574393,285433.4792560328,18429.09741577833,236245.9849169678,22991.326363615084,0.1357793939307991,0.12612577683855933
