experiment_name,max_frequency,condition_name,requested_snr_db,manifest_rows,npy_file_count,npy_count_matches_manifest,source_wav_groups,heat_flux_levels,realized_snr_mean_db,realized_snr_median_db,realized_snr_std_db,realized_snr_min_db,realized_snr_max_db,mean_signal_chunk_power,mean_scaled_noise_chunk_power,fixed_reference_signal_rms,noise_scaling_mode,pair_noise_across_snr,max_relative_noise_power_error,chunk_manifest_sha256
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_no_noise,,1080,1080,True,18,18,,,,,,0.0002064453793,,0.0004822199855,fixed_global_rms,True,,67f72f2e720d2684017c157dce664c0e9c9505dc0400fd9a4deed0f79ac9b6b4
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,1080,1080,True,18,18,-1.635048988,-4.671178464,18.68714365,-23.12188105,25.79000118,0.0002064453793,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,2fb6758127fdd33ebe7a886123d8f60d2f9959a8451e92bd72dcc268670d31be
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,1080,1080,True,18,18,-5.635048988,-8.671178464,18.68714365,-27.12188105,21.79000118,0.0002064453793,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,850db2532b64efb549c5222602f74cb0991992ddce87068ee5246ae8edb77bee
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,1080,1080,True,18,18,-9.635048988,-12.67117846,18.68714365,-31.12188105,17.79000118,0.0002064453793,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,a3386d2aeaab3e09755311e6cf1457b519bf6b0c63a8d3ac888ee834c8fe51a8
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,1080,1080,True,18,18,6.364951012,3.328821536,18.68714365,-15.12188105,33.79000118,0.0002064453793,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,bc19f4352e9c10b8ecd5ce6314923879cbc87a95585a1fa9e7f9739b9b2424fe
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,1080,1080,True,18,18,2.364951012,-0.6711784639,18.68714365,-19.12188105,29.79000118,0.0002064453793,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,97194e61be7bfbfa3856168db329e31cb889c7f4c912406b1df91a0f793f2c4d
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_reference_SNR=0,0,1080,1080,True,18,18,10.36495101,7.328821536,18.68714365,-11.12188105,37.79000118,0.0002064453793,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,cb691e94c33e9cacaa3adae2dad3fce6396dd899ac4bc74244394c8fb3abd8a1
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_no_noise,,1080,1080,True,18,18,,,,,,0.0002064453793,,0.0004822199855,fixed_global_rms,True,,67f72f2e720d2684017c157dce664c0e9c9505dc0400fd9a4deed0f79ac9b6b4
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_reference_SNR=-12,-12,1080,1080,True,18,18,-1.635048988,-4.671178464,18.68714365,-23.12188105,25.79000118,0.0002064453793,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,2fb6758127fdd33ebe7a886123d8f60d2f9959a8451e92bd72dcc268670d31be
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_reference_SNR=-16,-16,1080,1080,True,18,18,-5.635048988,-8.671178464,18.68714365,-27.12188105,21.79000118,0.0002064453793,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,850db2532b64efb549c5222602f74cb0991992ddce87068ee5246ae8edb77bee
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_reference_SNR=-20,-20,1080,1080,True,18,18,-9.635048988,-12.67117846,18.68714365,-31.12188105,17.79000118,0.0002064453793,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,a3386d2aeaab3e09755311e6cf1457b519bf6b0c63a8d3ac888ee834c8fe51a8
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_reference_SNR=-4,-4,1080,1080,True,18,18,6.364951012,3.328821536,18.68714365,-15.12188105,33.79000118,0.0002064453793,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,bc19f4352e9c10b8ecd5ce6314923879cbc87a95585a1fa9e7f9739b9b2424fe
