experiment_name,max_freq_hz,snr_value,model_key,model_label,claim_safe,best_single_model_by_r2,best_single_r2,r2_mean,r2_delta_vs_best_single,best_single_recall,recall_mean,recall_delta_vs_best_r2_single,best_single_f1,f1_mean,f1_delta_vs_best_r2_single
2025.06.18_0.3_3,maxfreq=10kHz,-12,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.9358404349,0.9347071154,-0.0011333195,0.8648148148,0.849537037,-0.0152777778,0.9227358457,0.9151960784,-0.0075397673
2025.06.18_0.3_3,maxfreq=10kHz,-12,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.9358404349,0.913122264,-0.0227181709,0.8648148148,0.8796296296,0.0148148148,0.9227358457,0.9272151781,0.0044793324
2025.06.18_0.3_3,maxfreq=10kHz,-12,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.9358404349,0.931994737,-0.0038456979,0.8648148148,0.8509259259,-0.0138888889,0.9227358457,0.9160798122,-0.0066560335
2025.06.18_0.3_3,maxfreq=10kHz,-12,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.9358404349,0.9371806263,0.0013401914,0.8648148148,0.8541666667,-0.0106481481,0.9227358457,0.918127631,-0.0046082147
2025.06.18_0.3_3,maxfreq=10kHz,-16,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.9141023847,0.9131671056,-0.0009352791,0.8509259259,0.8430555556,-0.0078703703,0.9130604605,0.9110575851,-0.0020028754
2025.06.18_0.3_3,maxfreq=10kHz,-16,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.9141023847,0.898511796,-0.0155905887,0.8509259259,0.8694444444,0.0185185185,0.9130604605,0.9228336126,0.0097731521
2025.06.18_0.3_3,maxfreq=10kHz,-16,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.9141023847,0.9132496245,-0.0008527602,0.8509259259,0.8430555556,-0.0078703703,0.9130604605,0.9110575851,-0.0020028754
2025.06.18_0.3_3,maxfreq=10kHz,-16,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.9141023847,0.9174214732,0.0033190885,0.8509259259,0.8430555556,-0.0078703703,0.9130604605,0.9110575851,-0.0020028754
2025.06.18_0.3_3,maxfreq=10kHz,-20,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.8828140425,0.8881832669,0.0053692244,0.8430555556,0.8430555556,0,0.9101506629,0.9101506629,0
2025.06.18_0.3_3,maxfreq=10kHz,-20,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.8828140425,0.8835942388,0.0007801963,0.8430555556,0.8518518519,0.0087962963,0.9101506629,0.9148038037,0.0046531408
2025.06.18_0.3_3,maxfreq=10kHz,-20,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.8828140425,0.8880823626,0.0052683201,0.8430555556,0.8412037037,-0.0018518519,0.9101506629,0.9098671798,-0.0002834831
2025.06.18_0.3_3,maxfreq=10kHz,-20,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.8828140425,0.891348377,0.0085343345,0.8430555556,0.8412037037,-0.0018518519,0.9101506629,0.9098671798,-0.0002834831
2025.06.18_0.3_3,maxfreq=10kHz,-4,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.9516223097,0.9539363929,0.0023140832,0.8814814815,0.8717592593,-0.0097222222,0.9224748299,0.927211875,0.0047370451
2025.06.18_0.3_3,maxfreq=10kHz,-4,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.9516223097,0.9277787999,-0.0238435098,0.8814814815,0.8944444444,0.0129629629,0.9224748299,0.9233817399,0.00090691
2025.06.18_0.3_3,maxfreq=10kHz,-4,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.9516223097,0.9490175036,-0.0026048061,0.8814814815,0.8592592593,-0.0222222222,0.9224748299,0.919368396,-0.0031064339
2025.06.18_0.3_3,maxfreq=10kHz,-4,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.9516223097,0.9554973836,0.0038750739,0.8814814815,0.8712962963,-0.0101851852,0.9224748299,0.9269306823,0.0044558524
2025.06.18_0.3_3,maxfreq=10kHz,-8,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.9550204572,0.9565441407,0.0015236835,0.8949074074,0.8625,-0.0324074074,0.9363339927,0.9214943027,-0.01483969
