experiment_name,snr_value,model_key,model_label,claim_safe,r2_mean_across_frequencies,rmse_all_mean_across_frequencies,mae_all_mean_across_frequencies,rmse_onb_mean_across_frequencies,mae_onb_mean_across_frequencies,roc_auc_cont_mean_across_frequencies,pr_auc_cont_mean_across_frequencies,accuracy_mean_across_frequencies,precision_mean_across_frequencies,recall_mean_across_frequencies,f1_mean_across_frequencies,frequency_condition_count
2025.06.18_0.3_3,-12,alexnet,AlexNet,True,0.9146685835,77175.97293,61386.53936,97732.19516,84035.32336,0.9771296296,0.9871567681,0.8996296296,0.9830857462,0.8467592593,0.9044101005,5
2025.06.18_0.3_3,-12,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.9225937532,72694.32127,54830.30314,107312.1998,94327.57508,0.9809894547,0.9894928315,0.9181481481,0.9965626689,0.8640740741,0.9227618419,5
2025.06.18_0.3_3,-12,ensemble__inner_holdout,ensemble__inner_holdout,True,0.9244517883,72019.03438,56260.61189,102301.4815,91313.09137,0.9825648148,0.990202883,0.9125925926,0.9989124746,0.8525,0.9164887906,5
2025.06.18_0.3_3,-12,ensemble__prediction_max,ensemble__prediction_max,True,0.9076452646,77804.02058,64608.85951,83315.40626,74145.91008,0.9817762346,0.9897393675,0.9153703704,0.97627781,0.8792592593,0.9214460288,5
2025.06.18_0.3_3,-12,ensemble__simple_equal,ensemble__simple_equal,True,0.9227085629,72841.78116,57262.83407,103950.7929,93063.94946,0.9825396091,0.9901923133,0.9118518519,0.9985267035,0.8514814815,0.9156219113,5
2025.06.18_0.3_3,-12,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.9265237032,70931.36262,54821.21794,102539.7399,91443.98483,0.9825118313,0.9901868346,0.9144444445,0.9981835288,0.8562037037,0.91845895,5
2025.06.18_0.3_3,-12,rf,RandomForest,True,0.878646514,91835.37771,79408.2685,125341.177,114156.697,0.9487399691,0.9725121693,0.9038888889,0.9947345016,0.8418518518,0.9076765795,5
2025.06.18_0.3_3,-16,alexnet,AlexNet,True,0.882227381,91173.04062,72356.23704,145986.3634,131192.1538,0.959128858,0.9779926025,0.902962963,0.9970974032,0.8364814815,0.9053938039,5
2025.06.18_0.3_3,-16,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.9027177472,81697.49046,62544.38084,117451.5259,104454.9345,0.9617744341,0.9791001514,0.9124074074,0.9962957138,0.852962963,0.9158151799,5
2025.06.18_0.3_3,-16,ensemble__inner_holdout,ensemble__inner_holdout,True,0.9044924952,81580.92488,63876.20464,128330.9986,118084.2777,0.9647602881,0.9809216174,0.9074074074,0.9986959919,0.8431481482,0.9105241474,5
2025.06.18_0.3_3,-16,ensemble__prediction_max,ensemble__prediction_max,True,0.8925795973,84494.69936,70964.05237,103904.9001,93971.96871,0.9618708848,0.9791786877,0.9181481482,0.9902209579,0.8687037037,0.9227815726,5
2025.06.18_0.3_3,-16,ensemble__simple_equal,ensemble__simple_equal,True,0.9048547045,81484.77865,63490.56145,128176.0443,117790.3972,0.9648251029,0.9809594063,0.9066666667,0.9986893791,0.8418518519,0.9096940657,5
2025.06.18_0.3_3,-16,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.9087388395,79738.21155,61767.85516,126067.0907,115341.5607,0.9650329218,0.9810959611,0.9075925926,0.9996316759,0.8425925926,0.9105474143,5
2025.06.18_0.3_3,-16,rf,RandomForest,True,0.8744889723,93343.81872,81123.3641,136230.9493,128330.6753,0.9435172325,0.9695723466,0.9066666667,0.9958107762,0.8447222222,0.910185058,5
2025.06.18_0.3_3,-20,alexnet,AlexNet,True,0.8596588069,99204.46036,79716.70851,154608.8421,141922.404,0.9396098251,0.9679570011,0.897962963,0.9976983126,0.8283333333,0.900286869,5
