experiment_name,max_freq_hz,noise_dir_name,snr_value,model_key,top_frequency_group,mean_r2_drop_after_mask,contributing_fold_rows
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,alexnet,freq_5000_10000Hz,8.708327852,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,cnntf_v2_gap,freq_2000_5000Hz,1.826945086,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,rf,freq_2000_5000Hz,0.2916234545,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,alexnet,freq_5000_10000Hz,7.677815268,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_5000_10000Hz,1.81073062,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_5000Hz,0.2947384143,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_2000_5000Hz,14.17949409,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_1000_2000Hz,5.276413483,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_5000Hz,0.3012856623,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_512_1000Hz,3.871744267,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_2000_5000Hz,1.126791005,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_5000Hz,0.3120974216,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_1000_2000Hz,7.901603862,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_2000_5000Hz,1.691153213,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_5000Hz,0.2997887701,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=0,0,alexnet,freq_2000_5000Hz,7.845245887,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_2000_5000Hz,0.8971696109,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=0,0,rf,freq_2000_5000Hz,0.3104041565,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_no_noise,no_noise,alexnet,freq_1000_2000Hz,4.686017626,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_5000_10000Hz,1.354986715,3
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_no_noise,no_noise,rf,freq_2000_5000Hz,0.3040678113,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-12,-12,alexnet,freq_10000_15000Hz,11.08431964,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-12,-12,cnntf_v2_gap,freq_5000_10000Hz,1.598203974,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-12,-12,rf,freq_2000_5000Hz,0.3039572958,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-16,-16,alexnet,freq_10000_15000Hz,53.9845391,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_2000_5000Hz,1.030272836,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_5000Hz,0.316526676,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_1000_2000Hz,53.08214443,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_1000_2000Hz,2.503968212,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_5000Hz,0.3182615834,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_1000_2000Hz,6.122346373,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_1000_2000Hz,0.7360048112,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_5000Hz,0.318917475,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_5000_10000Hz,8.784302739,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_2000_5000Hz,1.09547376,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_5000Hz,0.3065551641,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=0,0,alexnet,freq_1000_2000Hz,3.266173064,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_5000_10000Hz,0.7818963733,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=0,0,rf,freq_2000_5000Hz,0.3294956257,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_no_noise,no_noise,alexnet,freq_1000_2000Hz,5.552748877,3
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_1000_2000Hz,1.112343983,3
