experiment_name,model_key,top_frequency_group,condition_count
2025.06.18_0.3_3,alexnet,freq_1000_2000Hz,22
2025.06.18_0.3_3,alexnet,freq_2000_5000Hz,4
2025.06.18_0.3_3,alexnet,freq_5000_10000Hz,3
2025.06.18_0.3_3,alexnet,freq_10000_15000Hz,2
2025.06.18_0.3_3,alexnet,freq_2000_3000Hz,2
2025.06.18_0.3_3,alexnet,freq_15000_22000Hz,1
2025.06.18_0.3_3,alexnet,freq_512_1000Hz,1
2025.06.18_0.3_3,cnntf_v2_gap,freq_2000_5000Hz,14
2025.06.18_0.3_3,cnntf_v2_gap,freq_1000_2000Hz,8
2025.06.18_0.3_3,cnntf_v2_gap,freq_512_1000Hz,6
2025.06.18_0.3_3,cnntf_v2_gap,freq_5000_10000Hz,5
2025.06.18_0.3_3,cnntf_v2_gap,freq_10000_15000Hz,1
2025.06.18_0.3_3,cnntf_v2_gap,freq_2000_3000Hz,1
2025.06.18_0.3_3,rf,freq_2000_5000Hz,28
2025.06.18_0.3_3,rf,freq_2000_3000Hz,7
2025.07.09_0.3_1,alexnet,freq_2000_5000Hz,11
2025.07.09_0.3_1,alexnet,freq_2000_3000Hz,7
2025.07.09_0.3_1,alexnet,freq_1000_2000Hz,3
2025.07.09_0.3_1,cnntf_v2_gap,freq_2000_5000Hz,7
2025.07.09_0.3_1,cnntf_v2_gap,freq_2000_3000Hz,5
2025.07.09_0.3_1,cnntf_v2_gap,freq_5000_10000Hz,5
2025.07.09_0.3_1,cnntf_v2_gap,freq_1000_2000Hz,3
2025.07.09_0.3_1,cnntf_v2_gap,freq_512_1000Hz,1
2025.07.09_0.3_1,rf,freq_2000_5000Hz,14
2025.07.09_0.3_1,rf,freq_2000_3000Hz,7
