experiment,maxfreq,run_hash,strategy,evaluation_unit,aggregation,metric,model_key,model_label,noise,value,standard_error,error_bar_definition,threshold,n_wavs,claim_safe,source_csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,rf,RandomForest,no_noise,0.907639,0.037848,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,rf,RandomForest,0,0.918287,0.038674,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,rf,RandomForest,-4,0.914815,0.041336,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,rf,RandomForest,-8,0.92037,0.036087,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,rf,RandomForest,-12,0.919907,0.039122,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,rf,RandomForest,-16,0.922222,0.037509,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-16\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-16.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,rf,RandomForest,-20,0.918056,0.039585,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-20\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-20.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,cnntf_v2_gap,CNN+Transformer,no_noise,0.955093,0.026696,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,cnntf_v2_gap,CNN+Transformer,0,0.943287,0.01661,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,cnntf_v2_gap,CNN+Transformer,-4,0.946528,0.022073,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
