experiment,maxfreq,run_hash,strategy,evaluation_unit,aggregation,metric,model_key,model_label,noise,value,standard_error,error_bar_definition,threshold,n_wavs,claim_safe,source_csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,rf,RandomForest,no_noise,0.911836,0.025475,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,rf,RandomForest,0,0.912231,0.021579,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,rf,RandomForest,-4,0.902765,0.022063,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,rf,RandomForest,-8,0.883231,0.023024,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,rf,RandomForest,-12,0.87483,0.02616,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,rf,RandomForest,-16,0.871526,0.027302,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-16\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-16.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,rf,RandomForest,-20,0.868553,0.029292,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-20\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-20.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,cnntf_v2_gap,CNN+Transformer,no_noise,0.968763,0.009563,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,cnntf_v2_gap,CNN+Transformer,0,0.935715,0.039923,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,cnntf_v2_gap,CNN+Transformer,-4,0.93332,0.035936,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,cnntf_v2_gap,CNN+Transformer,-8,0.934441,0.03573,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,cnntf_v2_gap,CNN+Transformer,-12,0.914865,0.034628,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,cnntf_v2_gap,CNN+Transformer,-16,0.874781,0.027618,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-16\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-16.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,cnntf_v2_gap,CNN+Transformer,-20,0.74229,0.080354,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-20\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-20.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,alexnet,AlexNet,no_noise,0.966886,0.007092,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,alexnet,AlexNet,0,0.94933,0.0026,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,alexnet,AlexNet,-4,0.942018,0.006392,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,alexnet,AlexNet,-8,0.927424,0.009535,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,r2,alexnet,AlexNet,-12,0.919721,0.015298,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
