experiment,maxfreq,run_hash,strategy,evaluation_unit,aggregation,metric,model_key,model_label,noise,value,standard_error,error_bar_definition,threshold,n_wavs,claim_safe,source_csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,rf,RandomForest,no_noise,0.983827,0.012858,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,rf,RandomForest,0,0.975045,0.01548,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,rf,RandomForest,-4,0.963196,0.01997,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,rf,RandomForest,-8,0.950279,0.024856,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,rf,RandomForest,-12,0.939615,0.030195,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,rf,RandomForest,-16,0.930271,0.03533,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-16\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-16.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,rf,RandomForest,-20,0.92697,0.036713,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-20\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-20.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,cnntf_v2_gap,CNN+Transformer,no_noise,1.0,0.0,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,cnntf_v2_gap,CNN+Transformer,0,0.99901,0.000525,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,roc_auc_cont,cnntf_v2_gap,CNN+Transformer,-4,0.990437,0.006882,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\202609\03_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
