run,experiment,maxfreq,snr,fold,model,source_csv,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv,near_onb_below_val0120,120,266907.6965,131440.328125,135467.36837500002,integrated_gradients,heat_flux,165692.796875,-15741.4375,181434.234375,11.525899993250297,982147.177734375,139310.734375,842836.443359375,743225.610546875,139310.734375,603914.876171875,5,540.1785714285714,81,0.3638392857142857
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv,near_onb_above_val0180,180,368978.105,381823.21875,12845.113750000019,integrated_gradients,heat_flux,241170848.0,234641.453125,240936206.546875,1026.8271157463453,1732219.79140625,264503.0078125,1467716.78359375,1559024.675390625,264503.0078125,1294521.667578125,22,2209.8214285714284,50,0.22544642857142858
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv,false_negative_val0230,230,368978.105,261942.390625,107035.71437499998,integrated_gradients,heat_flux,141800144.0,114760.625,141685383.375,1234.6166934434175,1204756.329296875,204562.515625,1000193.813671875,1092450.273046875,204562.515625,887887.7574218749,23,2308.035714285714,138,0.6183035714285714
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv,worst_prediction_val0179,179,266907.6965,68161.6328125,198746.06368750002,integrated_gradients,heat_flux,120342.1484375,-79020.1328125,199362.28125,2.5229302223909116,897219.5330078125,107671.33984375,789548.1931640625,780319.49765625,107671.33984375,672648.1578125,5,540.1785714285714,176,0.7879464285714286
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv,low_heatflux_val0060,60,20979.71604,-22176.53125,43156.24729,integrated_gradients,heat_flux,680682.25,-169358.296875,850040.546875,5.0191845487345566,1012100.6691894531,62501.9384765625,949598.7307128906,789680.2969726563,62501.9384765625,727178.3584960938,9,933.0357142857143,81,0.3638392857142857
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv,near_onb_below_val0120,120,266907.6965,150277.921875,116629.77462500002,integrated_gradients,heat_flux,62926.20703125,56121.2421875,6804.96484375,0.12125470817297204,182755.84921875,122232.90234375,60522.946874999994,251843.8412109375,122232.90234375,129610.9388671875,5,540.1785714285714,103,0.46205357142857145
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv,near_onb_above_val0180,180,368978.105,393481.59375,24503.48875000002,integrated_gradients,heat_flux,-2128024832.0,299324.9140625,-2128324156.9140625,7110.414325449908,343349.669140625,243803.80859375,99545.86054687499,313512.8138671875,243803.80859375,69709.00527343748,23,2308.035714285714,97,0.43526785714285715
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv,false_negative_val0229,229,368978.105,283732.875,85245.22999999998,integrated_gradients,heat_flux,-317416768.0,189576.1953125,-317606344.1953125,1675.3492898819172,320362.776953125,188912.33984375,131450.43710937502,296507.3271484375,188912.33984375,107594.9873046875,23,2308.035714285714,47,0.21205357142857142
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv,worst_prediction_val0141,141,266907.6965,81663.7578125,185243.93868750002,integrated_gradients,heat_flux,90464.8046875,-12492.921875,102957.7265625,8.241284752491097,204245.68574218752,87914.46875,116331.21699218752,225875.7076171875,87914.46875,137961.2388671875,5,540.1785714285714,39,0.17633928571428573
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv,low_heatflux_val0060,60,20979.71604,12388.5302734375,8591.1857665625,integrated_gradients,heat_flux,82892.515625,-81768.1494140625,164660.6650390625,2.0137506623177184,200635.08220214845,53245.94482421875,147389.1373779297,199587.27377929687,53245.94482421875,146341.32895507812,5,540.1785714285714,198,0.8861607142857143
