run,experiment,model,claim_safe,conditions,mean_r2,mean_rmse_all,mean_recall,mean_precision
20260903_selected_log_architecture,2025.06.11_0.3_2,alexnet,1,35,0.9127439878583754,78731.16747572091,0.8928571428571429,1.0
20260903_selected_log_architecture,2025.06.11_0.3_2,cnntf_v2_gap,1,35,0.9303404481795269,70362.28925801831,0.975,1.0
20260903_selected_log_architecture,2025.06.11_0.3_2,ensemble__inner_holdout,0,35,0.9332269570812665,69144.22928260798,0.9178571428571428,1.0
20260903_selected_log_architecture,2025.06.11_0.3_2,ensemble__prediction_max,1,35,0.9188625905213266,76160.00631419776,0.9857142857142858,1.0
20260903_selected_log_architecture,2025.06.11_0.3_2,ensemble__simple_equal,1,35,0.9333249573920057,69097.82058619012,0.9107142857142857,1.0
20260903_selected_log_architecture,2025.06.11_0.3_2,ensemble__val_fold_legacy,0,35,0.9384829139494407,66328.61183759401,0.9214285714285714,1.0
20260903_selected_log_architecture,2025.06.11_0.3_2,rf,1,35,0.9193995588377674,76086.92735349099,0.8857142857142857,1.0
20260903_selected_log_architecture,2025.06.18_0.3_3,alexnet,1,35,0.9346280934358847,67307.1777719187,0.8821428571428571,1.0
20260903_selected_log_architecture,2025.06.18_0.3_3,cnntf_v2_gap,1,35,0.9382471706260823,65349.11394205198,0.9178571428571428,1.0
20260903_selected_log_architecture,2025.06.18_0.3_3,ensemble__inner_holdout,0,35,0.9431666618156188,63237.15262273759,0.8821428571428571,1.0
20260903_selected_log_architecture,2025.06.18_0.3_3,ensemble__prediction_max,1,35,0.9201670428576915,75387.53431504058,0.9357142857142857,1.0
20260903_selected_log_architecture,2025.06.18_0.3_3,ensemble__simple_equal,1,35,0.94286553140155,63560.42847691345,0.8821428571428571,1.0
20260903_selected_log_architecture,2025.06.18_0.3_3,ensemble__val_fold_legacy,0,35,0.9487260477078227,59825.96861478907,0.8785714285714286,1.0
20260903_selected_log_architecture,2025.06.18_0.3_3,rf,1,35,0.9069015566259782,82680.64214224613,0.875,1.0
20260903_selected_log_architecture,2025.07.09_0.3_1,alexnet,1,35,0.4149702927951488,218699.4196329586,0.5755102040816327,0.8848299319727891
20260903_selected_log_architecture,2025.07.09_0.3_1,cnntf_v2_gap,1,35,0.3921239965039698,219495.7980873232,0.6448979591836734,0.8085374149659864
20260903_selected_log_architecture,2025.07.09_0.3_1,ensemble__inner_holdout,0,35,0.45214247322235873,212827.17592058377,0.5428571428571428,0.8754421768707483
20260903_selected_log_architecture,2025.07.09_0.3_1,ensemble__prediction_max,1,35,0.3686248782820385,227804.62753643145,0.7428571428571429,0.6937074829931973
20260903_selected_log_architecture,2025.07.09_0.3_1,ensemble__simple_equal,1,35,0.45203197373600346,213188.79892730952,0.5510204081632653,0.8718367346938776
20260903_selected_log_architecture,2025.07.09_0.3_1,ensemble__val_fold_legacy,0,35,0.5056471725967995,202800.42349816568,0.5428571428571428,0.9010884353741496
20260903_selected_log_architecture,2025.07.09_0.3_1,rf,1,35,0.4486070529521049,215315.1821461787,0.5306122448979591,0.8247619047619048
20260908_selected_log_architecture,2025.06.11_0.3_2,alexnet,1,1,0.9537682326260944,57634.92062526885,0.875,1.0
20260908_selected_log_architecture,2025.06.11_0.3_2,cnntf_v2_gap,1,1,0.9570072316690484,55579.310728650074,0.875,1.0
20260908_selected_log_architecture,2025.06.11_0.3_2,ensemble__inner_holdout,1,1,0.9527032248699657,58294.987867458694,0.875,1.0
20260908_selected_log_architecture,2025.06.11_0.3_2,ensemble__prediction_max,1,1,0.9488673169630563,60612.855192714145,0.875,1.0
20260908_selected_log_architecture,2025.06.11_0.3_2,ensemble__simple_equal,1,1,0.9508152997172674,59447.07160733268,0.875,1.0
20260908_selected_log_architecture,2025.06.11_0.3_2,rf,1,1,0.913938288976829,78635.82352878287,0.875,1.0
20260908_selected_log_architecture,2025.06.18_0.3_3,alexnet,1,1,0.9670610134762547,49421.88639356807,0.875,1.0
20260908_selected_log_architecture,2025.06.18_0.3_3,cnntf_v2_gap,1,1,0.9688034734046685,48096.92630027316,0.875,1.0
20260908_selected_log_architecture,2025.06.18_0.3_3,ensemble__inner_holdout,1,1,0.9695557564973882,47513.47506514251,0.875,1.0
20260908_selected_log_architecture,2025.06.18_0.3_3,ensemble__prediction_max,1,1,0.9470242291743909,62676.226898155976,0.875,1.0
20260908_selected_log_architecture,2025.06.18_0.3_3,ensemble__simple_equal,1,1,0.9680833545920097,48648.87717319794,0.875,1.0
20260908_selected_log_architecture,2025.06.18_0.3_3,rf,1,1,0.934517003539317,69683.26221048982,0.875,1.0
20260908_selected_log_architecture,2025.07.09_0.3_1,alexnet,1,1,0.7465100585438219,146021.97720901234,1.0,1.0
20260908_selected_log_architecture,2025.07.09_0.3_1,cnntf_v2_gap,1,1,0.8502425323489119,112235.9799979728,1.0,1.0
20260908_selected_log_architecture,2025.07.09_0.3_1,ensemble__inner_holdout,1,1,0.7643691447808796,140784.20699986472,1.0,1.0
20260908_selected_log_architecture,2025.07.09_0.3_1,ensemble__prediction_max,1,1,0.5741777197166917,189257.04278624506,1.0,0.875
20260908_selected_log_architecture,2025.07.09_0.3_1,ensemble__simple_equal,1,1,0.727181855245503,151486.6929559353,0.8571428571428571,1.0
20260908_selected_log_architecture,2025.07.09_0.3_1,rf,1,1,0.4738620432334726,210371.8742080154,0.5714285714285714,0.8
