run,experiment,maxfreq,snr,created_at,epochs_requested,folds,n_wavs,n_chunks,original_threshold,evaluated_threshold,run_manifest,wav_evaluation_present
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,2026-09-03T15:46:31,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,no_noise,2026-09-03T17:26:46,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,2026-09-03T19:08:09,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,2026-09-03T12:35:04,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,no_noise,2026-09-03T14:09:29,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-12,2026-09-03T16:43:31,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-12,2026-09-03T18:24:35,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-12,2026-09-03T20:06:41,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-12,2026-09-03T13:28:48,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,-12,2026-09-03T15:04:41,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
