run,experiment,maxfreq,snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,source_csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,source_wav_pooled_oof,rf,median,18,1,outer-fold prediction,0.91886399161219123,76352.325714544146,60294.442898719601,0.88232581301243096,55082.570710517946,44082.243549999985,13994.729999999981,13994.729999999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,outer-fold prediction,0.94070268785590516,65272.907050049318,47138.053279830718,0.95318792096113047,34741.81971095912,27454.04436249999,27662.816899999976,27662.816899999976,1,1,1,1,1,1,1,1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,source_wav_pooled_oof,alexnet,median,18,1,outer-fold prediction,0.91605626321430722,77662.184143238017,55955.747773441835,0.90542230550889036,49381.918565169988,36413.184850000005,19970.604999999981,19970.604999999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,claim-safe ensemble strategy,0.93466967426790581,68512.980838341711,45982.342435386279,0.95137869515024542,35406.818303905762,20884.951224999997,1455.9383499999531,1455.9383499999531,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,source_wav_pooled_oof,ensemble__prediction_max,median,18,1,claim-safe ensemble strategy,0.92078724478788365,75441.968341290514,56129.744848441835,0.92643388068152188,43552.44299829621,38859.180418749995,27662.816899999976,27662.816899999976,1,1,1,1,1,1,1,1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,source_wav_pooled_oof,ensemble__inner_holdout,median,18,0,legacy sample-level inner holdout; source-WAV leakage,0.93507655046763349,68299.298754748859,45461.599482052952,0.9502708252242702,35807.930641565305,20259.681081250012,2830.1751999999979,2830.1751999999979,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,source_wav_pooled_oof,ensemble__val_fold_legacy,median,18,0,outer-validation labels were used to choose weights,0.93731386565604602,67112.156762912637,44849.233970108493,0.95725725073003354,33197.45752989428,20384.976012499988,3989.6206000000238,3989.6206000000238,1,1,1,1,1,1,1,1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,no_noise,source_wav_pooled_oof,rf,median,18,1,outer-fold prediction,0.91744521523267886,77016.996139309034,60000.950813441836,0.88771334956346892,53806.861499789971,43125.280662499979,19438.839399999939,19438.839399999939,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,no_noise,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,outer-fold prediction,0.95002105382971558,59925.131893117745,43297.959525858503,0.96515045102541086,29975.896344475255,26995.821037499998,21841.863799999992,21841.863799999992,1,1,1,1,1,1,1,1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,no_noise,source_wav_pooled_oof,alexnet,median,18,1,outer-fold prediction,0.9093592065664986,80700.699761957047,60646.229400108517,0.91466523662458754,46906.884837277932,34747.617587500012,113.58250000001863,113.58250000001863,1,1,1,1,1,1,1,1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/03_selected_log_architecture/heatflux_no_noise/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
