snr,model,source_wav_id,y_true,prediction,error,fraction_total_squared_error
no_noise,rf,index=1.3.28E-04,0.0003280469999999,168001.5625,168001.562171953,0.25357898330136347
no_noise,rf,index=2.2.36E+03,2355.33535,92805.9609375,90450.6255875,0.07350379563086219
no_noise,rf,index=3.2.10E+04,20979.71604,72288.6953125,51308.9792725,0.023652299307806927
no_noise,rf,index=4.5.76E+04,57593.31665,59245.013671875,1651.6970218749993,2.4510230054438174e-05
no_noise,rf,index=5.1.11E+05,111264.7017,95942.53125,-15322.170450000005,0.0021092458084221786
no_noise,rf,index=6.1.44E+05,144324.2618,81807.703125,-62516.55867500001,0.035113712040531826
no_noise,rf,index=7.1.81E+05,181378.003,49560.880859375,-131817.122140625,0.15610983609071402
no_noise,rf,index=8.2.22E+05,221505.1102,62324.91796875,-159180.19223125,0.2276484333063374
no_noise,rf,index=9.2.67E+05,266907.6965,294155.828125,27248.13162499998,0.006670525875896793
no_noise,rf,index=10.3.15E+05,315466.1173,281062.703125,-34403.41417499998,0.010633829773137357
no_noise,rf,index=11.3.69E+05,368978.105,356529.3125,-12448.792499999981,0.0013923264459924627
no_noise,rf,index=12.4.27E+05,427276.195,393542.9375,-33733.25750000001,0.010223584222801393
no_noise,rf,index=13.4.89E+05,489453.9981,561664.875,72210.87689999997,0.046848086183581106
no_noise,rf,index=14.5.54E+05,554196.3218,570315.5625,16119.240699999966,0.002334402700675495
no_noise,rf,index=15.6.24E+05,624442.5514,618397.125,-6045.426399999997,0.0003283526249975063
no_noise,rf,index=16.6.98E+05,698421.296,677449.6875,-20971.608499999973,0.003951391847425805
no_noise,rf,index=17.7.77E+05,776647.2223,720193.46875,-56453.75355000002,0.028633356608472157
no_noise,rf,index=18.8.59E+05,859343.9142,745108.5,-114235.4142,0.1172433280009275
no_noise,cnntf_v2_gap,index=1.3.28E-04,0.0003280469999999,158063.2890625,158063.288734453,0.5121812426721468
no_noise,cnntf_v2_gap,index=2.2.36E+03,2355.33535,93552.796875,91197.461525,0.17050108293022745
no_noise,cnntf_v2_gap,index=3.2.10E+04,20979.71604,18082.7060546875,-2897.0099853124993,0.00017205275299077058
no_noise,cnntf_v2_gap,index=4.5.76E+04,57593.31665,78152.65625,20559.3396,0.008665227362664802
no_noise,cnntf_v2_gap,index=5.1.11E+05,111264.7017,137000.3984375,25735.696737499995,0.013577928034060261
no_noise,cnntf_v2_gap,index=6.1.44E+05,144324.2618,106546.80078125,-37777.46101875001,0.029256823660470284
no_noise,cnntf_v2_gap,index=7.1.81E+05,181378.003,107328.47265625,-74049.53034375,0.11241033927618092
no_noise,cnntf_v2_gap,index=8.2.22E+05,221505.1102,203544.09375,-17961.016449999996,0.006613379778312637
no_noise,cnntf_v2_gap,index=9.2.67E+05,266907.6965,233042.8125,-33864.88400000002,0.023510443759319585
no_noise,cnntf_v2_gap,index=10.3.15E+05,315466.1173,275169.40625,-40296.71104999998,0.03328900728897096
no_noise,cnntf_v2_gap,index=11.3.69E+05,368978.105,363859.6875,-5118.417499999981,0.0005370726750266279
no_noise,cnntf_v2_gap,index=12.4.27E+05,427276.195,418462.1875,-8814.007500000007,0.0015926064611301
no_noise,cnntf_v2_gap,index=13.4.89E+05,489453.9981,518522.40625,29068.408149999974,0.017322243565594017
no_noise,cnntf_v2_gap,index=14.5.54E+05,554196.3218,548890.40625,-5305.915550000034,0.0005771415063401597
no_noise,cnntf_v2_gap,index=15.6.24E+05,624442.5514,622194.9375,-2247.6138999999966,0.00010356310440739858
no_noise,cnntf_v2_gap,index=16.6.98E+05,698421.296,716550.71875,18129.422750000027,0.006737978085877881
no_noise,cnntf_v2_gap,index=17.7.77E+05,776647.2223,764557.09375,-12090.128550000023,0.002996563457129472
no_noise,cnntf_v2_gap,index=18.8.59E+05,859343.9142,805264.375,-54079.5392,0.05995530362914995
no_noise,alexnet,index=1.3.28E-04,0.0003280469999999,137172.609375,137172.609046953,0.2541750738927354
no_noise,alexnet,index=2.2.36E+03,2355.33535,56581.75390625,54226.41855625,0.03972098450680394
