snr,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,auc_binary_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,r2_se,rmse_all_se,mae_all_se,r2_high_se,rmse_high_se,mae_high_se,rmse_onb_se,mae_onb_se,auc_binary_se,roc_auc_cont_se,pr_auc_cont_se,accuracy_se,precision_se,recall_se,f1_se
no_noise,RandomForest,0.885654,88254.617649,72361.608764,0.768767,64634.407451,57122.187935,32366.025984,22772.903417,0.947454,0.998302,0.998450,0.946296,0.986667,0.901852,0.935651,0.021512,10459.408863,9135.087623,0.096281,8511.362415,8281.010978,0.000000,0.000000,0.047433,0.001698,0.001550,0.046931,0.013333,0.098148,0.054464
no_noise,CNN+Tf v2 GAP,0.950886,54623.282712,41566.516786,0.949227,30296.101059,24645.372982,25546.242679,19300.022271,0.963426,0.999331,0.999312,0.962963,0.994536,0.929630,0.957908,0.024937,13584.687416,10315.613818,0.021203,3475.137235,2998.423983,0.000000,0.000000,0.034512,0.000669,0.000688,0.034297,0.005464,0.070370,0.038035
no_noise,AlexNet,0.923548,71954.491917,56881.220598,0.906189,46448.820084,39434.860831,37761.203128,27461.878198,0.958333,0.999249,0.999249,0.958333,1.000000,0.916667,0.953174,0.011238,3462.293924,2375.221284,0.026514,12324.424923,11452.796284,0.000000,0.000000,0.037577,0.000751,0.000751,0.037577,0.000000,0.075154,0.042694
no_noise,Ensemble simple equal,0.935052,66165.477596,50467.275444,0.924395,39789.173693,32659.307410,28708.299374,20541.443212,0.958333,0.999630,0.999640,0.958333,1.000000,0.916667,0.952381,0.014285,7160.692605,6579.606950,0.018877,7836.673016,6184.747426,0.000000,0.000000,0.041667,0.000370,0.000360,0.041667,0.000000,0.083333,0.047619
no_noise,Ensemble inner holdout,0.940495,62942.415063,47871.787547,0.938675,36043.811570,29073.316275,27855.695376,20490.454070,0.960185,0.999650,0.999658,0.960185,1.000000,0.920370,0.954784,0.016034,8097.966550,6359.727416,0.015141,7413.685894,5703.088385,0.000000,0.000000,0.039815,0.000350,0.000342,0.039815,0.000000,0.079630,0.045216
0,RandomForest,0.887340,87603.211610,72975.405819,0.767499,65328.294457,58933.287873,45115.109564,42631.903229,0.981944,0.998488,0.998627,0.980556,0.984127,0.972222,0.977377,0.021085,10284.471201,8166.191746,0.092404,7591.059014,6030.515204,0.000000,0.000000,0.012345,0.001512,0.001373,0.012108,0.015873,0.027778,0.012582
0,CNN+Tf v2 GAP,0.929581,65264.218563,45508.542125,0.965594,26378.168671,21005.650527,26684.072480,20226.610906,0.967130,0.998477,0.998443,0.966667,0.990091,0.940741,0.962902,0.035639,16152.723022,8690.091682,0.009022,3795.155306,3377.144432,0.000000,0.000000,0.030811,0.001523,0.001557,0.030598,0.005033,0.059259,0.033052
0,AlexNet,0.900229,82877.674678,59105.669049,0.904922,45177.102942,37122.598022,42650.531353,34891.204958,0.955556,0.999486,0.999486,0.955556,1.000000,0.911111,0.949306,0.008290,4566.733226,6713.634265,0.052623,17523.036738,14752.113162,0.000000,0.000000,0.041698,0.000514,0.000514,0.041698,0.000000,0.083395,0.047928
0,Ensemble simple equal,0.920591,72995.552306,53756.487845,0.926249,39343.864223,32329.137343,31173.452888,23209.731253,0.975000,0.999465,0.999481,0.975000,1.000000,0.950000,0.972973,0.019371,9010.718176,7209.905053,0.023644,10101.633607,7904.099110,0.000000,0.000000,0.025000,0.000535,0.000519,0.025000,0.000000,0.050000,0.027027
0,Ensemble inner holdout,0.923203,71739.952020,51518.350983,0.939371,36051.382486,28689.269222,30588.057607,22684.470495,0.967593,0.999465,0.999479,0.967593,1.000000,0.935185,0.964103,0.019031,8833.672323,6734.387679,0.024312,11089.082834,8841.981234,0.000000,0.000000,0.032407,0.000535,0.000521,0.032407,0.000000,0.064815,0.035897
-4,RandomForest,0.892385,85590.798300,70838.895028,0.769967,64171.257456,56549.795057,29953.662642,19650.315542,0.949769,0.998385,0.998535,0.949074,0.991870,0.903704,0.939608,0.020586,10290.491323,8821.298238,0.098143,8992.133692,8811.911569,0.000000,0.000000,0.047141,0.001615,0.001465,0.046821,0.008130,0.096296,0.054336
-4,CNN+Tf v2 GAP,0.912754,73497.620220,52440.334869,0.940475,31353.262243,25694.689210,32002.110248,23747.872313,0.971991,0.999270,0.999283,0.971296,0.989705,0.950000,0.967941,0.040025,16249.234766,10216.981996,0.031465,3382.800853,3629.158540,0.000000,0.000000,0.024950,0.000730,0.000717,0.024655,0.007293,0.050000,0.026131
-4,AlexNet,0.886627,87876.564329,64405.098108,0.900201,47561.076469,39731.895226,43827.368367,32249.446396,0.956481,0.999115,0.999103,0.956481,1.000000,0.912963,0.950785,0.012643,2968.492350,1736.780244,0.040572,15218.433310,13191.644297,0.000000,0.000000,0.039425,0.000885,0.000897,0.039425,0.000000,0.078851,0.045078
-4,Ensemble simple equal,0.914888,75682.667794,55438.494554,0.923619,40074.167634,32664.642536,31040.721524,21261.145819,0.961111,0.999547,0.999562,0.961111,1.000000,0.922222,0.955975,0.019097,8171.659088,6554.219623,0.019909,8452.889138,6644.193064,0.000000,0.000000,0.038889,0.000453,0.000438,0.038889,0.000000,0.077778,0.044025
-4,Ensemble inner holdout,0.915866,75133.171249,53968.545062,0.938906,36513.747090,29352.515253,31336.412650,21797.531240,0.966667,0.999506,0.999524,0.966667,1.000000,0.933333,0.962963,0.019621,8223.948799,5685.639869,0.018318,9289.174186,7173.118238,0.000000,0.000000,0.033333,0.000494,0.000476,0.033333,0.000000,0.066667,0.037037
-8,RandomForest,0.898177,83460.179269,69800.249855,0.773418,63859.149051,56142.001016,25377.263653,15950.916937,0.951852,0.998200,0.998384,0.950000,0.979167,0.914815,0.940415,0.016901,8988.460695,7813.452832,0.095054,9163.855340,9059.729362,0.000000,0.000000,0.040104,0.001800,0.001616,0.039414,0.020833,0.085185,0.044442
-8,CNN+Tf v2 GAP,0.904295,78026.296736,56512.939079,0.934959,36135.268933,29455.245359,44261.067804,33345.125990,0.949306,0.997767,0.997793,0.949074,0.994701,0.901852,0.941153,0.039222,15870.383721,9665.702677,0.017251,4083.996768,4334.513872,0.000000,0.000000,0.045522,0.002233,0.002207,0.045399,0.002656,0.089944,0.052585
-8,AlexNet,0.895725,83847.251427,63844.544974,0.879167,52894.946866,45278.417085,48910.174960,42452.404396,0.945370,0.999588,0.999563,0.945370,1.000000,0.890741,0.935432,0.017572,5821.514741,1330.014496,0.024008,12284.220285,11260.448288,0.000000,0.000000,0.051877,0.000412,0.000437,0.051877,0.000000,0.103753,0.061796
-8,Ensemble simple equal,0.915496,75265.359622,56618.073073,0.917004,42685.844967,35424.068395,36041.353621,27469.189760,0.951852,0.999198,0.999223,0.951852,1.000000,0.903704,0.943723,0.021039,9629.530663,6887.785595,0.015986,8456.998117,6534.811232,0.000000,0.000000,0.048148,0.000802,0.000777,0.048148,0.000000,0.096296,0.056277
-8,Ensemble inner holdout,0.916116,74679.391036,54742.452374,0.934320,38560.252775,31205.098218,37341.678070,28634.385311,0.954630,0.998961,0.999001,0.954630,1.000000,0.909259,0.947481,0.023533,10614.141477,6553.980455,0.018261,9855.688470,8195.605491,0.000000,0.000000,0.045370,0.001039,0.000999,0.045370,0.000000,0.090741,0.052519
-12,RandomForest,0.899464,82908.992310,69907.253510,0.778872,63140.863258,55293.154507,25084.274314,15491.312458,0.956481,0.998632,0.998761,0.954630,0.979167,0.924074,0.946405,0.016555,8654.106895,7947.342433,0.092127,9380.718096,9384.956708,0.000000,0.000000,0.035513,0.001368,0.001239,0.034855,0.020833,0.075926,0.038606
-12,CNN+Tf v2 GAP,0.900429,80483.825733,58700.990402,0.929923,35585.123880,28742.696105,27903.667488,21170.021375,0.961574,0.997551,0.997419,0.961111,0.987686,0.931481,0.956345,0.034619,14623.860355,9340.814853,0.029052,5103.291498,4078.876133,0.000000,0.000000,0.036362,0.002449,0.002581,0.036147,0.006273,0.068519,0.039594
