snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
no_noise,1,rf,near_onb_below_val0120,120,266907.6965,70943.0859375,195964.61056250002,group_occlusion,heat_flux_change,nan,-78367.8828125,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,112,0.5022321428571429
no_noise,1,rf,near_onb_above_val0180,180,368978.105,366777.96875,2200.1362499999814,group_occlusion,heat_flux_change,nan,217467.0,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,0,0.002232142857142857
no_noise,1,rf,false_negative_val0237,237,368978.105,282068.375,86909.72999999998,group_occlusion,heat_flux_change,nan,132757.40625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,0,0.002232142857142857
no_noise,1,rf,worst_prediction_val0141,141,266907.6965,60275.25,206632.44650000002,group_occlusion,heat_flux_change,nan,-89035.71875,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,168,0.7522321428571429
no_noise,1,rf,low_heatflux_val0060,60,20979.71604,81352.1328125,60372.4167725,group_occlusion,heat_flux_change,nan,-67958.8359375,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,112,0.5022321428571429
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,204663.796875,62243.89962500002,integrated_gradients,heat_flux,133839.734375,307325.09375,-173485.359375,0.5645011191833403,153158.05078125,50972.2734375,102185.77734375,212943.3078125,50972.2734375,161971.034375,5,540.1785714285714,103,0.46205357142857145
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,204663.796875,62243.89962500002,group_occlusion,heat_flux_change,nan,307325.09375,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,168,0.7522321428571429
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,360843.4375,8134.667499999981,integrated_gradients,heat_flux,1080302336.0,463504.734375,1079838831.265625,2329.725569517005,281245.75546875,129109.78906250001,152135.96640625002,306831.064453125,129109.7890625,177721.275390625,22,2209.8214285714284,117,0.5245535714285714
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,360843.4375,8134.667499999981,group_occlusion,heat_flux_change,nan,463504.734375,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,0,0.002232142857142857
no_noise,1,cnntf_v2_gap,false_negative_val0224,224,368978.105,301546.59375,67431.51124999998,integrated_gradients,heat_flux,555973056.0,404207.890625,555568848.109375,1374.4631438301105,303478.6640625,99435.2734375,204043.390625,293884.198046875,99435.2734375,194448.924609375,23,2308.035714285714,133,0.5959821428571429
no_noise,1,cnntf_v2_gap,false_negative_val0224,224,368978.105,301546.59375,67431.51124999998,group_occlusion,heat_flux_change,nan,404207.890625,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,0,0.002232142857142857
no_noise,1,cnntf_v2_gap,worst_prediction_val0135,135,266907.6965,111101.9765625,155805.71993750002,integrated_gradients,heat_flux,547647.5,213763.2734375,333884.2265625,1.5619344763642053,160322.664453125,4240.859375,156081.805078125,224655.291796875,4240.859375,220414.432421875,5,540.1785714285714,118,0.5290178571428571
no_noise,1,cnntf_v2_gap,worst_prediction_val0135,135,266907.6965,111101.9765625,155805.71993750002,group_occlusion,heat_flux_change,nan,213763.2734375,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,112,0.5022321428571429
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,44792.5546875,23812.8386475,integrated_gradients,heat_flux,73113.421875,147453.8515625,-74340.4296875,0.5041606502627702,199631.61708984376,-28940.478515625,228572.09560546876,204555.1939453125,-28940.478515625,233495.6724609375,5,540.1785714285714,197,0.8816964285714286
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,44792.5546875,23812.8386475,group_occlusion,heat_flux_change,nan,147453.8515625,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
no_noise,1,alexnet,near_onb_below_val0120,120,266907.6965,77400.4609375,189507.23556250002,integrated_gradients,heat_flux,934863.1875,-96332.5546875,1031195.7421875,10.704540594118665,1459895.03125,125566.1171875,1334328.9140625,937458.676953125,125566.1171875,811892.559765625,5,540.1785714285714,136,0.609375
no_noise,1,alexnet,near_onb_below_val0120,120,266907.6965,77400.4609375,189507.23556250002,grad_cam,relative_importance,nan,-96332.5546875,nan,nan,497283.778125,125566.1171875,371717.6609375,560712.0546875,125566.1171875,435145.9375,215,21165.178571428572,215,0.9620535714285714
no_noise,1,alexnet,near_onb_below_val0120,120,266907.6965,77400.4609375,189507.23556250002,group_occlusion,heat_flux_change,nan,-96332.5546875,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,56,0.25223214285714285
no_noise,1,alexnet,near_onb_above_val0180,180,368978.105,384065.28125,15087.176250000019,integrated_gradients,heat_flux,-680684160.0,210332.265625,-680894492.265625,3237.232719584675,2627703.03984375,278899.6015625,2348803.43828125,1963135.484765625,278899.6015625,1684235.883203125,23,2308.035714285714,106,0.47544642857142855
no_noise,1,alexnet,near_onb_above_val0180,180,368978.105,384065.28125,15087.176250000019,grad_cam,relative_importance,nan,210332.265625,nan,nan,1235526.00078125,278899.6015625,956626.39921875,1518549.616015625,278899.6015625,1239650.014453125,215,21165.178571428572,0,0.002232142857142857
no_noise,1,alexnet,near_onb_above_val0180,180,368978.105,384065.28125,15087.176250000019,group_occlusion,heat_flux_change,nan,210332.265625,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,56,0.25223214285714285
no_noise,1,alexnet,false_negative_val0231,231,368978.105,260553.953125,108424.15187499998,integrated_gradients,heat_flux,-404028160.0,86820.9375,-404114980.9375,4654.579788861413,2125563.212890625,217143.5625,1908419.650390625,1259227.558984375,217143.5625,1042083.9964843751,23,2308.035714285714,168,0.7522321428571429
no_noise,1,alexnet,false_negative_val0231,231,368978.105,260553.953125,108424.15187499998,grad_cam,relative_importance,nan,86820.9375,nan,nan,962774.186328125,217143.5625,745630.623828125,1343581.280859375,217143.5625,1126437.718359375,215,21165.178571428572,0,0.002232142857142857
no_noise,1,alexnet,false_negative_val0231,231,368978.105,260553.953125,108424.15187499998,group_occlusion,heat_flux_change,nan,86820.9375,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,56,0.25223214285714285
no_noise,1,alexnet,worst_prediction_val0145,145,266907.6965,15378.0283203125,251529.66817968752,integrated_gradients,heat_flux,431643.375,-158354.9873046875,589998.3623046875,3.725795899117999,1292599.8554931642,94555.35205078125,1198044.503442383,991076.3975097656,94555.35205078125,896521.0454589843,9,933.0357142857143,138,0.6183035714285714
no_noise,1,alexnet,worst_prediction_val0145,145,266907.6965,15378.0283203125,251529.66817968752,grad_cam,relative_importance,nan,-158354.9873046875,nan,nan,375134.42053222656,94555.35205078125,280579.0684814453,529343.4795410156,94555.35205078125,434788.1274902343,215,21165.178571428572,215,0.9620535714285714
no_noise,1,alexnet,worst_prediction_val0145,145,266907.6965,15378.0283203125,251529.66817968752,group_occlusion,heat_flux_change,nan,-158354.9873046875,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,56,0.25223214285714285
no_noise,1,alexnet,low_heatflux_val0060,60,20979.71604,-3151.204833984375,24130.920873984374,integrated_gradients,heat_flux,1397594.75,-176884.22045898438,1574478.9704589844,8.901183872555054,1520964.230847168,85290.79663085938,1435673.4342163086,1034452.5916748047,85290.79663085938,949161.7950439453,9,933.0357142857143,137,0.6138392857142857
