snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error
no_noise,1,rf,near_onb_below_val0120,120,266907.6965,70943.0859375,195964.61056250002
no_noise,1,rf,near_onb_above_val0180,180,368978.105,366777.96875,2200.1362499999814
no_noise,1,rf,false_negative_val0237,237,368978.105,282068.375,86909.72999999998
no_noise,1,rf,worst_prediction_val0141,141,266907.6965,60275.25,206632.44650000002
no_noise,1,rf,low_heatflux_val0060,60,20979.71604,81352.1328125,60372.4167725
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,204663.796875,62243.89962500002
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,360843.4375,8134.667499999981
no_noise,1,cnntf_v2_gap,false_negative_val0224,224,368978.105,301546.59375,67431.51124999998
no_noise,1,cnntf_v2_gap,worst_prediction_val0135,135,266907.6965,111101.9765625,155805.71993750002
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,44792.5546875,23812.8386475
no_noise,1,alexnet,near_onb_below_val0120,120,266907.6965,77400.4609375,189507.23556250002
no_noise,1,alexnet,near_onb_above_val0180,180,368978.105,384065.28125,15087.176250000019
no_noise,1,alexnet,false_negative_val0231,231,368978.105,260553.953125,108424.15187499998
no_noise,1,alexnet,worst_prediction_val0145,145,266907.6965,15378.0283203125,251529.66817968752
no_noise,1,alexnet,low_heatflux_val0060,60,20979.71604,-3151.204833984375,24130.920873984374
no_noise,2,rf,near_onb_below_val0060,60,221505.1102,66549.9375,154955.1727
no_noise,2,rf,near_onb_above_val0120,120,427276.195,387457.28125,39818.91375000001
no_noise,2,rf,worst_prediction_val0185,185,57593.31665,241654.796875,184061.480225
no_noise,2,rf,low_heatflux_val0180,180,57593.31665,55845.6484375,1747.6682125000007
no_noise,2,rf,high_heatflux_val0300,300,859343.9142,745085.125,114258.7892
no_noise,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,172114.25,49390.860199999996
no_noise,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,409197.5625,18078.632500000007
no_noise,2,cnntf_v2_gap,worst_prediction_val0006,6,181378.003,62808.55078125,118569.45221875
no_noise,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,93459.578125,35866.261475
no_noise,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,823911.625,35432.2892
no_noise,2,alexnet,near_onb_below_val0060,60,221505.1102,156687.703125,64817.407074999996
no_noise,2,alexnet,near_onb_above_val0120,120,427276.195,387438.0625,39838.13250000001
no_noise,2,alexnet,false_negative_val0134,134,427276.195,366390.5625,60885.63250000001
no_noise,2,alexnet,worst_prediction_val0007,7,181378.003,32905.5859375,148472.4170625
no_noise,2,alexnet,low_heatflux_val0180,180,57593.31665,134004.3125,76410.99585
no_noise,3,rf,near_onb_below_val0180,180,315466.1173,269263.90625,46202.21104999998
no_noise,3,rf,near_onb_above_val0240,240,489453.9981,565530.9375,76076.93939999997
no_noise,3,rf,worst_prediction_val0018,18,0.000328047,222683.46875,222683.468421953
no_noise,3,rf,low_heatflux_val0000,0,0.000328047,106537.8828125,106537.882484453
no_noise,3,rf,high_heatflux_val0300,300,698421.296,782907.6875,84486.39150000003
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,264708.625,50757.49229999998
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,493626.59375,4172.595649999974
no_noise,3,cnntf_v2_gap,worst_prediction_val0008,8,0.000328047,217528.828125,217528.827796953
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,124795.3515625,124795.351234453
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,724379.0,25957.704000000027
no_noise,3,alexnet,near_onb_below_val0180,180,315466.1173,284175.03125,31291.086049999984
no_noise,3,alexnet,near_onb_above_val0240,240,489453.9981,460390.34375,29063.654350000026
no_noise,3,alexnet,worst_prediction_val0005,5,0.000328047,191504.609375,191504.609046953
no_noise,3,alexnet,low_heatflux_val0000,0,0.000328047,156485.5,156485.499671953
no_noise,3,alexnet,high_heatflux_val0300,300,698421.296,686102.875,12318.420999999973
0,1,rf,near_onb_below_val0120,120,266907.6965,66220.71875,200686.97775000002
0,1,rf,near_onb_above_val0180,180,368978.105,402202.40625,33224.30125000002
0,1,rf,false_negative_val0237,237,368978.105,275444.15625,93533.94874999998
0,1,rf,worst_prediction_val0135,135,266907.6965,61001.53125,205906.16525000002
0,1,rf,low_heatflux_val0060,60,20979.71604,86096.1640625,65116.4480225
0,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,176910.859375,89996.83712500002
0,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,395394.625,26416.52000000002
0,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,259186.453125,109791.65187499998
0,1,cnntf_v2_gap,worst_prediction_val0133,133,266907.6965,27086.4609375,239821.23556250002
0,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,92230.78125,71251.06521
0,1,alexnet,near_onb_below_val0120,120,266907.6965,88685.6953125,178222.00118750002
0,1,alexnet,near_onb_above_val0180,180,368978.105,387017.96875,18039.86375000002
0,1,alexnet,false_negative_val0230,230,368978.105,273692.0,95286.10499999998
0,1,alexnet,worst_prediction_val0128,128,266907.6965,-21666.935546875,288574.632046875
0,1,alexnet,low_heatflux_val0060,60,20979.71604,9661.7646484375,11317.9513915625
0,2,rf,near_onb_below_val0060,60,221505.1102,58533.77734375,162971.33285625
0,2,rf,near_onb_above_val0120,120,427276.195,389616.71875,37659.47625000001
0,2,rf,worst_prediction_val0185,185,57593.31665,240659.03125,183065.7146
0,2,rf,low_heatflux_val0180,180,57593.31665,53267.34765625,4325.968993750001
0,2,rf,high_heatflux_val0300,300,859343.9142,746651.1875,112692.7267
0,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,204442.71875,17062.391449999996
0,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,403077.21875,24198.976250000007
0,2,cnntf_v2_gap,worst_prediction_val0048,48,181378.003,62519.1875,118858.8155
0,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,103980.1875,46386.87085
0,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,824710.375,34633.5392
0,2,alexnet,near_onb_below_val0060,60,221505.1102,137808.5625,83696.5477
0,2,alexnet,near_onb_above_val0120,120,427276.195,369415.5,57860.69500000001
0,2,alexnet,false_negative_val0132,132,427276.195,362736.21875,64539.97625000001
0,2,alexnet,worst_prediction_val0006,6,181378.003,-20118.830078125,201496.833078125
0,2,alexnet,low_heatflux_val0180,180,57593.31665,109639.0625,52045.74585
0,3,rf,near_onb_below_val0180,180,315466.1173,266046.34375,49419.77354999998
0,3,rf,near_onb_above_val0240,240,489453.9981,564300.0,74846.00189999997
0,3,rf,worst_prediction_val0040,40,0.000328047,215283.0,215282.999671953
0,3,rf,low_heatflux_val0000,0,0.000328047,94631.109375,94631.109046953
0,3,rf,high_heatflux_val0300,300,698421.296,785668.875,87247.57900000003
0,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,277549.25,37916.86729999998
0,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,475324.28125,14129.716850000026
0,3,cnntf_v2_gap,worst_prediction_val0041,41,0.000328047,274929.5,274929.499671953
0,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,160196.90625,160196.905921953
0,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,727916.5625,29495.266500000027
0,3,alexnet,near_onb_below_val0180,180,315466.1173,281645.125,33820.99229999998
0,3,alexnet,near_onb_above_val0240,240,489453.9981,470543.9375,18910.060600000026
0,3,alexnet,worst_prediction_val0043,43,0.000328047,267007.875,267007.874671953
0,3,alexnet,low_heatflux_val0000,0,0.000328047,100050.4453125,100050.444984453
0,3,alexnet,high_heatflux_val0300,300,698421.296,717180.6875,18759.391500000027
-4,1,rf,near_onb_below_val0120,120,266907.6965,70665.125,196242.57150000002
-4,1,rf,near_onb_above_val0180,180,368978.105,364539.3125,4438.792499999981
-4,1,rf,false_negative_val0237,237,368978.105,285394.6875,83583.41749999998
-4,1,rf,low_heatflux_val0060,60,20979.71604,93261.4765625,72281.7605225
-4,1,rf,high_heatflux_val0300,300,776647.2223,688698.9375,87948.28480000002
-4,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,171279.625,95628.07150000002
-4,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,412358.0625,43379.95750000002
-4,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,241638.53125,127339.57374999998
-4,1,cnntf_v2_gap,worst_prediction_val0128,128,266907.6965,35661.92578125,231245.77071875002
-4,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,59689.2109375,38709.4948975
-4,1,alexnet,near_onb_below_val0120,120,266907.6965,128815.15625,138092.54025000002
-4,1,alexnet,near_onb_above_val0180,180,368978.105,404026.625,35048.52000000002
-4,1,alexnet,false_negative_val0230,230,368978.105,239837.8125,129140.29249999998
-4,1,alexnet,worst_prediction_val0135,135,266907.6965,-56529.921875,323437.618375
-4,1,alexnet,low_heatflux_val0060,60,20979.71604,-6719.70703125,27699.42307125
-4,2,rf,near_onb_below_val0060,60,221505.1102,61315.63671875,160189.47348125
-4,2,rf,near_onb_above_val0120,120,427276.195,388269.84375,39006.35125000001
-4,2,rf,worst_prediction_val0185,185,57593.31665,233524.65625,175931.3396
-4,2,rf,low_heatflux_val0180,180,57593.31665,75172.4453125,17579.1286625
-4,2,rf,high_heatflux_val0300,300,859343.9142,745332.0625,114011.8517
-4,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,151592.1875,69912.9227
-4,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,416135.90625,11140.288750000007
-4,2,cnntf_v2_gap,worst_prediction_val0056,56,181378.003,24685.95703125,156692.04596875
-4,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,157870.125,100276.80835
-4,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,825369.125,33974.7892
-4,2,alexnet,near_onb_below_val0060,60,221505.1102,158651.953125,62853.157074999996
-4,2,alexnet,near_onb_above_val0120,120,427276.195,391846.21875,35429.97625000001
-4,2,alexnet,false_negative_val0133,133,427276.195,354510.09375,72766.10125
-4,2,alexnet,worst_prediction_val0006,6,181378.003,-20163.716796875,201541.719796875
-4,2,alexnet,low_heatflux_val0180,180,57593.31665,111476.5390625,53883.2224125
-4,3,rf,near_onb_below_val0180,180,315466.1173,259593.359375,55872.75792499998
-4,3,rf,near_onb_above_val0240,240,489453.9981,565369.3125,75915.31439999997
-4,3,rf,worst_prediction_val0039,39,0.000328047,210704.765625,210704.765296953
-4,3,rf,low_heatflux_val0000,0,0.000328047,107011.171875,107011.171546953
-4,3,rf,high_heatflux_val0300,300,698421.296,783470.9375,85049.64150000003
-4,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,308785.65625,6680.4610499999835
-4,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,501374.21875,11920.220649999974
-4,3,cnntf_v2_gap,worst_prediction_val0033,33,0.000328047,287763.53125,287763.530921953
-4,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,175168.984375,175168.984046953
-4,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,754552.9375,56131.64150000003
-4,3,alexnet,near_onb_below_val0180,180,315466.1173,255850.390625,59615.72667499998
-4,3,alexnet,near_onb_above_val0240,240,489453.9981,480748.59375,8705.404350000026
-4,3,alexnet,worst_prediction_val0041,41,0.000328047,277213.5,277213.499671953
-4,3,alexnet,low_heatflux_val0000,0,0.000328047,106381.2890625,106381.288734453
-4,3,alexnet,high_heatflux_val0300,300,698421.296,732069.0,33647.70400000003
-8,1,rf,near_onb_below_val0120,120,266907.6965,78192.90625,188714.79025000002
-8,1,rf,near_onb_above_val0180,180,368978.105,364904.46875,4073.6362499999814
-8,1,rf,false_negative_val0237,237,368978.105,302893.03125,66085.07374999998
-8,1,rf,worst_prediction_val0134,134,266907.6965,73377.6953125,193530.00118750002
-8,1,rf,low_heatflux_val0060,60,20979.71604,91321.890625,70342.174585
-8,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,210643.734375,56263.96212500002
-8,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,395449.75,26471.64500000002
-8,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,225446.46875,143531.63624999998
-8,1,cnntf_v2_gap,worst_prediction_val0137,137,266907.6965,61094.28515625,205813.41134375002
-8,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,93474.515625,72494.799585
-8,1,alexnet,near_onb_below_val0120,120,266907.6965,111287.5078125,155620.18868750002
-8,1,alexnet,near_onb_above_val0180,180,368978.105,354626.0625,14352.042499999981
-8,1,alexnet,false_negative_val0230,230,368978.105,278647.6875,90330.41749999998
-8,1,alexnet,worst_prediction_val0133,133,266907.6965,-4971.3740234375,271879.0705234375
-8,1,alexnet,low_heatflux_val0060,60,20979.71604,1976.217529296875,19003.498510703124
-8,2,rf,near_onb_below_val0060,60,221505.1102,72776.96875,148728.14145
-8,2,rf,near_onb_above_val0120,120,427276.195,390571.125,36705.07000000001
-8,2,rf,worst_prediction_val0185,185,57593.31665,233122.859375,175529.542725
-8,2,rf,low_heatflux_val0180,180,57593.31665,75397.1171875,17803.8005375
-8,2,rf,high_heatflux_val0300,300,859343.9142,743184.9375,116158.9767
-8,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,115447.0390625,106058.0711375
-8,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,408760.0,18516.195000000007
-8,2,cnntf_v2_gap,false_negative_val0132,132,427276.195,365073.4375,62202.75750000001
-8,2,cnntf_v2_gap,worst_prediction_val0054,54,181378.003,-4774.61767578125,186152.62067578125
-8,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,55809.60546875,1783.7111812500007
-8,2,alexnet,near_onb_below_val0060,60,221505.1102,148387.203125,73117.907075
-8,2,alexnet,near_onb_above_val0120,120,427276.195,400831.375,26444.820000000007
-8,2,alexnet,false_negative_val0152,152,427276.195,364064.03125,63212.16375000001
-8,2,alexnet,worst_prediction_val0001,1,181378.003,6616.484375,174761.518625
-8,2,alexnet,low_heatflux_val0180,180,57593.31665,107003.3984375,49410.0817875
-8,3,rf,near_onb_below_val0180,180,315466.1173,260755.140625,54710.97667499998
-8,3,rf,near_onb_above_val0240,240,489453.9981,567792.0625,78338.06439999997
-8,3,rf,worst_prediction_val0201,201,315466.1173,121580.484375,193885.63292499998
-8,3,rf,low_heatflux_val0000,0,0.000328047,124147.2265625,124147.226234453
-8,3,rf,high_heatflux_val0300,300,698421.296,778684.625,80263.32900000003
-8,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,258024.859375,57441.25792499998
-8,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,501741.15625,12287.158149999974
-8,3,cnntf_v2_gap,worst_prediction_val0039,39,0.000328047,292913.28125,292913.280921953
-8,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,187132.40625,187132.405921953
-8,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,748677.375,50256.07900000003
-8,3,alexnet,near_onb_below_val0180,180,315466.1173,296211.78125,19254.336049999984
-8,3,alexnet,near_onb_above_val0240,240,489453.9981,461646.75,27807.248100000026
-8,3,alexnet,worst_prediction_val0020,20,0.000328047,258731.859375,258731.859046953
-8,3,alexnet,low_heatflux_val0000,0,0.000328047,145829.765625,145829.765296953
-8,3,alexnet,high_heatflux_val0300,300,698421.296,713627.3125,15206.016500000027
-12,1,rf,near_onb_below_val0120,120,266907.6965,88759.8046875,178147.89181250002
-12,1,rf,near_onb_above_val0180,180,368978.105,364535.46875,4442.636249999981
-12,1,rf,false_negative_val0237,237,368978.105,309040.53125,59937.57374999998
-12,1,rf,low_heatflux_val0060,60,20979.71604,88197.046875,67217.330835
-12,1,rf,high_heatflux_val0300,300,776647.2223,688415.25,88231.97230000002
-12,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,188691.984375,78215.71212500002
-12,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,411896.40625,42918.30125000002
-12,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,277621.15625,91356.94874999998
-12,1,cnntf_v2_gap,worst_prediction_val0133,133,266907.6965,81091.4296875,185816.26681250002
-12,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,103623.859375,82644.143335
-12,1,alexnet,near_onb_below_val0120,120,266907.6965,155651.5,111256.19650000002
-12,1,alexnet,near_onb_above_val0180,180,368978.105,360540.65625,8437.448749999981
-12,1,alexnet,false_negative_val0236,236,368978.105,258814.6875,110163.41749999998
-12,1,alexnet,worst_prediction_val0161,161,266907.6965,39681.37890625,227226.31759375002
-12,1,alexnet,low_heatflux_val0060,60,20979.71604,24660.47265625,3680.7566162500007
-12,2,rf,near_onb_below_val0060,60,221505.1102,72196.9375,149308.1727
-12,2,rf,near_onb_above_val0120,120,427276.195,391430.03125,35846.16375000001
-12,2,rf,worst_prediction_val0086,86,221505.1102,67728.1328125,153776.9773875
-12,2,rf,low_heatflux_val0180,180,57593.31665,183894.34375,126301.0271
-12,2,rf,high_heatflux_val0300,300,859343.9142,746853.0625,112490.8517
-12,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,65129.53515625,156375.57504375
-12,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,435234.625,7958.429999999993
-12,2,cnntf_v2_gap,worst_prediction_val0056,56,181378.003,-28470.181640625,209848.184640625
-12,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,56038.5234375,1554.7932125000007
-12,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,803411.375,55932.5392
-12,2,alexnet,near_onb_below_val0060,60,221505.1102,113614.71875,107890.39145
-12,2,alexnet,near_onb_above_val0120,120,427276.195,420542.40625,6733.788750000007
-12,2,alexnet,worst_prediction_val0018,18,181378.003,-12910.9052734375,194288.9082734375
-12,2,alexnet,low_heatflux_val0180,180,57593.31665,177067.828125,119474.511475
-12,2,alexnet,high_heatflux_val0300,300,859343.9142,769922.5625,89421.3517
-12,3,rf,near_onb_below_val0180,180,315466.1173,268088.03125,47378.08604999998
-12,3,rf,near_onb_above_val0240,240,489453.9981,565291.0625,75837.06439999997
-12,3,rf,worst_prediction_val0201,201,315466.1173,132869.21875,182596.89854999998
-12,3,rf,low_heatflux_val0000,0,0.000328047,130085.21875,130085.218421953
-12,3,rf,high_heatflux_val0300,300,698421.296,784840.25,86418.95400000003
-12,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,304813.0625,10653.054799999984
-12,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,485037.375,4416.623100000026
-12,3,cnntf_v2_gap,worst_prediction_val0023,23,0.000328047,286843.125,286843.124671953
-12,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,199581.234375,199581.234046953
-12,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,758091.25,59669.95400000003
-12,3,alexnet,near_onb_below_val0180,180,315466.1173,330081.96875,14615.851450000016
-12,3,alexnet,near_onb_above_val0240,240,489453.9981,472225.6875,17228.310600000026
-12,3,alexnet,worst_prediction_val0040,40,0.000328047,243775.375,243775.374671953
-12,3,alexnet,low_heatflux_val0000,0,0.000328047,130571.453125,130571.452796953
-12,3,alexnet,high_heatflux_val0300,300,698421.296,689236.3125,9184.983499999973
-16,1,rf,near_onb_below_val0120,120,266907.6965,93395.03125,173512.66525000002
-16,1,rf,near_onb_above_val0180,180,368978.105,366014.75,2963.3549999999814
-16,1,rf,false_negative_val0230,230,368978.105,307645.59375,61332.51124999998
-16,1,rf,low_heatflux_val0060,60,20979.71604,106678.5546875,85698.8386475
-16,1,rf,high_heatflux_val0300,300,776647.2223,691431.5625,85215.65980000002
-16,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,137669.5625,129238.13400000002
-16,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,415359.1875,46381.08250000002
-16,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,269081.9375,99896.16749999998
