snr,fold,model,evaluation_unit,aggregation,group,axis,low,high,unit,low_index,high_index,n_chunks,n_samples,n_source_wavs,n_onb_samples,base_r2,masked_r2,r2_drop,base_rmse_all,masked_rmse_all,rmse_all_increase,base_mae_all,masked_mae_all,mae_all_increase,base_rmse_onb,masked_rmse_onb,rmse_onb_increase,base_recall,masked_recall,recall_drop,base_f1,masked_f1,f1_drop,base_false_negatives,masked_false_negatives,false_negative_increase
no_noise,1,rf,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,3,360,6,6,1,0.9714579086549017,0.9714579086549017,0.0,42593.467388283476,42593.467388283476,0.0,37682.576053749995,37682.576053749995,0.0,12448.792499999981,12448.792499999981,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,3,5,360,6,6,1,0.9714579086549017,0.9714579086549017,0.0,42593.467388283476,42593.467388283476,0.0,37682.576053749995,37682.576053749995,0.0,12448.792499999981,12448.792499999981,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,5,10,360,6,6,1,0.9714579086549017,0.9732807223585116,-0.0018228137036099268,42593.467388283476,41210.93390800017,-1382.5334802833095,37682.576053749995,36576.546756874995,-1106.029296875,12448.792499999981,12420.464374999981,-28.328125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,10,20,360,6,6,1,0.9714579086549017,0.9701762046416916,0.0012817040132100388,42593.467388283476,43539.31132937403,945.8439410905557,37682.576053749995,36359.930871458324,-1322.6451822916715,12448.792499999981,13317.104999999981,868.3125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_2000_5000Hz,frequency,2000.0,5000.0,Hz,20,51,360,6,6,1,0.9714579086549017,0.5380425101070112,0.43341539854789046,42593.467388283476,171356.70656354813,128763.23917526465,37682.576053749995,141170.02356,103487.44750625,12448.792499999981,76709.16749999998,64260.375,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.5,0.30000000000000004,1,2,1
no_noise,1,rf,source_wav,median,freq_5000_10000Hz,frequency,5000.0,10000.0,Hz,51,102,360,6,6,1,0.9714579086549017,0.9713147316682554,0.0001431769866462318,42593.467388283476,42700.16551763064,106.69812934716174,37682.576053749995,37622.893762083324,-59.68229166667152,12448.792499999981,12547.339374999981,98.546875,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_10000_15000Hz,frequency,10000.0,15000.0,Hz,102,153,360,6,6,1,0.9714579086549017,0.9714579086549017,0.0,42593.467388283476,42593.467388283476,0.0,37682.576053749995,37682.576053749995,0.0,12448.792499999981,12448.792499999981,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_15000_22000Hz,frequency,15000.0,22000.0,Hz,153,224,360,6,6,1,0.9714579086549017,0.9714579086549017,0.0,42593.467388283476,42593.467388283476,0.0,37682.576053749995,37682.576053749995,0.0,12448.792499999981,12448.792499999981,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,1,0.9714579086549017,0.9546260100425842,0.016831898612317486,42593.467388283476,53703.622993114805,11110.155604831329,37682.576053749995,46180.30311208334,8497.727058333345,12448.792499999981,12053.104999999981,-395.6875,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,1,0.9714579086549017,0.9521079997152875,0.01934990893961419,42593.467388283476,55173.63383185502,12580.166443571543,37682.576053749995,48030.75233083334,10348.176277083345,12448.792499999981,15335.120624999981,2886.328125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,1,0.9714579086549017,0.9544701472697636,0.016987761385138023,42593.467388283476,53795.781735344215,11202.31434706074,37682.576053749995,45602.34738291667,7919.771329166673,12448.792499999981,11658.511249999981,-790.28125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,time_4,time,0.75,1.0,s,168,224,360,6,6,1,0.9714579086549017,0.9511763748743381,0.02028153378056352,42593.467388283476,55707.685009892935,13114.21762160946,37682.576053749995,49363.047903750004,11680.471850000009,12448.792499999981,21621.79249999998,9173.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,3,360,6,6,1,0.9927030175634677,0.9924152933930226,0.0002877241704450917,21536.332642363534,21956.82260340037,420.4899610368375,16175.636100677095,16968.56057984376,792.9244791666661,5118.417499999981,5218.745624999981,100.328125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,3,5,360,6,6,1,0.9927030175634677,0.8067129853552285,0.18599003220823918,21536.332642363534,110841.2562319075,89304.92358954396,16175.636100677095,87969.88260132812,71794.24650065103,5118.417499999981,46249.87062499998,41131.453125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,5,10,360,6,6,1,0.9927030175634677,0.4731027252587877,0.51960029230468,21536.332642363534,183005.05085758626,161468.71821522273,16175.636100677095,153764.83693916668,137589.20083848957,5118.417499999981,9641.011249999981,4522.59375,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,10,20,360,6,6,1,0.9927030175634677,0.07777109581872388,0.9149319217447438,21536.332642363534,242113.75586286883,220577.4232205053,16175.636100677095,205321.240585,189145.6044843229,5118.417499999981,22852.65187499998,17734.234375,0.6666666666666666,0.0,0.6666666666666666,0.8,0.0,0.8,1,3,2
no_noise,1,cnntf_v2_gap,source_wav,median,freq_2000_5000Hz,frequency,2000.0,5000.0,Hz,20,51,360,6,6,1,0.9927030175634677,-0.002843690138934374,0.9955467077024021,21536.332642363534,252474.0363372101,230937.70369484657,16175.636100677095,225273.18996000002,209097.5538593229,5118.417499999981,81699.84812500002,76581.43062500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,cnntf_v2_gap,source_wav,median,freq_5000_10000Hz,frequency,5000.0,10000.0,Hz,51,102,360,6,6,1,0.9927030175634677,-1.1375240598639151,2.130227077427383,21536.332642363534,368600.23349930486,347063.9008569413,16175.636100677095,327695.409635,311519.7735343229,5118.417499999981,390616.8325,385498.41500000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,cnntf_v2_gap,source_wav,median,freq_10000_15000Hz,frequency,10000.0,15000.0,Hz,102,153,360,6,6,1,0.9927030175634677,0.2578730609416384,0.7348299566218293,21536.332642363534,217189.68649341897,195653.35385105544,16175.636100677095,194893.2238141667,178717.5877134896,5118.417499999981,156875.55125000002,151757.13375000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.75,0.050000000000000044,1,0,-1
no_noise,1,cnntf_v2_gap,source_wav,median,freq_15000_22000Hz,frequency,15000.0,22000.0,Hz,153,224,360,6,6,1,0.9927030175634677,-1.1624939951857454,2.155197012749213,21536.332642363534,370746.92289388715,349210.5902515236,16175.636100677095,359094.6649092708,342919.02880859375,5118.417499999981,327102.310078125,321983.892578125,0.6666666666666666,0.0,0.6666666666666666,0.8,0.0,0.8,1,3,2
no_noise,1,cnntf_v2_gap,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,1,0.9927030175634677,0.771228903183638,0.22147411437982967,21536.332642363534,120587.051778806,99050.71913644247,16175.636100677095,95393.315850625,79217.67974994791,5118.417499999981,68319.47999999998,63201.0625,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,1,0.9927030175634677,0.5438695435177834,0.4488334740456843,21536.332642363534,170272.54837435187,148736.21573198834,16175.636100677095,135171.88030375002,118996.24420307293,5118.417499999981,55689.62062499998,50571.203125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,1,0.9927030175634677,0.44154142787129735,0.5511615896921703,21536.332642363534,188406.36944466794,166870.0368023044,16175.636100677095,146784.88551208333,130609.24941140624,5118.417499999981,66255.43312499998,61137.015625,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.5,0.30000000000000004,1,2,1
no_noise,1,cnntf_v2_gap,source_wav,median,time_4,time,0.75,1.0,s,168,224,360,6,6,1,0.9927030175634677,0.7001864901291954,0.29251652743427226,21536.332642363534,138046.59513845172,116510.2624960882,16175.636100677095,106140.976006875,89965.33990619791,5118.417499999981,54122.88624999998,49004.46875,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
