snr,model,n,n_relative_error_gt_005,median_relative_error,max_relative_error,median_absolute_error,median_output_delta_abs
-12,alexnet,15,15,199.07036122583577,691063.0230933229,105283922.0625,370271.671875
-12,cnntf_v2_gap,15,15,1106.5937331325144,273474.0538954194,109484174.3515625,164493.75
-16,alexnet,15,15,370.5855124462028,246753.4849415244,505945747.5390625,637740.578125
-16,cnntf_v2_gap,15,15,4823.2954254006845,292986.7537027197,234724616.78125,146329.03125
-20,alexnet,15,15,1249.3178422278836,87581.74004852971,1125794731.5703125,759467.5703125
-20,cnntf_v2_gap,15,15,893.5189071520311,430974.6779243255,196053866.515625,221440.390625
-4,alexnet,15,15,99.7023940003542,75147.96011546547,23063920.9140625,187945.53125
-4,cnntf_v2_gap,15,15,600.9721020885443,72553.10806500727,21256402.03125,137994.28125
-8,alexnet,15,15,56.83503655751698,67499.25262351683,14062034.813720703,332931.0625
-8,cnntf_v2_gap,15,15,350.91571493847283,346235.46960366087,66049276.1953125,158094.9375
0,alexnet,15,15,43.01276284669964,79288.81379360703,7735043.75,210560.5546875
0,cnntf_v2_gap,15,15,89.23338016618244,64968.54167949665,9193261.1171875,137329.015625
no_noise,alexnet,15,15,179.70928142373788,50659.79616749914,1883886.78125,111581.6953125
no_noise,cnntf_v2_gap,15,15,25.43683353945086,89533.62581515369,459596.51953125,213763.2734375
