snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9769349018401842,0.9800160014851853,0.3779219726251233
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.9764614947799517,0.9796124490594548,0.38689690624206796
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999643122873771,0.9999634045215893,0.04375529595229498
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999641635563008,0.9999632587594683,0.04379028712507997
no_noise,1,cnntf_v2_gap,false_negative_val0224,integrated_gradients,1,0.01,0.9999624627688058,0.9999592527329754,0.07438383593403514
no_noise,1,cnntf_v2_gap,false_negative_val0224,integrated_gradients,2,0.01,0.9999633412789078,0.9999602108300765,0.07406963422656704
no_noise,1,cnntf_v2_gap,worst_prediction_val0135,integrated_gradients,1,0.01,0.9748759260053732,0.978978257713604,0.3633486417395216
no_noise,1,cnntf_v2_gap,worst_prediction_val0135,integrated_gradients,2,0.01,0.9739644744337088,0.9782251235815578,0.3680443449229579
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9894036416086984,0.9905294080459446,0.2931385282266457
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.9894533217942101,0.9905598355148789,0.29073311292937476
no_noise,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.9801337488280534,0.9819772119846059,0.370671033971835
no_noise,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9809346509979067,0.9826840990549836,0.3644415441038321
no_noise,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999585419930482,0.9999580752906886,0.03897482958601992
no_noise,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999597589308582,0.9999594026389277,0.038347226109533124
no_noise,1,alexnet,false_negative_val0231,integrated_gradients,1,0.01,0.9999647373116877,0.9999622907081561,0.05227901979528411
no_noise,1,alexnet,false_negative_val0231,integrated_gradients,2,0.01,0.9999644843228268,0.9999618528811628,0.05280445986923497
no_noise,1,alexnet,worst_prediction_val0145,integrated_gradients,1,0.01,0.980613776565448,0.9820042491201579,0.374448519443102
no_noise,1,alexnet,worst_prediction_val0145,integrated_gradients,2,0.01,0.9880173841716636,0.9889364845120773,0.3249472835181367
no_noise,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9949939341024855,0.9952980366578204,0.23666514153825427
