snr,model,axis,group,low,high,mean_r2_drop,min_r2_drop,max_r2_drop,mean_rmse_increase
-12,alexnet,frequency,freq_0_256Hz,0.0,256.0,-0.0016407112684054335,-0.0033522916284173,-0.0004998244320548,-894.6447869646945
-12,alexnet,frequency,freq_10000_15000Hz,10000.0,15000.0,18.250505620668523,10.253257542654543,25.65801930458262,1043400.4442571175
-12,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,52.30849170133373,34.98040559170529,85.87366527681745,1777154.5287468026
-12,alexnet,frequency,freq_15000_22000Hz,15000.0,22000.0,9.176099355706974,4.327521069141726,15.65071855582346,705630.1524814572
-12,alexnet,frequency,freq_2000_5000Hz,2000.0,5000.0,37.67300507139026,13.633680850179989,59.45064371514621,1484139.1404042419
-12,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.06955838325343437,0.0392375531053014,0.0993327202700501,29012.109806857956
-12,alexnet,frequency,freq_5000_10000Hz,5000.0,10000.0,22.157878585750577,8.315620594096265,35.836333400588295,1122889.3242767656
-12,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,15.726680771163679,1.95610579513502,41.65340833865075,772145.3404138152
-12,alexnet,time,time_1,0.0,0.25,13.013184343964587,5.437943550850218,22.81744625348865,853418.4234477807
-12,alexnet,time,time_2,0.25,0.5,31.839173811849083,12.544704799454928,46.70224648649962,1376761.3181530216
-12,alexnet,time,time_3,0.5,0.75,16.310636543281365,4.151605935391364,29.29872921385395,929516.7368747791
-12,alexnet,time,time_4,0.75,1.0,5.858786131769204,2.140413887699108,10.81750639929414,538461.3414503495
-12,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,2.7600651927233317e-05,-0.0004341321414547,0.0006511552015644,125.11468050056526
-12,cnntf_v2_gap,frequency,freq_10000_15000Hz,10000.0,15000.0,0.6736345109637153,0.6182308188849384,0.7399753584737572,156571.23126194178
-12,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,1.283475507642575,1.0369729726898966,1.7091140818327977,235158.51332336117
-12,cnntf_v2_gap,frequency,freq_15000_22000Hz,15000.0,22000.0,1.4218585719958032,0.6299083030122766,2.536519948582872,236715.1022834254
-12,cnntf_v2_gap,frequency,freq_2000_5000Hz,2000.0,5000.0,1.386589563227499,0.8463229943420326,2.07191057068403,240774.40509284326
-12,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,0.02876450417299327,-0.0412619852369195,0.1129586855098455,16305.291438488186
-12,cnntf_v2_gap,frequency,freq_5000_10000Hz,5000.0,10000.0,1.4316638967273339,0.5451943513229371,2.3262122475435976,238344.81907449523
-12,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,0.7416485466188775,0.4814878209282528,0.9164419927487266,165531.98351653284
-12,cnntf_v2_gap,time,time_1,0.0,0.25,0.13901864908527817,0.1187581160405338,0.152226446358642,51629.94079543766
