snr,model_a,model_b,pearson
no_noise,rf,cnntf_v2_gap,0.814381802680797
no_noise,rf,alexnet,0.7229996746462481
no_noise,cnntf_v2_gap,alexnet,0.9521260518310982
0,rf,cnntf_v2_gap,0.7843936863444246
0,rf,alexnet,0.7816048110090282
0,cnntf_v2_gap,alexnet,0.951031956854476
-4,rf,cnntf_v2_gap,0.796664574425411
-4,rf,alexnet,0.6746521103978936
-4,cnntf_v2_gap,alexnet,0.9540391162043633
-8,rf,cnntf_v2_gap,0.8105221045060705
-8,rf,alexnet,0.659777602482573
-8,cnntf_v2_gap,alexnet,0.9086892961415266
-12,rf,cnntf_v2_gap,0.857140426212122
-12,rf,alexnet,0.7836912607402433
-12,cnntf_v2_gap,alexnet,0.9284548913877547
-16,rf,cnntf_v2_gap,0.6369155156153133
-16,rf,alexnet,0.732735737324828
-16,cnntf_v2_gap,alexnet,0.8494159870410074
-20,rf,cnntf_v2_gap,0.8782111106675181
-20,rf,alexnet,0.8414818100412966
-20,cnntf_v2_gap,alexnet,0.9310618224116979
