snr,fold,fit_id,training_wavs,validation_wavs,overlap,inner_holdout_errors_json
no_noise,1,b2fb7fcd85ba,12,6,0,"{""rf"": 0.1457895832724565, ""cnntf_v2_gap"": 0.0661992943034021, ""alexnet"": 0.09747042804147443}"
no_noise,2,676d3cd0da7f,12,6,0,"{""rf"": 0.32504462987319616, ""cnntf_v2_gap"": 0.16824901842111217, ""alexnet"": 0.26266157956604697}"
no_noise,3,3b5040586042,12,6,0,"{""rf"": 0.10170500863033816, ""cnntf_v2_gap"": 0.04124527248049148, ""alexnet"": 0.07577518479171053}"
0,1,6ca7c9374e7f,12,6,0,"{""rf"": 0.14828410663418978, ""cnntf_v2_gap"": 0.08512449401790079, ""alexnet"": 0.09215836118913123}"
0,2,c8fbc7be44a7,12,6,0,"{""rf"": 0.3228786136371953, ""cnntf_v2_gap"": 0.23130294519328176, ""alexnet"": 0.241186980731372}"
0,3,2931c844925d,12,6,0,"{""rf"": 0.10922772136728287, ""cnntf_v2_gap"": 0.07261355106925205, ""alexnet"": 0.0402893179734759}"
-4,1,7bdc30eddfdd,12,6,0,"{""rf"": 0.14633892272040216, ""cnntf_v2_gap"": 0.0795839606497909, ""alexnet"": 0.0978763914902443}"
-4,2,9446b1c6ca98,12,6,0,"{""rf"": 0.3224375789062952, ""cnntf_v2_gap"": 0.21119775213302705, ""alexnet"": 0.2235867731726915}"
-4,3,6e52b14a8955,12,6,0,"{""rf"": 0.13839723889835764, ""cnntf_v2_gap"": 0.08499482829113525, ""alexnet"": 0.05832536497152574}"
-8,1,b56379309cc0,12,6,0,"{""rf"": 0.14982248622014305, ""cnntf_v2_gap"": 0.08550087434432552, ""alexnet"": 0.14032416242000212}"
-8,2,d424395d44e2,12,6,0,"{""rf"": 0.3229510166138968, ""cnntf_v2_gap"": 0.1962916867414406, ""alexnet"": 0.23365583400376244}"
-8,3,3cb2bfa26c8d,12,6,0,"{""rf"": 0.14816702374055235, ""cnntf_v2_gap"": 0.07602638542899176, ""alexnet"": 0.035296578716686455}"
-12,1,2e27d4384786,12,6,0,"{""rf"": 0.1490976654004208, ""cnntf_v2_gap"": 0.1011973847648433, ""alexnet"": 0.11762455287754048}"
-12,2,156c13a6c795,12,6,0,"{""rf"": 0.32705080366391315, ""cnntf_v2_gap"": 0.2013518071391699, ""alexnet"": 0.3179967540383929}"
-12,3,aa38a0838a02,12,6,0,"{""rf"": 0.16353471890499172, ""cnntf_v2_gap"": 0.06219730150897007, ""alexnet"": 0.04054961724412964}"
-16,1,933a4ba93bf4,12,6,0,"{""rf"": 0.14906005749452556, ""cnntf_v2_gap"": 0.10819312895139088, ""alexnet"": 0.13455580005384016}"
-16,2,f921a7a7dd3c,12,6,0,"{""rf"": 0.3265747552657503, ""cnntf_v2_gap"": 0.22775156142388697, ""alexnet"": 0.322183061064681}"
-16,3,9283fc1ecf90,12,6,0,"{""rf"": 0.16746594093821987, ""cnntf_v2_gap"": 0.09062885428703349, ""alexnet"": 0.09507115759412199}"
-20,1,5ef27bb63384,12,6,0,"{""rf"": 0.14824471422988272, ""cnntf_v2_gap"": 0.12876741170334027, ""alexnet"": 0.18281760372245193}"
-20,2,ce39353db5d6,12,6,0,"{""rf"": 0.32376363033236777, ""cnntf_v2_gap"": 0.22250754981172838, ""alexnet"": 0.378343806912135}"
-20,3,16a18767a2f4,12,6,0,"{""rf"": 0.1722005090133808, ""cnntf_v2_gap"": 0.10132148432418486, ""alexnet"": 0.3454986267045743}"
