snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,204663.796875,801357.1875,0.5897739729391432,0.6427802091193524,0.8564309196547467
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,360843.4375,749814.8125,0.6013813340293481,0.6058805761717125,0.9128476207930241
no_noise,1,cnntf_v2_gap,false_negative_val0224,integrated_gradients,output,301546.59375,756967.1875,0.771068798621958,0.771966864109043,0.8318047557146767
no_noise,1,cnntf_v2_gap,worst_prediction_val0135,integrated_gradients,output,111101.9765625,741573.1875,0.5775219801375782,0.6412232982904632,0.8599125617363893
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,44792.5546875,768505.0,0.6348655543824782,0.6707087401980881,0.870759485015503
no_noise,1,alexnet,near_onb_below_val0120,integrated_gradients,output,77400.4609375,467428.25,0.6149108813738954,0.6454763318435242,0.7300018134190007
no_noise,1,alexnet,near_onb_above_val0180,integrated_gradients,output,384065.28125,460576.65625,0.6227079640069221,0.6276462254161932,0.7442710561528135
no_noise,1,alexnet,false_negative_val0231,integrated_gradients,output,260553.953125,444207.875,0.6863552996347854,0.6888956617775182,0.723244119899008
no_noise,1,alexnet,worst_prediction_val0145,integrated_gradients,output,15378.0283203125,471551.375,0.6094468434575935,0.6393419983066884,0.7299418157297304
no_noise,1,alexnet,low_heatflux_val0060,integrated_gradients,output,-3151.204833984375,466821.1875,0.6045422927645508,0.6304809116455478,0.7256051315827852
no_noise,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,output,172114.25,825778.75,0.5458959824333591,0.6293335227741848,0.8315956200824354
no_noise,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,output,409197.5625,795411.125,0.6007795932868036,0.6052981851963366,0.8827632531412628
no_noise,2,cnntf_v2_gap,worst_prediction_val0006,integrated_gradients,output,62808.55078125,822491.25,0.594451006678834,0.6523733463203759,0.8334150450360952
no_noise,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,output,93459.578125,899135.4375,0.578313127962281,0.6315561207992172,0.8449062002965517
no_noise,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,823911.625,681912.0625,0.5520301740085942,0.5577068113102325,0.9163025038346879
no_noise,2,alexnet,near_onb_below_val0060,integrated_gradients,output,156687.703125,422090.5,0.5971437033012398,0.6336147362495975,0.7466499118110453
no_noise,2,alexnet,near_onb_above_val0120,integrated_gradients,output,387438.0625,426812.59375,0.6387799963139436,0.6422372752511096,0.7638348778942833
no_noise,2,alexnet,false_negative_val0134,integrated_gradients,output,366390.5625,422742.09375,0.6143914570058506,0.6188883717496948,0.7537497647804038
no_noise,2,alexnet,worst_prediction_val0007,integrated_gradients,output,32905.5859375,424166.90625,0.6099087949997274,0.6386710519237454,0.7345591769926731
no_noise,2,alexnet,low_heatflux_val0180,integrated_gradients,output,134004.3125,421484.5,0.6330398071779988,0.6590876434712557,0.7436152003568255
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,output,264708.625,-657102.125,0.8013397895133456,0.801878267644739,0.7020132162710304
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,output,493626.59375,-719369.25,0.6944058231288041,0.6973650321725936,0.75271284330038
