created_at,run_instance_id,run_hash,run_dir,save_path,experiment_name,data_source_dir,max_freq_hz,noise_dir_name,snr_value,threshold_available,threshold,parameter_set,model_key,model_label,lr,batch_size,n_estimators,max_depth,subsample,colsample_bynode,builder_params_json,requested_batch_size,actual_batch_sizes,min_actual_batch_size,epochs_completed,stopped_by_memory_error,r2_mean,r2_se,rmse_all_mean,rmse_all_se,mae_all_mean,mae_all_se,r2_high_mean,r2_high_se,rmse_high_mean,rmse_high_se,mae_high_mean,mae_high_se,rmse_onb_mean,rmse_onb_se,mae_onb_mean,mae_onb_se,auc_binary_mean,auc_binary_se,roc_auc_cont_mean,roc_auc_cont_se,pr_auc_cont_mean,pr_auc_cont_se,accuracy_mean,accuracy_se,precision_mean,precision_se,recall_mean,recall_se,f1_mean,f1_se
2026-09-15T09:57:57,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_no_noise\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_no_noise,no_noise,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,rf,RandomForest,,,300,4,0.6,0.6,"{""colsample_bynode"": 0.6, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.6}",,,,,0,0.8856542341,0.02151241902,88254.61765,10459.40886,72361.60876,9135.087623,0.7687668115,0.09628050672,64634.40745,8511.362415,57122.18793,8281.010978,32366.02598,0,22772.90342,0,0.9474537037,0.04743337415,0.9983024691,0.001697530864,0.9984498305,0.001550169542,0.9462962963,0.04693083666,0.9866666667,0.01333333333,0.9018518519,0.09814814815,0.9356511334,0.05446435071
2026-09-15T09:57:57,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_no_noise\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_no_noise,no_noise,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,cnntf_v2_gap,CNN+Tf v2 GAP,0.001,16,,,,,{},16,16,16,300,0,0.9508858621,0.02493715491,54623.28271,13584.68742,41566.51679,10315.61382,0.9492270018,0.02120264398,30296.10106,3475.137235,24645.37298,2998.423983,25546.24268,0,19300.02227,0,0.9634259259,0.03451170752,0.9993312757,0.0006687242798,0.9993124224,0.0006875776279,0.962962963,0.03429677625,0.9945355191,0.005464480874,0.9296296296,0.07037037037,0.9579077049,0.03803496038
2026-09-15T09:57:57,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_no_noise\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_no_noise,no_noise,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,alexnet,AlexNet,0.001,16,,,,,{},16,16,16,300,0,0.9235478979,0.01123838585,71954.49192,3462.293924,56881.2206,2375.221284,0.9061886946,0.02651424796,46448.82008,12324.42492,39434.86083,11452.79628,37761.20313,0,27461.8782,0,0.9583333333,0.03757708127,0.9992489712,0.0007510288066,0.9992488915,0.0007511085068,0.9583333333,0.03757708127,1,0,0.9166666667,0.07515416255,0.9531737223,0.04269357067
2026-09-15T09:57:57,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_no_noise\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_no_noise,no_noise,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__simple_equal,ensemble__simple_equal,,,,,,,{},,,,,0,0.9350518088,0.01428543629,66165.4776,7160.692605,50467.27544,6579.60695,0.9243954984,0.01887666296,39789.17369,7836.673016,32659.30741,6184.747426,28708.29937,0,20541.44321,0,0.9583333333,0.04166666667,0.9996296296,0.0003703703704,0.9996403937,0.0003596063227,0.9583333333,0.04166666667,1,0,0.9166666667,0.08333333333,0.9523809524,0.04761904762
2026-09-15T09:57:57,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_no_noise\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_no_noise,no_noise,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__inner_holdout,ensemble__inner_holdout,,,,,,,{},,,,,0,0.9404953043,0.01603405517,62942.41506,8097.96655,47871.78755,6359.727416,0.9386753915,0.01514087918,36043.81157,7413.685894,29073.31628,5703.088385,27855.69538,0,20490.45407,0,0.9601851852,0.03981481481,0.9996502058,0.0003497942387,0.9996580416,0.0003419583563,0.9601851852,0.03981481481,1,0,0.9203703704,0.07962962963,0.9547844374,0.04521556257
2026-09-15T10:19:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=0\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=0,0,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,rf,RandomForest,,,300,4,0.6,0.6,"{""colsample_bynode"": 0.6, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.6}",,,,,0,0.8873402321,0.02108524259,87603.21161,10284.4712,72975.40582,8166.191746,0.7674987802,0.09240367281,65328.29446,7591.059014,58933.28787,6030.515204,45115.10956,0,42631.90323,0,0.9819444444,0.01234471447,0.9984876543,0.001512345679,0.9986273372,0.001372662844,0.9805555556,0.01210805262,0.9841269841,0.01587301587,0.9722222222,0.02777777778,0.9773771651,0.01258216453
2026-09-15T10:19:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=0\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=0,0,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,cnntf_v2_gap,CNN+Tf v2 GAP,0.001,16,,,,,{},16,16,16,300,0,0.9295807487,0.03563892747,65264.21856,16152.72302,45508.54213,8690.091682,0.9655943299,0.009021819295,26378.16867,3795.155306,21005.65053,3377.144432,26684.07248,0,20226.61091,0,0.9671296296,0.03081052432,0.9984773663,0.001522633745,0.9984425284,0.001557471562,0.9666666667,0.03059761415,0.9900910747,0.005032599327,0.9407407407,0.05925925926,0.9629017447,0.03305223909
2026-09-15T10:19:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=0\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=0,0,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,alexnet,AlexNet,0.001,16,,,,,{},16,16,16,300,0,0.9002294772,0.008290038999,82877.67468,4566.733226,59105.66905,6713.634265,0.9049215029,0.0526227964,45177.10294,17523.03674,37122.59802,14752.11316,42650.53135,0,34891.20496,0,0.9555555556,0.04169751944,0.9994855967,0.0005144032922,0.9994855434,0.0005144566161,0.9555555556,0.04169751944,1,0,0.9111111111,0.08339503888,0.9493055308,0.0479283133
2026-09-15T10:19:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=0\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=0,0,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__simple_equal,ensemble__simple_equal,,,,,,,{},,,,,0,0.9205914066,0.01937090845,72995.55231,9010.718176,53756.48784,7209.905053,0.9262487767,0.02364432132,39343.86422,10101.63361,32329.13734,7904.09911,31173.45289,0,23209.73125,0,0.975,0.025,0.9994650206,0.0005349794239,0.999481236,0.0005187639918,0.975,0.025,1,0,0.95,0.05,0.972972973,0.02702702703
2026-09-15T10:19:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=0\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=0,0,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__inner_holdout,ensemble__inner_holdout,,,,,,,{},,,,,0,0.9232030435,0.01903117533,71739.95202,8833.672323,51518.35098,6734.387679,0.9393712137,0.02431168198,36051.38249,11089.08283,28689.26922,8841.981234,30588.05761,0,22684.47049,0,0.9675925926,0.03240740741,0.9994650206,0.0005349794239,0.9994786503,0.0005213497284,0.9675925926,0.03240740741,1,0,0.9351851852,0.06481481481,0.9641025641,0.0358974359
