snr,fold,model,sample_id,val_local_index,model_prediction_heat_flux,expected_value_heat_flux,sum_shap_heat_flux,reconstructed_prediction_heat_flux,completeness_error
no_noise,1,rf,near_onb_below_val0120,120,70943.0888938154,332193.7912544644,-261250.8529626921,70942.93829177233,-0.15060204306792002
no_noise,1,rf,near_onb_above_val0180,180,366777.9560493055,332193.7912544644,34585.096136620545,366778.887391085,0.9313417794764973
no_noise,1,rf,false_negative_val0237,237,282068.36367542075,332193.7912544644,-50124.08458525485,282069.7066692096,1.3429937888286076
no_noise,1,rf,worst_prediction_val0141,141,60275.25037269223,332193.7912544644,-271918.71429194487,60275.07696251955,-0.1734101726760855
no_noise,1,rf,low_heatflux_val0060,60,81352.13387464928,332193.7912544644,-250841.82879073505,81351.96246372937,-0.17141091990924906
no_noise,2,rf,near_onb_below_val0060,60,66549.93957441508,312186.1290646485,-245636.27168399873,66549.8573806498,-0.08219376527995337
no_noise,2,rf,near_onb_above_val0120,120,387457.2837638749,312186.1290646485,75270.6799912585,387456.809055907,-0.4747079678927548
no_noise,2,rf,worst_prediction_val0185,185,241654.78990202298,312186.1290646485,-70531.20488566122,241654.9241789873,0.13427696432336234
no_noise,2,rf,low_heatflux_val0180,180,55845.64784124016,312186.1290646485,-256340.52202609353,55845.607038555,-0.04080268516554497
no_noise,2,rf,high_heatflux_val0300,300,745085.1151471654,312186.1290646485,432898.470736798,745084.5998014465,-0.5153457188280299
no_noise,3,rf,near_onb_below_val0180,180,269263.8958516404,375346.4082794026,-106080.85859935675,269265.5496800458,1.6538284054258838
no_noise,3,rf,near_onb_above_val0240,240,565530.9032181138,375346.4082794026,190183.65250883487,565530.0607882375,-0.8424298763275146
no_noise,3,rf,worst_prediction_val0018,18,222683.4750864863,375346.4082794026,-152662.99086034496,222683.41741905763,-0.05766742865671404
no_noise,3,rf,low_heatflux_val0000,0,106537.87973756876,375346.4082794026,-268808.5196417904,106537.88863761217,0.008900043409084901
no_noise,3,rf,high_heatflux_val0300,300,782907.6909057728,375346.4082794026,407563.32882603956,782909.7371054422,2.046199669362977
0,1,rf,near_onb_below_val0120,120,66220.72143420066,332193.7912544644,-265973.17903198965,66220.61222247477,-0.10921172589587513
0,1,rf,near_onb_above_val0180,180,402202.3995237004,332193.7912544644,70008.87042018844,402202.66167465283,0.2621509524178691
