snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,false_negatives,false_positives,onb_prediction,onb_signed_error
no_noise,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.91393828897682905,78635.823528782872,59673.267977816831,0.88616765761834693,54175.93729051399,41527.29628124999,12448.792499999981,12448.792499999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,356529.3125,-12448.792499999981
no_noise,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.96228319030659404,52057.45429771598,35403.102919153636,0.97875845109395565,23402.738953070839,16856.681637500005,5118.4174999999814,5118.4174999999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,363859.6875,-5118.417499999981
no_noise,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.94276015724995255,64130.506102443316,53335.103316115441,0.91710506495257704,46231.458556186488,37191.991490625005,13942.026874999981,13942.026874999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,355036.078125,-13942.026874999981
no_noise,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.95048214711050338,59648.0642194104,44506.130683806434,0.94542996498557164,37510.315207333202,28043.149517708363,11977.224791666667,11977.224791666667,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,357000.8802083333,-11977.224791666667
no_noise,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.95350685444027061,57797.614801385811,42146.634360587785,0.95640505410289067,33526.766434562771,24065.168218342827,11674.352793806756,11674.352793806756,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,357303.7522061932,-11674.352793806756
0,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.91329095508731162,78931.008636200422,61528.292905073766,0.88111751825295892,55364.646173731933,44643.113781249995,32826.160625000019,32826.160625000019,1,1,1,1,1,1,1,1,0,0,401804.265625,32826.16062500002
0,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.94734401076892882,61509.095307276431,37468.834880073773,0.98647529767786535,18674.004320841788,11253.071890624997,4409.5268749999814,4409.5268749999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,364568.578125,-4409.526874999981
0,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.92138396649467835,75157.273266408461,54193.208490855031,0.90294825061567607,50023.638987438404,35879.907506250005,29852.620624999981,29852.620624999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,339125.484375,-29852.62062499998
0,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93971168954938478,65816.079344080354,46030.676505124429,0.94669762677823022,37072.072890850788,23419.426932291688,3373.8377083333326,3373.8377083333326,1,1,1,1,1,1,1,1,0,0,372351.9427083333,3373.8377083333326
0,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.94016704590463684,65567.054493559132,44805.397935310539,0.95231278211566539,35065.060328984822,20669.752078264522,1635.8902357483748,1635.8902357483748,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,367342.2147642516,-1635.8902357483748
-4,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.91591162283987748,77729.063776892319,59995.56832503905,0.88735564359037677,53892.498267224997,41151.64003124999,8689.6518749999814,8689.6518749999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,360288.453125,-8689.651874999981
-4,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.92989892560186915,70970.487491707448,47105.175089448778,0.97762276376325119,24020.211151832824,17771.371053125011,2523.8793750000186,2523.8793750000186,1,1,1,1,1,1,1,1,0,0,371501.984375,2523.8793750000186
-4,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.90570871403062037,82309.740159439214,62350.449335624995,0.90509977755627702,49466.047776144755,38769.813756250005,21722.948749999981,21722.948749999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,347255.15625,-21722.94874999998
-4,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93025560142440455,70789.707537527705,51050.79146615597,0.94480837883160729,37723.34303892919,26939.478512500034,9916.9227083333535,9916.9227083333535,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,359061.1822916666,-9916.922708333354
-4,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9295401134558553,71151.886782250222,50230.847527973565,0.95195563786537685,35196.121910562106,25017.101284609213,9076.5741267579142,9076.5741267579142,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,359901.53087324207,-9076.574126757914
-8,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.92272289247362038,74514.515219391964,58634.675905247386,0.88720581090512363,53928.328621272944,40575.91346874999,4068.3081249999814,4068.3081249999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,364909.796875,-4068.3081249999814
-8,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.92095048492262543,75364.193566884671,49590.822702643221,0.96658930570419543,29350.55701743381,23168.115231250005,19952.292499999981,19952.292499999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,349025.8125,-19952.29249999998
-8,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.91380756058810964,78695.525070391755,61720.350763847651,0.88880219274402728,53545.343514976987,46225.737584375005,39027.854999999981,39027.854999999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,329950.25,-39027.85499999998
-8,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93370782408160879,69015.492003333813,50159.678472073218,0.93851545161623107,39815.904963157525,29865.363059375042,19949.141458333354,19949.141458333354,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,349028.9635416666,-19949.141458333354
