maxfreq_khz,snr,mean_single_mse,prediction_diversity,mse_of_mean_wav_medians,production_equal_mse,max_median_order_difference
3,no_noise,5037503420.263647,643115072.063246,4394388348.2004,4293423457.1154413,11728.016927083328
3,0,5305969673.686586,600723961.1201859,4705245712.566401,4701108052.777473,7833.976562499949
3,-4,5242493761.68438,752128324.5298613,4490365437.154517,4501142215.445233,11606.494791666628
3,-8,4958394403.251809,570245282.3438219,4388149120.907987,4475611294.849152,5604.427083333139
3,-12,5746258968.383751,649086155.5970511,5097172812.786699,5233276865.369512,11335.124999999804
3,-16,6099809654.340492,821162708.6409672,5278646945.699526,5166145380.34608,5077.260416666744
3,-20,5928346928.037887,418733092.44264704,5509613835.595241,5556289495.5067425,6604.497395833292
22,no_noise,4335431034.321397,739610385.9607936,3595820648.360603,3557891565.1229095,5499.760416666475
22,0,5220696218.229719,828292946.2019911,4392403272.027728,4331756300.226282,6339.729166666471
22,-4,5951170258.519067,1006311546.4541055,4944858712.0649605,5011182693.248708,7297.886718750051
22,-8,5808386772.157505,910079858.8078866,4898306913.349616,4763138136.4622345,5164.9127604166715
22,-12,5439550915.790904,632612505.7010629,4806938410.089841,4799259190.079356,5752.760416666475
22,-16,5240772717.579338,1454004154.9174674,3786768562.66187,3699028904.8422756,6302.270182291657
22,-20,5693655939.946118,777576653.2194957,4916079286.726624,4987760467.2307625,4592.406249999804
