metric,snr,model,mean,se,source
r2,no_noise,AlexNet,0.9974,0.0009,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,no_noise,ResNet50,0.9975,0.0007,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,no_noise,VGG16,0.9974,0.0006,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,no_noise,Ensemble,0.9986,0.0005,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,0,AlexNet,0.9979,0.0002,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,0,ResNet50,0.9974,0.0006,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,0,VGG16,0.9975,0.0006,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,0,Ensemble,0.9987,0.0002,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-4,AlexNet,0.9913,0.001,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-4,ResNet50,0.9911,0.0014,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-4,VGG16,0.9919,0.0009,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-4,Ensemble,0.9938,0.001,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-8,AlexNet,0.9862,0.0007,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-8,ResNet50,0.9865,0.0015,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-8,VGG16,0.9873,0.002,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-8,Ensemble,0.9901,0.0012,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-12,AlexNet,0.9678,0.0034,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-12,ResNet50,0.975,0.0021,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-12,VGG16,0.9778,0.0019,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-12,Ensemble,0.9807,0.0009,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-16,AlexNet,0.9366,0.004,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-16,ResNet50,0.9312,0.0146,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-16,VGG16,0.9505,0.0018,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
r2,-16,Ensemble,0.9544,0.0026,"Table 4.2.1/4.2.2; PDF page 25, printed page 21"
