snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,false_negatives,false_positives,onb_prediction,onb_signed_error,maxfreq_khz
no_noise,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.91487859458828,78205.05828503982,60027.424119309886,0.8850694440858671,54436.64498347652,42713.40565624999,21374.01124999998,21374.01124999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,347604.09375,-21374.01124999998,3
no_noise,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9558163785318216,56343.79639923657,42454.022817330726,0.9655839655375008,29788.868780162225,23328.723078125007,16000.82374999998,16000.82374999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,352977.28125,-16000.82374999998,3
no_noise,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9189728550901142,76301.08601288607,61533.084467460925,0.8697946742064796,57941.26486776846,44863.596959375005,17104.24562499998,17104.24562499998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,351873.859375,-17104.24562499998,3
no_noise,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9402451965580316,65524.2203854074,46713.852508075805,0.9356183941430168,40743.1403445156,25595.113710416685,17647.375833333354,17647.375833333354,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,351330.7291666666,-17647.375833333354,3
no_noise,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9418743022936868,64624.84891168647,45795.0605804514,0.94165617698166,38785.646866038696,23514.592045729118,17830.4638249501,17830.4638249501,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,351147.6411750499,-17830.4638249501,3
0,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.91695937626594,77243.28809709636,59157.83452729599,0.8892856519835327,53428.81608287268,40214.720187499996,16924.80812499998,16924.80812499998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,352053.296875,-16924.80812499998,3
0,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9458228340518822,62391.23650035299,43201.7323538585,0.9656783503545074,29747.993250606585,21343.57764687501,17923.87062499998,17923.87062499998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,351054.234375,-17923.87062499998,3
0,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9156762775855322,77837.76122786262,61292.92876913194,0.8626999677715205,59498.89730426592,49519.729771875005,32243.58937499998,32243.58937499998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,336734.515625,-32243.58937499998,3
0,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9345711434105998,68564.62683321095,48922.75897816406,0.9309077208509314,42207.37635729293,29261.17824166667,17667.19874999998,17667.19874999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,351310.90625,-17667.19874999998,3
0,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9349595280446008,68360.82468377268,48570.99098241712,0.934080854799774,41226.77669662634,28650.399650619045,20053.216645610228,20053.216645610228,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,348924.8883543897,-20053.216645610228,3
