source_wav_id,chunk_index,heat_flux,band_hz,signal_stft_power,noise20_stft_power,realized_band_snr_at_ref_minus20,realized_band_snr_at_ref_zero
index=1.3.28E-04,0,0.000328047,500-1000,2.6550885434638675e-08,3.4340345216325014e-06,-21.11725647950289,-1.1172564795028883
index=1.3.28E-04,0,0.000328047,1000-2000,2.732615075247302e-08,4.7051219214316043e-07,-12.359924216465902,7.6400757835340976
index=1.3.28E-04,0,0.000328047,2000-3000,1.755385328921555e-08,4.49573190584588e-07,-14.0842794072421,5.9157205927579
index=1.3.28E-04,0,0.000328047,3000-5000,1.0520395109077968e-08,7.874422966769743e-07,-18.74186688076443,1.2581331192355698
index=1.3.28E-04,0,0.000328047,5000-10000,7.2474764446977905e-09,1.319820927204971e-05,-32.603281977828075,-12.603281977828075
index=1.3.28E-04,0,0.000328047,10000-15000,3.0995350478112473e-09,3.0488541387334577e-05,-39.92840096157725,-19.928400961577253
index=1.3.28E-04,0,0.000328047,15000-22050,6.702443875721033e-09,2.162941859450793e-05,-35.08811659608539,-15.088116596085392
index=1.3.28E-04,0,0.000328047,500-3000,7.143088947632724e-08,4.35411990436025e-06,-17.850143264237108,2.149856735762892
index=1.3.28E-04,0,0.000328047,3000-22050,2.756985047730804e-08,6.610361155056919e-05,-33.7979077692611,-13.797907769261101
index=1.3.28E-04,0,0.000328047,0-22050,9.998937674358727e-08,7.047151456644572e-05,-28.48059744076465,-8.480597440764651
index=1.3.28E-04,30,0.000328047,500-1000,1.9125724790045424e-08,1.6935737324480336e-06,-19.471862069018496,0.5281379309815044
index=1.3.28E-04,30,0.000328047,1000-2000,1.7109572439655365e-08,2.1421019097518153e-07,-10.976009715385732,9.023990284614268
index=1.3.28E-04,30,0.000328047,2000-3000,9.760716698214037e-09,2.2874730006400457e-07,-13.698742690384444,6.301257309615556
index=1.3.28E-04,30,0.000328047,3000-5000,4.642275161808413e-09,3.9738488453477373e-07,-19.324804648382866,0.6751953516171341
index=1.3.28E-04,30,0.000328047,5000-10000,2.801437055420708e-09,1.2332727545712567e-05,-36.43678268292344,-16.436782682923443
index=1.3.28E-04,30,0.000328047,10000-15000,1.4981150997789303e-09,3.299398763413439e-05,-43.42889625922514,-23.42889625922514
index=1.3.28E-04,30,0.000328047,15000-22050,2.758170989758819e-09,1.9401005726237185e-05,-38.472030575691846,-18.472030575691846
index=1.3.28E-04,30,0.000328047,500-3000,4.5996013927914824e-08,2.1365312234872198e-06,-16.6698904721445,3.3301095278555017
index=1.3.28E-04,30,0.000328047,3000-22050,1.1699998306766872e-08,6.512510579061892e-05,-37.45562642890706,-17.45562642890706
index=1.3.28E-04,30,0.000328047,0-22050,5.846269244888147e-08,6.727049294886384e-05,-30.609457976045125,-10.609457976045125
index=1.3.28E-04,59,0.000328047,500-1000,3.230921956469228e-08,1.4234308639376297e-06,-16.440099106254966,3.5599008937450343
index=1.3.28E-04,59,0.000328047,1000-2000,3.738757328503909e-08,2.1537695066987777e-07,-7.604719465606378,12.395280534393622
index=1.3.28E-04,59,0.000328047,2000-3000,2.2090561303846264e-08,1.9634717284591896e-07,-9.488179012593035,10.511820987406965
