band_hz,n,median_snr,min_snr,max_snr
500-1000,54,-15.422597061918495,-21.877567978547038,20.490527089825687
1000-2000,54,-3.4542356580037215,-14.31644622787678,34.19340548434355
2000-3000,54,4.04540430552273,-16.878694727958635,40.003672996058064
3000-5000,54,-12.830711182221316,-21.44979706216816,23.06069226945478
5000-10000,54,-21.92240613690108,-36.43678268292344,18.076065856890693
10000-15000,54,-35.18499586543359,-43.42889625922514,0.9256300919236313
15000-22050,54,-31.35422987911708,-38.472030575691846,1.1147923183430677
500-3000,54,-4.741503702998125,-19.49359200027948,31.661015128351195
3000-22050,54,-26.56832189230461,-37.45562642890706,10.664485869282572
0-22050,54,-16.938197174818725,-30.609457976045125,17.243188914246634
