source_wav_id,chunk_index,snr,maxfreq_khz,max_absolute_difference
index=1.3.28E-04,0,no_noise,3,0.0
index=1.3.28E-04,0,no_noise,22,0.0
index=1.3.28E-04,0,-20,3,0.0
index=1.3.28E-04,0,-20,22,0.0
index=1.3.28E-04,30,no_noise,3,0.0
index=1.3.28E-04,30,no_noise,22,0.0
index=1.3.28E-04,30,-20,3,0.0
index=1.3.28E-04,30,-20,22,0.0
index=1.3.28E-04,59,no_noise,3,0.0
index=1.3.28E-04,59,no_noise,22,0.0
index=1.3.28E-04,59,-20,3,0.0
index=1.3.28E-04,59,-20,22,0.0
index=10.3.15E+05,0,no_noise,3,0.0
index=10.3.15E+05,0,no_noise,22,0.0
index=10.3.15E+05,0,-20,3,0.0
index=10.3.15E+05,0,-20,22,0.0
index=10.3.15E+05,30,no_noise,3,0.0
index=10.3.15E+05,30,no_noise,22,0.0
index=10.3.15E+05,30,-20,3,0.0
index=10.3.15E+05,30,-20,22,0.0
index=10.3.15E+05,59,no_noise,3,0.0
index=10.3.15E+05,59,no_noise,22,0.0
index=10.3.15E+05,59,-20,3,0.0
index=10.3.15E+05,59,-20,22,0.0
index=11.3.69E+05,0,no_noise,3,0.0
index=11.3.69E+05,0,no_noise,22,0.0
index=11.3.69E+05,0,-20,3,0.0
index=11.3.69E+05,0,-20,22,0.0
index=11.3.69E+05,30,no_noise,3,0.0
index=11.3.69E+05,30,no_noise,22,0.0
index=11.3.69E+05,30,-20,3,0.0
index=11.3.69E+05,30,-20,22,0.0
index=11.3.69E+05,59,no_noise,3,0.0
index=11.3.69E+05,59,no_noise,22,0.0
index=11.3.69E+05,59,-20,3,0.0
index=11.3.69E+05,59,-20,22,0.0
index=12.4.27E+05,0,no_noise,3,0.0
index=12.4.27E+05,0,no_noise,22,0.0
index=12.4.27E+05,0,-20,3,0.0
index=12.4.27E+05,0,-20,22,0.0
index=12.4.27E+05,30,no_noise,3,0.0
index=12.4.27E+05,30,no_noise,22,0.0
index=12.4.27E+05,30,-20,3,0.0
index=12.4.27E+05,30,-20,22,0.0
index=12.4.27E+05,59,no_noise,3,0.0
index=12.4.27E+05,59,no_noise,22,0.0
index=12.4.27E+05,59,-20,3,0.0
index=12.4.27E+05,59,-20,22,0.0
index=13.4.89E+05,0,no_noise,3,0.0
index=13.4.89E+05,0,no_noise,22,0.0
index=13.4.89E+05,0,-20,3,0.0
index=13.4.89E+05,0,-20,22,0.0
index=13.4.89E+05,30,no_noise,3,0.0
index=13.4.89E+05,30,no_noise,22,0.0
index=13.4.89E+05,30,-20,3,0.0
index=13.4.89E+05,30,-20,22,0.0
index=13.4.89E+05,59,no_noise,3,0.0
index=13.4.89E+05,59,no_noise,22,0.0
index=13.4.89E+05,59,-20,3,0.0
index=13.4.89E+05,59,-20,22,0.0
index=14.5.54E+05,0,no_noise,3,0.0
index=14.5.54E+05,0,no_noise,22,0.0
index=14.5.54E+05,0,-20,3,0.0
index=14.5.54E+05,0,-20,22,0.0
index=14.5.54E+05,30,no_noise,3,0.0
index=14.5.54E+05,30,no_noise,22,0.0
index=14.5.54E+05,30,-20,3,0.0
index=14.5.54E+05,30,-20,22,0.0
index=14.5.54E+05,59,no_noise,3,0.0
index=14.5.54E+05,59,no_noise,22,0.0
index=14.5.54E+05,59,-20,3,0.0
index=14.5.54E+05,59,-20,22,0.0
index=15.6.24E+05,0,no_noise,3,0.0
index=15.6.24E+05,0,no_noise,22,0.0
index=15.6.24E+05,0,-20,3,0.0
index=15.6.24E+05,0,-20,22,0.0
index=15.6.24E+05,30,no_noise,3,0.0
index=15.6.24E+05,30,no_noise,22,0.0
index=15.6.24E+05,30,-20,3,0.0
index=15.6.24E+05,30,-20,22,0.0
index=15.6.24E+05,59,no_noise,3,0.0
index=15.6.24E+05,59,no_noise,22,0.0
index=15.6.24E+05,59,-20,3,0.0
index=15.6.24E+05,59,-20,22,0.0
index=16.6.98E+05,0,no_noise,3,0.0
index=16.6.98E+05,0,no_noise,22,0.0
index=16.6.98E+05,0,-20,3,0.0
index=16.6.98E+05,0,-20,22,0.0
index=16.6.98E+05,30,no_noise,3,0.0
index=16.6.98E+05,30,no_noise,22,0.0
index=16.6.98E+05,30,-20,3,0.0
index=16.6.98E+05,30,-20,22,0.0
index=16.6.98E+05,59,no_noise,3,0.0
index=16.6.98E+05,59,no_noise,22,0.0
index=16.6.98E+05,59,-20,3,0.0
index=16.6.98E+05,59,-20,22,0.0
index=17.7.77E+05,0,no_noise,3,0.0
index=17.7.77E+05,0,no_noise,22,0.0
index=17.7.77E+05,0,-20,3,0.0
index=17.7.77E+05,0,-20,22,0.0
index=17.7.77E+05,30,no_noise,3,0.0
index=17.7.77E+05,30,no_noise,22,0.0
index=17.7.77E+05,30,-20,3,0.0
index=17.7.77E+05,30,-20,22,0.0
index=17.7.77E+05,59,no_noise,3,0.0
index=17.7.77E+05,59,no_noise,22,0.0
index=17.7.77E+05,59,-20,3,0.0
index=17.7.77E+05,59,-20,22,0.0
index=18.8.59E+05,0,no_noise,3,0.0
index=18.8.59E+05,0,no_noise,22,0.0
index=18.8.59E+05,0,-20,3,0.0
index=18.8.59E+05,0,-20,22,0.0
index=18.8.59E+05,30,no_noise,3,0.0
index=18.8.59E+05,30,no_noise,22,0.0
index=18.8.59E+05,30,-20,3,0.0
index=18.8.59E+05,30,-20,22,0.0
index=18.8.59E+05,59,no_noise,3,0.0
index=18.8.59E+05,59,no_noise,22,0.0
