snr,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,auc_binary_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,r2_se,rmse_all_se,mae_all_se,r2_high_se,rmse_high_se,mae_high_se,rmse_onb_se,mae_onb_se,auc_binary_se,roc_auc_cont_se,pr_auc_cont_se,accuracy_se,precision_se,recall_se,f1_se
no_noise,RandomForest,0.890826,86046.700724,69773.292782,0.771823,64478.420201,56822.852773,35239.163315,27851.057292,0.944213,0.998632,0.998751,0.942593,0.981627,0.898148,0.930444,0.021450,9015.854662,7519.299641,0.092750,7964.256343,7027.085705,0.000000,0.000000,0.048678,0.001368,0.001249,0.048014,0.018373,0.101852,0.055987
no_noise,CNN+Tf v2 GAP,0.932807,66913.450321,51130.130936,0.912568,41640.829180,33658.973260,35170.182508,27116.878479,0.953704,0.997582,0.997519,0.953704,0.997475,0.909259,0.946581,0.016321,7358.262285,4180.245585,0.024374,2823.332869,2700.208793,0.000000,0.000000,0.046296,0.002418,0.002481,0.046296,0.002525,0.090741,0.053419
no_noise,AlexNet,0.893275,85373.621254,65641.355893,0.809900,63446.213480,50102.449839,38043.879480,28348.765656,0.950926,0.999640,0.999648,0.950926,1.000000,0.901852,0.942454,0.011556,3489.793023,2408.549769,0.033694,8826.325714,5363.766927,0.000000,0.000000,0.049074,0.000360,0.000352,0.049074,0.000000,0.098148,0.057546
no_noise,Ensemble simple equal,0.917573,74791.519999,56181.114522,0.892625,48075.712954,37836.519442,34514.433850,25868.456712,0.948148,0.999496,0.999515,0.948148,1.000000,0.896296,0.938596,0.014896,6557.080890,5760.465614,0.020996,8739.534845,6215.431789,0.000000,0.000000,0.051852,0.000504,0.000485,0.051852,0.000000,0.103704,0.061404
no_noise,Ensemble inner holdout,0.921332,72974.020473,54839.956264,0.902370,45920.667985,35759.745774,34409.879478,25596.959226,0.949074,0.999198,0.999221,0.949074,1.000000,0.898148,0.939891,0.015159,6716.457765,5279.422913,0.018995,8485.969754,6220.250685,0.000000,0.000000,0.050926,0.000802,0.000779,0.050926,0.000000,0.101852,0.060109
0,RandomForest,0.891708,85636.988837,69747.098479,0.775712,63497.092280,54884.633210,31396.908539,23408.745229,0.946991,0.998796,0.998894,0.945370,0.981627,0.903704,0.934276,0.022482,9962.420140,8240.393167,0.094642,8690.695343,7884.151624,0.000000,0.000000,0.045911,0.001204,0.001106,0.045257,0.018373,0.096296,0.052199
0,CNN+Tf v2 GAP,0.920955,72970.381464,54848.049153,0.913843,42355.169080,33223.731545,33460.647967,25636.630125,0.949074,0.997047,0.996777,0.949074,0.992366,0.903704,0.941050,0.017005,7383.640318,4795.363708,0.015343,3410.295153,2752.404442,0.000000,0.000000,0.050926,0.002953,0.003223,0.050926,0.007634,0.096296,0.058950
0,AlexNet,0.888237,86274.849748,66399.365917,0.793704,66047.737964,53831.626198,45760.328566,36579.619990,0.944444,0.999331,0.999343,0.944444,1.000000,0.888889,0.933734,0.025622,8876.306368,5715.388105,0.031276,6880.167787,4374.495605,0.000000,0.000000,0.054173,0.000669,0.000657,0.054173,0.000000,0.108345,0.064878
0,Ensemble simple equal,0.912451,76766.805169,57622.242188,0.891036,48807.266214,38363.236063,34762.097842,26449.738712,0.946296,0.999239,0.999258,0.946296,1.000000,0.892593,0.935982,0.019479,8182.138432,6103.120392,0.015789,8204.930540,5844.091156,0.000000,0.000000,0.053704,0.000761,0.000742,0.053704,0.000000,0.107407,0.064018
0,Ensemble inner holdout,0.913527,76196.908085,57093.686093,0.897599,47436.499973,37017.674816,34334.352797,25710.243384,0.947222,0.998951,0.998956,0.947222,1.000000,0.894444,0.937294,0.020199,8488.752791,5999.132533,0.013997,8066.427676,6013.477309,0.000000,0.000000,0.052778,0.001049,0.001044,0.052778,0.000000,0.105556,0.062706
-4,RandomForest,0.893946,84911.070284,70066.085829,0.771811,64622.759488,57351.452562,33801.481844,26273.941437,0.946065,0.998817,0.998913,0.944444,0.981627,0.901852,0.933007,0.019993,9129.672744,7861.614002,0.091238,8574.410287,8089.895838,0.000000,0.000000,0.046833,0.001183,0.001087,0.046176,0.018373,0.098148,0.053453
-4,CNN+Tf v2 GAP,0.915995,75741.990255,56552.953912,0.915535,42192.526338,33499.149596,25964.207864,20028.025438,0.974074,0.998889,0.998858,0.974074,0.997835,0.950000,0.972056,0.011954,5424.583743,4341.516209,0.019522,7871.778619,6118.608019,0.000000,0.000000,0.025926,0.001111,0.001142,0.025926,0.002165,0.050000,0.027944
-4,AlexNet,0.897419,82920.214202,61531.823261,0.855125,57570.690487,45934.815753,43559.256556,34155.318083,0.948148,0.999444,0.999454,0.948148,1.000000,0.896296,0.938596,0.019174,6575.555631,2948.317217,0.016271,11354.047539,8908.614184,0.000000,0.000000,0.051852,0.000556,0.000546,0.051852,0.000000,0.103704,0.061404
-4,Ensemble simple equal,0.916603,75173.017242,55946.753785,0.899423,46334.537033,37146.456498,30644.715687,20697.878764,0.950926,0.999609,0.999621,0.950926,1.000000,0.901852,0.942454,0.015619,6734.202725,5656.289000,0.026535,10363.217894,7745.549575,0.000000,0.000000,0.049074,0.000391,0.000379,0.049074,0.000000,0.098148,0.057546
