snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
no_noise,1,rf,near_onb_below_val0120,120,266907.6965,67763.328125,199144.36837500002,group_occlusion,heat_flux_change,nan,-40452.6328125,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
no_noise,1,rf,near_onb_above_val0180,180,368978.105,352261.59375,16716.51124999998,group_occlusion,heat_flux_change,nan,244045.6328125,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
no_noise,1,rf,false_negative_val0238,238,368978.105,288385.25,80592.85499999998,group_occlusion,heat_flux_change,nan,180169.2890625,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,112,0.5022321428571429
no_noise,1,rf,worst_prediction_val0134,134,266907.6965,55336.3671875,211571.32931250002,group_occlusion,heat_flux_change,nan,-52879.59375,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
no_noise,1,rf,low_heatflux_val0060,60,20979.71604,83632.9453125,62653.2292725,group_occlusion,heat_flux_change,nan,-24583.015625,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,0,0.002232142857142857
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,170727.265625,96180.43087500002,integrated_gradients,heat_flux,-2635277.75,-521643.109375,-2113634.640625,4.051878770444077,516656.89453125,431545.03125,85111.86328125,526211.8046875,431545.03125,94666.7734375,39,529.0178571428571,197,0.8816964285714286
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,170727.265625,96180.43087500002,group_occlusion,heat_flux_change,nan,-521643.109375,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,352624.9375,16353.167499999981,integrated_gradients,heat_flux,2882336256.0,-339745.4375,2882676001.4375,8484.811518440185,787545.578125,522497.46875,265048.109375,515387.16718750005,522497.46875,-7110.301562499953,167,2243.3035714285716,87,0.390625
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,352624.9375,16353.167499999981,group_occlusion,heat_flux_change,nan,-339745.4375,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
no_noise,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,280990.125,87987.97999999998,integrated_gradients,heat_flux,-192378352.0,-411380.25,-191966971.75,466.6411957064054,657450.3046875,486680.09375,170770.2109375,504512.4609375,486680.09375,17832.3671875,167,2243.3035714285716,143,0.640625
no_noise,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,280990.125,87987.97999999998,group_occlusion,heat_flux_change,nan,-411380.25,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
no_noise,1,cnntf_v2_gap,worst_prediction_val0128,128,266907.6965,24929.9453125,241977.75118750002,integrated_gradients,heat_flux,-1803934.375,-667440.4296875,-1136493.9453125,1.702764613532048,540091.2541503906,358649.9423828125,181441.31176757812,503756.7118164062,358649.9423828125,145106.76943359373,42,569.1964285714286,85,0.38169642857142855
no_noise,1,cnntf_v2_gap,worst_prediction_val0128,128,266907.6965,24929.9453125,241977.75118750002,group_occlusion,heat_flux_change,nan,-667440.4296875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,26187.2890625,5207.573022500001,integrated_gradients,heat_flux,-8489989.0,-666183.0859375,-7823805.9140625,11.744227794454263,522649.67500000005,359282.46875,163367.20625000005,494950.4234375,359282.46875,135667.95468750002,42,569.1964285714286,197,0.8816964285714286
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,26187.2890625,5207.573022500001,group_occlusion,heat_flux_change,nan,-666183.0859375,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
no_noise,1,alexnet,near_onb_below_val0120,120,266907.6965,110213.1796875,156694.51681250002,integrated_gradients,heat_flux,-5621392.0,-192253.6015625,-5429138.3984375,28.23946263848032,1459189.1806640625,206339.91015625,1252849.2705078125,966118.3386718751,206339.91015625,759778.4285156251,41,555.8035714285714,48,0.21651785714285715
no_noise,1,alexnet,near_onb_below_val0120,120,266907.6965,110213.1796875,156694.51681250002,grad_cam,relative_importance,nan,-192253.6015625,nan,nan,1072344.3259765625,206339.91015625,866004.4158203125,807950.966796875,206339.91015625,601611.056640625,84,1131.6964285714287,215,0.9620535714285714
no_noise,1,alexnet,near_onb_below_val0120,120,266907.6965,110213.1796875,156694.51681250002,group_occlusion,heat_flux_change,nan,-192253.6015625,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,56,0.25223214285714285
