snr,model,n,n_relative_error_gt_005,median_relative_error,max_relative_error,median_absolute_error,median_output_delta_abs
-12,alexnet,15,15,1161.9638972558423,1164811.0541889083,188844006.59375,236324.421875
-12,cnntf_v2_gap,15,15,774.4703229822807,3913446.021369871,288563346.453125,372594.453125
-16,alexnet,15,15,838.4403040630647,508875.7992385391,349305818.1796875,313260.046875
-16,cnntf_v2_gap,15,15,2309.59410977723,3340557.9529923783,813058645.6484375,510272.46875
-20,alexnet,15,15,6267.70627638369,3802015.918910177,1401898136.875,241760.03125
-20,cnntf_v2_gap,15,15,4699.154149460826,2606177.8448310536,1928174270.109375,360709.2312011719
-4,alexnet,15,15,120.58075912491056,1255259.8686889228,41298085.078125,230618.765625
-4,cnntf_v2_gap,15,15,267.8334653741326,1723260.618516622,90769785.5703125,332012.5625
-8,alexnet,15,15,1259.3301969795257,1719408.8822096048,234604597.15625,272165.5390625
-8,cnntf_v2_gap,15,15,219.02182359822064,1442843.712376501,82729956.71875,303852.234375
0,alexnet,15,15,150.8231340392676,1240783.8279481828,27512696.859375,241850.203125
0,cnntf_v2_gap,15,15,60.65474329147922,1706674.254970089,24043983.3046875,337608.25
no_noise,alexnet,15,15,1753.67303243299,1703160.7127922378,304961877.0625,192253.6015625
no_noise,cnntf_v2_gap,15,15,270.6733294354307,3707583.0614965926,68015779.640625,333844.890625
