snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9978191301235547,0.9981731518891539,0.08668923387355976
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.9977171018288604,0.9980866846704206,0.08880251440440376
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999577493050265,0.9999597923527579,0.021900977689893384
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999568537155412,0.9999589987836085,0.02198192046670172
no_noise,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,1,0.01,0.9999717682845326,0.9999716154178002,0.03154765608240872
no_noise,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,2,0.01,0.9999723859930548,0.9999722056748447,0.031161249359705906
no_noise,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,1,0.01,0.997267535117543,0.9978163320783493,0.08389437046997487
no_noise,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,2,0.01,0.9970564895415246,0.9976429982164766,0.0857241802391465
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9989516949060875,0.9991557156324253,0.05273152306912899
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.9989797421567302,0.9991788304788674,0.05172153299839144
no_noise,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.9959385411786492,0.9963460873097467,0.13239481902517328
no_noise,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9956483195692821,0.9960969029526446,0.1382064922685892
no_noise,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999526426746365,0.9999547592275384,0.02207332847858974
no_noise,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.999952267274102,0.9999544175597185,0.02203292851834663
no_noise,1,alexnet,false_negative_val0230,integrated_gradients,1,0.01,0.999980424144865,0.9999801093870088,0.029975403515377048
no_noise,1,alexnet,false_negative_val0230,integrated_gradients,2,0.01,0.9999802537784148,0.9999798989092199,0.030019728716310076
no_noise,1,alexnet,worst_prediction_val0135,integrated_gradients,1,0.01,0.994372867557637,0.9951166829272687,0.1353522046295116
