snr,model_a,model_b,pearson
no_noise,rf,cnntf_v2_gap,0.8425606342247075
no_noise,rf,alexnet,0.7985297350690818
no_noise,cnntf_v2_gap,alexnet,0.9477007646841893
0,rf,cnntf_v2_gap,0.8931318374433913
0,rf,alexnet,0.7781659610224538
0,cnntf_v2_gap,alexnet,0.8963845177428366
-4,rf,cnntf_v2_gap,0.8328634563153435
-4,rf,alexnet,0.7093286712648685
-4,cnntf_v2_gap,alexnet,0.8250263711988075
-8,rf,cnntf_v2_gap,0.8670477543442975
-8,rf,alexnet,0.7373065858030268
-8,cnntf_v2_gap,alexnet,0.9024998695340528
-12,rf,cnntf_v2_gap,0.8400638207732969
-12,rf,alexnet,0.7874638174695827
-12,cnntf_v2_gap,alexnet,0.8979665715378798
-16,rf,cnntf_v2_gap,0.891671134339114
-16,rf,alexnet,0.8016216164868055
-16,cnntf_v2_gap,alexnet,0.9453335714913537
-20,rf,cnntf_v2_gap,0.881189443374757
-20,rf,alexnet,0.8971998473003151
-20,cnntf_v2_gap,alexnet,0.9521127022226004
