snr,fold,fit_id,training_wavs,validation_wavs,overlap,inner_holdout_errors_json
no_noise,1,40755531cf6c,12,6,0,"{""rf"": 0.1410531369679181, ""cnntf_v2_gap"": 0.06119352619303453, ""alexnet"": 0.1210692625680928}"
no_noise,2,bc27251ce6d6,12,6,0,"{""rf"": 0.31607515714580914, ""cnntf_v2_gap"": 0.18547632824322502, ""alexnet"": 0.23986991622178044}"
no_noise,3,d7761ce8674c,12,6,0,"{""rf"": 0.13661007864642627, ""cnntf_v2_gap"": 0.07543435398762421, ""alexnet"": 0.08413070530682132}"
0,1,78805ed508d3,12,6,0,"{""rf"": 0.14050507217170605, ""cnntf_v2_gap"": 0.061270563599239325, ""alexnet"": 0.11406865901655328}"
0,2,436cdc7ff9f9,12,6,0,"{""rf"": 0.3230210106062307, ""cnntf_v2_gap"": 0.22903858185666903, ""alexnet"": 0.2857961219438061}"
0,3,54fac48685ed,12,6,0,"{""rf"": 0.13558436505656513, ""cnntf_v2_gap"": 0.08692134247399308, ""alexnet"": 0.08170001271285543}"
-4,1,84e4a029702a,12,6,0,"{""rf"": 0.1416885316593418, ""cnntf_v2_gap"": 0.07652631091598316, ""alexnet"": 0.11292936180328517}"
-4,2,2a9aad63c8eb,12,6,0,"{""rf"": 0.3251921200435607, ""cnntf_v2_gap"": 0.18949344743615648, ""alexnet"": 0.25493720241549067}"
-4,3,50588e5b4307,12,6,0,"{""rf"": 0.1346279539646016, ""cnntf_v2_gap"": 0.09127869208859019, ""alexnet"": 0.06875080416696666}"
-8,1,ad8e3d7bc478,12,6,0,"{""rf"": 0.14727072721803625, ""cnntf_v2_gap"": 0.0845980612894528, ""alexnet"": 0.11665974045221905}"
-8,2,86f1e8445753,12,6,0,"{""rf"": 0.3197946111583406, ""cnntf_v2_gap"": 0.2591043558476319, ""alexnet"": 0.2269634585245106}"
-8,3,588f8de3e7c6,12,6,0,"{""rf"": 0.14291431220463546, ""cnntf_v2_gap"": 0.0874706832940415, ""alexnet"": 0.07404647275427578}"
-12,1,867af30b92ee,12,6,0,"{""rf"": 0.15011138458579776, ""cnntf_v2_gap"": 0.10564756940183084, ""alexnet"": 0.14079111727577043}"
-12,2,3935d75b6fcb,12,6,0,"{""rf"": 0.32268732374316744, ""cnntf_v2_gap"": 0.2234947136723111, ""alexnet"": 0.24657054793554067}"
-12,3,bccb685a2ca4,12,6,0,"{""rf"": 0.1505869687619552, ""cnntf_v2_gap"": 0.06710284016815127, ""alexnet"": 0.07794886885769681}"
-16,1,458fdc795561,12,6,0,"{""rf"": 0.14901530315392764, ""cnntf_v2_gap"": 0.11511156417509993, ""alexnet"": 0.1649415121059219}"
-16,2,77e4aa7c2915,12,6,0,"{""rf"": 0.3185453220341071, ""cnntf_v2_gap"": 0.2491620338378676, ""alexnet"": 0.2642776743223434}"
-16,3,3fda42cea990,12,6,0,"{""rf"": 0.1644972248577834, ""cnntf_v2_gap"": 0.10058503048783907, ""alexnet"": 0.07865601640979669}"
-20,1,37c95be9b58a,12,6,0,"{""rf"": 0.14876792697181807, ""cnntf_v2_gap"": 0.12262022798924799, ""alexnet"": 0.14458413069626586}"
-20,2,7191770a1198,12,6,0,"{""rf"": 0.3219631996220551, ""cnntf_v2_gap"": 0.20464088548403325, ""alexnet"": 0.32527845946647105}"
-20,3,d5c7887c3281,12,6,0,"{""rf"": 0.16527398198942578, ""cnntf_v2_gap"": 0.13835403793250822, ""alexnet"": 0.13724495844842854}"
