snr,model,fold,group,r2_drop
-12,alexnet,1,freq_2000_3000Hz,34.20476078443242
-12,alexnet,2,freq_2000_3000Hz,29.79903889868401
-12,alexnet,3,freq_1000_2000Hz,29.832934470547837
-12,cnntf_v2_gap,1,freq_1000_2000Hz,3.054302971117336
-12,cnntf_v2_gap,2,freq_1000_2000Hz,1.0763322122327847
-12,cnntf_v2_gap,3,freq_1000_2000Hz,3.0540903870554077
-12,rf,1,freq_2000_3000Hz,0.5250939327367339
-12,rf,2,freq_2000_3000Hz,0.5973965833065243
-12,rf,3,freq_2000_3000Hz,0.2885232254429328
-16,alexnet,1,freq_2000_3000Hz,103.84342494805232
-16,alexnet,2,freq_1000_2000Hz,46.200615665121184
-16,alexnet,3,freq_1000_2000Hz,46.558691860148144
-16,cnntf_v2_gap,1,freq_1000_2000Hz,3.4758164785346466
-16,cnntf_v2_gap,2,freq_256_512Hz,0.9320977856540228
-16,cnntf_v2_gap,3,freq_1000_2000Hz,7.237564170982063
-16,rf,1,freq_2000_3000Hz,0.524756270020444
-16,rf,2,freq_2000_3000Hz,0.5947833566061246
-16,rf,3,freq_2000_3000Hz,0.2618343866653159
-20,alexnet,1,freq_2000_3000Hz,74.76676936535084
-20,alexnet,2,freq_2000_3000Hz,16.60840205821295
-20,alexnet,3,freq_1000_2000Hz,44.59695008785208
-20,cnntf_v2_gap,1,freq_256_512Hz,1.571446824719473
-20,cnntf_v2_gap,2,freq_256_512Hz,1.0259941435426456
-20,cnntf_v2_gap,3,freq_2000_3000Hz,1.083478274328454
-20,rf,1,freq_2000_3000Hz,0.5175250103716731
-20,rf,2,freq_2000_3000Hz,0.5863798077978056
-20,rf,3,freq_2000_3000Hz,0.299837797961445
-4,alexnet,1,freq_2000_3000Hz,33.91979250134297
-4,alexnet,2,freq_1000_2000Hz,6.056290710291969
-4,alexnet,3,freq_1000_2000Hz,13.217219926270236
-4,cnntf_v2_gap,1,freq_1000_2000Hz,1.4224521279210296
-4,cnntf_v2_gap,2,freq_256_512Hz,1.716625150265371
-4,cnntf_v2_gap,3,freq_1000_2000Hz,1.76321144014839
-4,rf,1,freq_2000_3000Hz,0.5570017689304332
-4,rf,2,freq_2000_3000Hz,0.5664550561278184
-4,rf,3,freq_2000_3000Hz,0.3303192098497595
-8,alexnet,1,freq_1000_2000Hz,22.052091073607837
-8,alexnet,2,freq_1000_2000Hz,21.788830226483007
-8,alexnet,3,freq_1000_2000Hz,27.167699995227512
-8,cnntf_v2_gap,1,freq_1000_2000Hz,2.491512354911205
-8,cnntf_v2_gap,2,freq_256_512Hz,1.002284869688996
-8,cnntf_v2_gap,3,freq_1000_2000Hz,1.6194231481386367
-8,rf,1,freq_2000_3000Hz,0.5272791463521005
-8,rf,2,freq_2000_3000Hz,0.5832411096562875
-8,rf,3,freq_2000_3000Hz,0.3682790772459471
0,alexnet,1,freq_2000_3000Hz,16.938766561698582
0,alexnet,2,freq_1000_2000Hz,13.811625078475029
0,alexnet,3,freq_1000_2000Hz,10.672575243917596
0,cnntf_v2_gap,1,freq_1000_2000Hz,1.86638128768166
0,cnntf_v2_gap,2,freq_256_512Hz,1.1934250747937898
0,cnntf_v2_gap,3,freq_1000_2000Hz,1.9784900847785836
0,rf,1,freq_2000_3000Hz,0.5581762436952303
0,rf,2,freq_2000_3000Hz,0.4680633461395577
0,rf,3,freq_2000_3000Hz,0.2997014313846785
no_noise,alexnet,1,freq_1000_2000Hz,15.11389081652069
no_noise,alexnet,2,freq_2000_3000Hz,11.321722836442254
no_noise,alexnet,3,freq_1000_2000Hz,11.553900938145304
no_noise,cnntf_v2_gap,1,freq_1000_2000Hz,5.055327385100132
no_noise,cnntf_v2_gap,2,freq_256_512Hz,2.8273280003946835
no_noise,cnntf_v2_gap,3,freq_1000_2000Hz,1.6873131546004188
no_noise,rf,1,freq_2000_3000Hz,0.5652336521662907
no_noise,rf,2,freq_2000_3000Hz,0.5200619660438274
no_noise,rf,3,freq_2000_3000Hz,0.2968410441064443
