snr,fold,model,status,method,physical_interpretation,message
no_noise,1,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
no_noise,2,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
no_noise,3,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
0,1,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
0,2,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
0,3,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-4,1,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-4,2,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-4,3,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-8,1,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-8,2,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-8,3,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-12,1,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-12,2,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-12,3,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-16,1,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-16,2,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-16,3,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-20,1,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-20,2,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
-20,3,rf,complete,xgboost.Booster.predict(pred_contribs=True),not_direct,Exact TreeSHAP contributions were saved in PCA space. Do not label PCA components as physical time/frequency bands; use group_mask_performance.csv for the physical comparison.
