snr,fold,model,samples,required_files_present
no_noise,1,rf,5,True
no_noise,1,cnntf_v2_gap,5,True
no_noise,1,alexnet,5,True
no_noise,2,rf,5,True
no_noise,2,cnntf_v2_gap,5,True
no_noise,2,alexnet,5,True
no_noise,3,rf,5,True
no_noise,3,cnntf_v2_gap,5,True
no_noise,3,alexnet,5,True
0,1,rf,5,True
0,1,cnntf_v2_gap,5,True
0,1,alexnet,5,True
0,2,rf,5,True
0,2,cnntf_v2_gap,5,True
0,2,alexnet,5,True
0,3,rf,5,True
0,3,cnntf_v2_gap,5,True
0,3,alexnet,5,True
-4,1,rf,5,True
-4,1,cnntf_v2_gap,5,True
-4,1,alexnet,5,True
-4,2,rf,5,True
-4,2,cnntf_v2_gap,5,True
-4,2,alexnet,5,True
-4,3,rf,5,True
-4,3,cnntf_v2_gap,5,True
-4,3,alexnet,5,True
-8,1,rf,5,True
-8,1,cnntf_v2_gap,5,True
-8,1,alexnet,5,True
-8,2,rf,5,True
-8,2,cnntf_v2_gap,5,True
-8,2,alexnet,5,True
-8,3,rf,5,True
-8,3,cnntf_v2_gap,5,True
-8,3,alexnet,5,True
-12,1,rf,5,True
-12,1,cnntf_v2_gap,5,True
-12,1,alexnet,5,True
-12,2,rf,5,True
-12,2,cnntf_v2_gap,5,True
-12,2,alexnet,5,True
-12,3,rf,5,True
-12,3,cnntf_v2_gap,5,True
-12,3,alexnet,5,True
-16,1,rf,5,True
-16,1,cnntf_v2_gap,5,True
-16,1,alexnet,5,True
-16,2,rf,5,True
-16,2,cnntf_v2_gap,5,True
-16,2,alexnet,5,True
-16,3,rf,5,True
-16,3,cnntf_v2_gap,5,True
-16,3,alexnet,5,True
-20,1,rf,5,True
-20,1,cnntf_v2_gap,5,True
-20,1,alexnet,5,True
-20,2,rf,5,True
-20,2,cnntf_v2_gap,5,True
-20,2,alexnet,5,True
-20,3,rf,5,True
-20,3,cnntf_v2_gap,5,True
-20,3,alexnet,5,True
