run,experiment,maxfreq,snr,fold,model,evaluation_unit,aggregation,group,axis,low,high,unit,low_index,high_index,n_chunks,n_samples,n_source_wavs,n_onb_samples,base_r2,masked_r2,r2_drop,base_rmse_all,masked_rmse_all,rmse_all_increase,base_mae_all,masked_mae_all,mae_all_increase,base_rmse_onb,masked_rmse_onb,rmse_onb_increase,base_recall,masked_recall,recall_drop,base_f1,masked_f1,f1_drop,base_false_negatives,masked_false_negatives,false_negative_increase,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,3,360,6,6,1,0.9844628733171069,0.986584190312322,-0.0021213169952151167,31425.735689064742,29201.72753765197,-2224.008151412774,28201.687939869804,25500.65803264324,-2701.0299072265625,7594.073749999981,7524.042499999981,-70.03125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,3,5,360,6,6,1,0.9844628733171069,0.9542875231754806,0.03017535014162631,31425.735689064742,53903.563480777266,22477.827791712523,28201.687939869804,48065.878389902355,19864.19045003255,7594.073749999981,22385.97999999998,14791.90625,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,5,10,360,6,6,1,0.9844628733171069,-5.944473519615578,6.928936392932685,31425.735689064742,664384.9150771971,632959.1793881324,28201.687939869804,645425.1023433333,617223.4144034635,7594.073749999981,753289.645,745695.57125,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,10,20,360,6,6,1,0.9844628733171069,-19.24352360360323,20.227986476920336,31425.735689064742,1134339.758368609,1102914.0226795443,28201.687939869804,1106289.909635,1078088.2216951302,7594.073749999981,1338750.4575,1331156.38375,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_2000_5000Hz,frequency,2000.0,5000.0,Hz,20,51,360,6,6,1,0.9844628733171069,-15.157148242430562,16.14161111574767,31425.735689064742,1013403.6284199462,981977.8927308815,28201.687939869804,981321.8054683333,953120.1175284635,7594.073749999981,1157516.7075,1149922.63375,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_5000_10000Hz,frequency,5000.0,10000.0,Hz,51,102,360,6,6,1,0.9844628733171069,-3.5186596356891,4.503122509006207,31425.735689064742,535926.1085237684,504500.37283470365,28201.687939869804,519738.53203083336,491536.84409096354,7594.073749999981,582199.02,574604.94625,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_10000_15000Hz,frequency,10000.0,15000.0,Hz,102,153,360,6,6,1,0.9844628733171069,-0.48610502763998986,1.4705679009570969,31425.735689064742,307344.07969106815,275918.34400200343,28201.687939869804,301661.96953083336,273460.28159096354,7594.073749999981,335897.05125,328302.97750000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,freq_15000_22000Hz,frequency,15000.0,22000.0,Hz,153,224,360,6,6,1,0.9844628733171069,0.848337321350041,0.13612555196706588,31425.735689064742,98183.71513574412,66757.97944667938,28201.687939869804,67830.84295375,39629.1550138802,7594.073749999981,37133.46437499998,29539.390625,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,1,0.9844628733171069,-0.6406838236508416,1.6251466969679487,31425.735689064742,322933.09000485553,291507.3543157908,28201.687939869804,312526.86015583336,284325.17221596354,7594.073749999981,362409.0825,354815.00875000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,1,0.9844628733171069,-3.8340515086837925,4.8185143820009,31425.735689064742,554313.858907552,522888.12321848725,28201.687939869804,532526.6075516667,504324.91961179685,7594.073749999981,668597.23875,661003.165,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,1,0.9844628733171069,-0.4690576849795589,1.453520558296666,31425.735689064742,305576.199211742,274150.46352267725,28201.687939869804,289875.33671833336,261673.64877846357,7594.073749999981,380156.2075,372562.13375000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.8571428571428571,-0.05714285714285705,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,source_wav,median,time_4,time,0.75,1.0,s,168,224,360,6,6,1,0.9844628733171069,0.4056634062571097,0.5787994670599972,31425.735689064742,194364.22703876637,162938.49134970162,28201.687939869804,177129.18958291668,148927.50164304688,7594.073749999981,264501.17625,256907.10250000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,1.0,-0.19999999999999996,1,0,-1,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/group_mask_performance.csv
