run,experiment,maxfreq,snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,near_onb_below_val0120,120,266907.6965,145259.328125,121648.36837500002,integrated_gradients,heat_flux,675502.6875,-45135.6875,720638.375,15.96604405327824,1642357.3304687499,167827.1640625,1474530.1664062499,1380052.2472656248,167827.1640625,1212225.0832031248,5,540.1785714285714,38,0.171875,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,near_onb_above_val0180,180,368978.105,385697.125,16719.02000000002,integrated_gradients,heat_flux,544361728.0,195302.109375,544166425.890625,2786.280330673592,2519968.621875,288046.8671875,2231921.7546875,2500391.461328125,288046.8671875,2212344.594140625,23,2308.035714285714,66,0.296875,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,false_negative_val0231,231,368978.105,284037.5,84940.60499999998,integrated_gradients,heat_flux,-56832060.0,93642.484375,-56925702.484375,607.9046584925145,1912350.89296875,237216.6640625,1675134.22890625,1869559.391015625,237216.6640625,1632342.726953125,23,2308.035714285714,167,0.7477678571428571,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,worst_prediction_val0145,145,266907.6965,114162.6796875,152745.01681250002,integrated_gradients,heat_flux,-549440.125,-76232.3359375,-473207.7890625,6.207441805934756,1637140.9318359373,152278.81640625,1484862.1154296873,1219942.1296875,152278.81640625,1067663.31328125,5,540.1785714285714,16,0.07366071428571429,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,alexnet,low_heatflux_val0060,60,20979.71604,-12403.990234375,33383.706274375,integrated_gradients,heat_flux,-62982.75,-202799.005859375,139816.255859375,0.6894326491734701,1676195.4338134765,88995.48095703125,1587199.9528564452,1336207.1369628906,88995.48095703125,1247211.6560058594,9,933.0357142857143,38,0.171875,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,178136.625,88771.07150000002,integrated_gradients,heat_flux,-983067.5625,95371.0234375,-1078438.5859375,11.307822303534772,218981.11328125,130440.12109375,88540.9921875,311683.8986328125,130440.12109375,181243.7775390625,5,540.1785714285714,164,0.734375,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,394928.5625,25950.45750000002,integrated_gradients,heat_flux,-1831550976.0,312162.9609375,-1831863138.9609375,5868.291143380415,349960.719921875,238863.44140625,111097.27851562499,361372.3275390625,238863.44140625,122508.88613281248,23,2308.035714285714,1,0.006696428571428571,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,false_negative_val0230,230,368978.105,295094.0,73884.10499999998,integrated_gradients,heat_flux,-410573472.0,212328.3984375,-410785800.3984375,1934.6719676753673,309043.351953125,188913.56640625,120129.78554687498,347096.1478515625,188913.56640625,158182.58144531248,23,2308.035714285714,142,0.6361607142857143,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,worst_prediction_val0141,141,266907.6965,83345.78125,183561.91525000002,integrated_gradients,heat_flux,-1326904.0,580.1796875,-1327484.1796875,2288.056973189875,199072.55546875,83070.33984375,116002.21562500001,303753.7720703125,83070.33984375,220683.43222656252,5,540.1785714285714,142,0.6361607142857143,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,53018.50390625,32038.78786625,integrated_gradients,heat_flux,-1973149.75,-29747.09765625,-1943402.65234375,65.33083243283845,245980.8287109375,67895.1015625,178085.7271484375,278122.4958984375,67895.1015625,210227.3943359375,5,540.1785714285714,198,0.8861607142857143,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,near_onb_below_val0060,60,221505.1102,168906.796875,52598.313324999996,integrated_gradients,heat_flux,100241.0078125,-5258.859375,105499.8671875,20.061359253878123,1247325.134375,171536.421875,1075788.7125,769226.1976562501,171536.421875,597689.7757812501,5,540.1785714285714,112,0.5022321428571429,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv
