run,experiment,maxfreq,snr,created_at,run_hash,completion,completion_marker,new_schema,wav_metrics_present,fold_prediction_files,run_manifest
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,no_noise,2026-09-03T15:46:31,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,no_noise,2026-09-03T17:26:46,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,2026-09-03T19:08:09,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,2026-09-03T12:35:04,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,no_noise,2026-09-03T14:09:29,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-12,2026-09-03T16:43:31,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-12,2026-09-03T18:24:35,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-12,2026-09-03T20:06:41,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-12,2026-09-03T13:28:48,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,-12,2026-09-03T15:04:41,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-16,2026-09-03T16:57:56,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-16,2026-09-03T18:39:15,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-16,2026-09-03T20:21:24,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-16,2026-09-03T13:42:18,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,-16,2026-09-03T15:18:33,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-20,2026-09-03T17:12:19,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-20,2026-09-03T18:53:44,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,2026-09-03T20:36:10,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,2026-09-03T13:55:51,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,-20,2026-09-03T15:32:26,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-4,2026-09-03T16:14:55,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-4,2026-09-03T17:55:37,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-4,2026-09-03T19:37:18,b7a267,saved_metrics_present,False,False,True,3,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json
