day,role,feature,heat_flux,q_ratio,threshold_db,median_db,n,kept
2025.06.11_0.3_2,training,band_500_1000_db,0.000328047,8.890690140001667e-10,-61.716375656186955,-81.17663378673086,60,0
2025.06.11_0.3_2,training,band_500_1000_db,2355.33535,0.0063834013945082,-61.716375656186955,-78.909135939918,60,0
2025.06.11_0.3_2,training,band_500_1000_db,20979.71604,0.0568589728108663,-61.716375656186955,-79.14136940267309,60,0
2025.06.11_0.3_2,training,band_500_1000_db,57593.31665,0.1560887106024895,-61.716375656186955,-78.84064207726266,60,0
2025.06.11_0.3_2,training,band_500_1000_db,111264.7017,0.3015482495905821,-61.716375656186955,-79.25229657380918,60,0
2025.06.11_0.3_2,training,band_500_1000_db,144324.2618,0.391145869752895,-61.716375656186955,-79.56386863392632,60,0
2025.06.11_0.3_2,training,band_500_1000_db,181378.003,0.49156847125116,-61.716375656186955,-79.75401779239196,60,0
2025.06.11_0.3_2,training,band_500_1000_db,221505.1102,0.6003204721320795,-61.716375656186955,-81.34092646665201,60,0
2025.06.11_0.3_2,training,band_500_1000_db,266907.6965,0.7233700127003472,-61.716375656186955,-71.37807364093456,60,0
2025.06.11_0.3_2,training,band_500_1000_db,315466.1173,0.854972457783098,-61.716375656186955,-66.92844327597831,60,6
2025.06.11_0.3_2,training,band_500_1000_db,368978.105,1.0,-61.716375656186955,-61.49828615309579,60,31
2025.06.11_0.3_2,training,band_500_1000_db,427276.195,1.1579987788164288,-61.716375656186955,-53.86739905577484,60,60
2025.06.11_0.3_2,training,band_500_1000_db,489453.9981,1.3265123091788875,-61.716375656186955,-50.73415402702065,60,60
2025.06.11_0.3_2,training,band_500_1000_db,554196.3218,1.501976172271794,-61.716375656186955,-47.88314183132168,60,60
2025.06.11_0.3_2,training,band_500_1000_db,624442.5514,1.6923566546042077,-61.716375656186955,-46.14042779789939,60,60
2025.06.11_0.3_2,training,band_500_1000_db,698421.296,1.8928529539713477,-61.716375656186955,-44.657054167870335,60,60
2025.06.11_0.3_2,training,band_500_1000_db,776647.2223,2.104859913842313,-61.716375656186955,-43.56483622348986,60,60
2025.06.11_0.3_2,training,band_500_1000_db,859343.9142,2.3289834886002247,-61.716375656186955,-42.47254793402813,60,60
2025.06.11_0.3_2,training,band_1000_2000_db,0.000328047,8.890690140001667e-10,-57.85305501588399,-81.15029058360004,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,2355.33535,0.0063834013945082,-57.85305501588399,-78.5350476371094,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,20979.71604,0.0568589728108663,-57.85305501588399,-78.6072576149172,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,57593.31665,0.1560887106024895,-57.85305501588399,-78.53009095137756,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,111264.7017,0.3015482495905821,-57.85305501588399,-78.67805048460563,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,144324.2618,0.391145869752895,-57.85305501588399,-78.98632370598347,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,181378.003,0.49156847125116,-57.85305501588399,-79.39406640370665,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,221505.1102,0.6003204721320795,-57.85305501588399,-81.67868071989139,60,0
2025.06.11_0.3_2,training,band_1000_2000_db,266907.6965,0.7233700127003472,-57.85305501588399,-68.28653885903057,60,0
