experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.18_0.3_3,index=1.0,0,0.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0000.npy,376320.1201,-3.773383149491613e-12,1.2861079197612777e-08,-84.03705340806569,-84.6789066838241,-87.11199143000127,-89.24473075295899,-91.16231228543414,-93.9718011760428,-89.54985166864273,-81.84465263609056,-85.0384373123646
2025.06.18_0.3_3,index=1.0,1,1.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0001.npy,376320.1201,-3.773383149491613e-12,1.1781515952686788e-08,-83.98584296836566,-85.03665572995428,-87.54860976020203,-90.6620866842124,-92.29110049477411,-94.47503260268176,-89.67811590696311,-82.40121724142352,-85.82181785818437
2025.06.18_0.3_3,index=1.0,2,2.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0002.npy,376320.1201,-3.773383149491613e-12,1.2180404942690316e-08,-84.05774016956626,-84.90913754938923,-87.59445611328303,-90.17124498746277,-91.46689330373974,-94.24449262283551,-89.4268568568819,-82.2690923389075,-85.6841797751971
2025.06.18_0.3_3,index=1.0,3,3.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0003.npy,376320.1201,-3.773383149491613e-12,1.2195743113612552e-08,-83.9798518230607,-85.01168576763396,-87.46909649623268,-90.02519747454807,-91.96667870354554,-94.30154225644337,-89.64894385271435,-82.26288613861905,-85.55144662093012
2025.06.18_0.3_3,index=1.0,4,4.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0004.npy,376320.1201,-3.773383149491613e-12,1.219755634036904e-08,-83.8774979656958,-84.90760782737831,-87.46843381995706,-90.33031869745506,-91.9627605586968,-94.22216383763262,-89.65440859864906,-82.25608125658442,-85.65748386918332
2025.06.18_0.3_3,index=1.0,5,5.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0005.npy,376320.1201,-3.773383149491613e-12,1.1822325231464881e-08,-84.09538441424712,-84.849714694698,-87.67375730501975,-91.09506853542655,-92.15312057638047,-94.27170133723594,-89.40013413764942,-82.3963123469778,-86.04557300169733
2025.06.18_0.3_3,index=1.0,6,6.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0006.npy,376320.1201,-3.773383149491613e-12,1.1611069909281294e-08,-84.27855263336163,-85.17796215024435,-87.78844306707651,-90.01326158731379,-91.96764420380632,-94.63013556726933,-89.49994627836045,-82.4440903194327,-85.74961629313059
2025.06.18_0.3_3,index=1.0,7,7.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0007.npy,376320.1201,-3.773383149491613e-12,1.1634213573876566e-08,-84.03151966626271,-85.04547377685059,-88.07147707324405,-90.57336396176966,-92.3004170038636,-95.21614793122296,-89.66287637309864,-82.54559569138762,-86.13439693247369
2025.06.18_0.3_3,index=1.0,8,8.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0008.npy,376320.1201,-3.773383149491613e-12,1.1315825809258698e-08,-84.39808922969328,-85.17009147166719,-87.94165694979512,-90.32488153892874,-92.1763707184964,-95.03005930581132,-89.30823348171307,-82.53749514966232,-85.96150359883795
2025.06.18_0.3_3,index=1.0,9,9.0,1,-1.42E-06,-1.42E-06_src-index=1.0_chunk-0009.npy,376320.1201,-3.773383149491613e-12,1.0876763828324733e-08,-84.43148963106148,-85.47104278331324,-88.28771595776547,-90.65470237420051,-91.96126970611257,-95.22410517143443,-89.82381228304887,-82.85620133251014,-86.30160990874323
