evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary
source_wav_pooled_oof,rf,mean,18,1,held_out_experiment_day,0.87379109939175592,96740.692886355755,85042.925093044163,0.68490023207006567,91613.087121726814,79583.992233072902,8261.8535979166627,8261.8535979166627,1,1,1,1,1,1,1,1
source_wav_pooled_oof,rf,median,18,1,held_out_experiment_day,0.84386617626509541,107600.1061228294,94990.107970648343,0.6375288169339256,98258.520135104511,85436.583671875007,18823.614275,18823.614275,1,1,1,1,1,1,1,1
source_wav_pooled_oof,rf,p90,18,1,held_out_experiment_day,0.76627417701268952,131648.9957708086,116226.93668314832,0.084298060716617496,156174.65070457148,137176.12703124998,61717.22365,61717.22365,1,1,1,0.88888888888888884,0.80000000000000004,1,0.88888888888888884,0.90000000000000002
source_wav_pooled_oof,cnntf_v2_gap,mean,18,1,held_out_experiment_day,-0.50810219789221689,334410.25593239057,302138.74437979184,-6.028800564237959,432687.2387258861,421718.4140197917,356577.53198333335,356577.53198333335,1,1,1,0.94444444444444442,0.88888888888888884,1,0.94117647058823528,0.95000000000000007
source_wav_pooled_oof,cnntf_v2_gap,median,18,1,held_out_experiment_day,-0.52358971914251584,336122.99026337202,297637.36344807886,-6.1942550140180099,437750.23751186498,427165.42430625,384739.22365,384739.22365,1,1,1,1,1,1,1,1
source_wav_pooled_oof,cnntf_v2_gap,p90,18,1,held_out_experiment_day,-0.85242716841252664,370625.05293051922,345590.49087863439,-7.2682476948670658,469288.82814330619,457858.47118124994,514009.42990000005,514009.42990000005,1,1,1,0.88888888888888884,0.80000000000000004,1,0.88888888888888884,0.90000000000000002
source_wav_pooled_oof,alexnet,mean,18,1,held_out_experiment_day,0.79387458372429553,123631.73802762837,100086.87299709511,0.2170077553819314,144414.96740396545,108102.32159401043,94996.867235416663,94996.867235416663,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,alexnet,median,18,1,held_out_experiment_day,0.78724319217482353,125604.712731256,102273.55989669001,0.21317770950184678,144767.74305748701,108973.7753375,93930.635725,93930.635725,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,alexnet,p90,18,1,held_out_experiment_day,0.81466453446534381,117231.26961153316,93397.717966134442,0.32862196394107701,133726.36542149493,96757.23607187497,9284.5611500000232,9284.5611500000232,1,1,1,1,1,1,1,1
source_wav_pooled_oof,ensemble__performance_kfold,mean,18,1,no_outer_validation_labels_used_for_weights,0.8521538982673188,104705.41458863638,88616.402376284328,0.62058237559314766,100529.20001820642,87017.635352180107,25106.214855783503,25106.214855783503,1,1,1,1,1,1,1,1
source_wav_pooled_oof,ensemble__performance_kfold,median,18,1,no_outer_validation_labels_used_for_weights,0.83484057704233083,110666.42489947579,95745.342004629652,0.6060598031352058,102435.05975583672,89707.193621591607,28507.811377130274,28507.811377130274,1,1,1,1,1,1,1,1
source_wav_pooled_oof,ensemble__performance_kfold,p90,18,1,no_outer_validation_labels_used_for_weights,0.78502122822575049,126258.89683787724,108148.51806874906,0.22692487300173547,143497.49724096846,127694.53127903442,94521.800315604836,94521.800315604836,1,1,1,0.94444444444444442,0.88888888888888884,1,0.94117647058823528,0.95000000000000007
