experiment_name,source_wav_id,heat_flux,n_before,n_retained
2025.06.11_0.3_2,index=1.3.28E-04,0.000328047,60,60
2025.06.11_0.3_2,index=10.3.15E+05,315466.1173,60,60
2025.06.11_0.3_2,index=11.3.69E+05,368978.105,60,52
2025.06.11_0.3_2,index=12.4.27E+05,427276.195,60,60
2025.06.11_0.3_2,index=13.4.89E+05,489453.9981,60,60
2025.06.11_0.3_2,index=14.5.54E+05,554196.3218,60,60
2025.06.11_0.3_2,index=15.6.24E+05,624442.5514,60,60
2025.06.11_0.3_2,index=16.6.98E+05,698421.296,60,60
2025.06.11_0.3_2,index=17.7.77E+05,776647.2223,60,60
2025.06.11_0.3_2,index=18.8.59E+05,859343.9142,60,60
2025.06.11_0.3_2,index=2.2.36E+03,2355.33535,60,60
2025.06.11_0.3_2,index=3.2.10E+04,20979.71604,60,60
2025.06.11_0.3_2,index=4.5.76E+04,57593.31665,60,60
2025.06.11_0.3_2,index=5.1.11E+05,111264.7017,60,60
2025.06.11_0.3_2,index=6.1.44E+05,144324.2618,60,60
2025.06.11_0.3_2,index=7.1.81E+05,181378.003,60,60
2025.06.11_0.3_2,index=8.2.22E+05,221505.1102,60,60
2025.06.11_0.3_2,index=9.2.67E+05,266907.6965,60,60
2025.07.09_0.3_1,index=1.0,6.98060403920294e-05,60,60
2025.07.09_0.3_1,index=10.383287,383287.35455980786,60,60
2025.07.09_0.3_1,index=11.442169,442169.29243200656,60,0
2025.07.09_0.3_1,index=12.505101,505101.26893061603,60,0
2025.07.09_0.3_1,index=13.571694,571694.2524911674,60,17
2025.07.09_0.3_1,index=14.643516,643516.9402884921,60,19
2025.07.09_0.3_1,index=15.720690,720690.9057380507,60,60
2025.07.09_0.3_1,index=16.802409,802409.6877461649,60,60
2025.07.09_0.3_1,index=17.887789,887789.2369537686,60,60
2025.07.09_0.3_1,index=2.2424,2424.7546537583808,60,60
2025.07.09_0.3_1,index=4.59375,59375.420914051836,60,60
2025.07.09_0.3_1,index=6.187171,187171.7169773235,60,60
2025.07.09_0.3_1,index=8.275174,275174.6640882674,60,60
