experiment_name,source_wav_id,heat_flux,n_chunks,band_500_1000_db_median,band_1000_2000_db_median,band_2000_3000_db_median,band_3000_5000_db_median,band_5000_10000_db_median,band_10000_15000_db_median,band_15000_22050_db_median,band_1000_5000_db_median,band_2000_5000_db_median
2025.06.11_0.3_2,index=1.3.28E-04,0.000328047,60,-81.17663378673086,-81.15029058360004,-83.65119714118939,-86.07584600002917,-87.33024263221691,-90.57272638435143,-87.30656591409232,-78.25999101698949,-81.67921134019068
2025.06.11_0.3_2,index=10.3.15E+05,315466.1173,60,-66.92844327597831,-62.604320560200506,-58.752511271201,-78.4826451188842,-74.65857583783162,-84.93363313429103,-83.86586460559,-57.36434876262538,-58.68460557747349
2025.06.11_0.3_2,index=11.3.69E+05,368978.105,60,-61.49828615309579,-55.72227542484123,-49.90831630007787,-67.79490614749052,-59.21152626965571,-70.38275214846459,-70.84725000767617,-48.926156220608775,-49.81528670258848
2025.06.11_0.3_2,index=12.4.27E+05,427276.195,60,-53.86739905577484,-48.83888916823389,-43.948631039925566,-63.38459334986483,-53.96317850236721,-64.64575568783985,-65.48677327792893,-42.69756908363132,-43.903842941126484
2025.06.11_0.3_2,index=13.4.89E+05,489453.9981,60,-50.73415402702065,-45.59918628611797,-40.96325389496242,-59.36046134812999,-49.280885831512045,-60.58174907177779,-60.998732798641115,-39.65027883439407,-40.885803685020484
2025.06.11_0.3_2,index=14.5.54E+05,554196.3218,60,-47.88314183132168,-42.71584669681371,-37.992543117686424,-55.18083387961579,-45.80252214350084,-57.00233861905113,-57.65506600156725,-36.746264574341424,-37.906933239456514
2025.06.11_0.3_2,index=15.6.24E+05,624442.5514,60,-46.14042779789939,-41.221654552507445,-35.60165658485216,-53.047856574607565,-43.17827284927891,-54.843418464451666,-55.81341365809038,-34.475342503472035,-35.52566017260332
2025.06.11_0.3_2,index=16.6.98E+05,698421.296,60,-44.65705416787033,-39.43928922102877,-33.89279868696944,-50.358831905904594,-40.8082515134473,-52.67153833487025,-53.7189035066629,-32.72986303235351,-33.79469799955692
2025.06.11_0.3_2,index=17.7.77E+05,776647.2223,60,-43.56483622348986,-38.25554482077375,-32.55231826981995,-48.46206108165747,-39.006970816320205,-50.92652116719452,-52.33567259679876,-31.409785247403867,-32.43305672474627
2025.06.11_0.3_2,index=18.8.59E+05,859343.9142,60,-42.47254793402813,-37.28283614391798,-31.276994665301295,-46.559583081847485,-37.32129369240411,-49.440798915128994,-51.07289472219597,-30.210331828515173,-31.143691216607003
2025.06.11_0.3_2,index=2.2.36E+03,2355.33535,60,-78.909135939918,-78.5350476371094,-81.4564147974639,-83.33847718317335,-85.18299839811124,-88.97318183938616,-85.73457299894531,-75.8962028006303,-79.28008452971068
2025.06.11_0.3_2,index=3.2.10E+04,20979.71604,60,-79.14136940267309,-78.6072576149172,-81.79618299334555,-83.2429708688268,-85.08689116576514,-88.46646400545848,-85.87051132644523,-75.9724213839381,-79.45212023562975
2025.06.11_0.3_2,index=4.5.76E+04,57593.31665,60,-78.84064207726266,-78.53009095137756,-81.3932153426319,-83.14954287112278,-84.75834315752749,-88.10348060373167,-85.87907085534712,-75.79738904583145,-79.16985354046062
2025.06.11_0.3_2,index=5.1.11E+05,111264.7017,60,-79.25229657380918,-78.67805048460563,-81.53672610084075,-83.21958525985335,-85.31480612812885,-88.7641599738914,-85.78396802387735,-75.9560101684424,-79.29799199310096
2025.06.11_0.3_2,index=6.1.44E+05,144324.2618,60,-79.56386863392632,-78.98632370598347,-81.6573387992886,-83.45346556959672,-85.33636557051659,-88.62616988199505,-85.96003161184015,-76.17934164117698,-79.42226658407253
2025.06.11_0.3_2,index=7.1.81E+05,181378.003,60,-79.75401779239196,-79.39406640370665,-82.07111075410054,-83.81427517373879,-85.53847827085772,-88.9395027267747,-85.96312814578897,-76.56454880997384,-79.83934975825517
2025.06.11_0.3_2,index=8.2.22E+05,221505.1102,60,-81.34092646665201,-81.67868071989139,-84.41200689211009,-85.620569348276,-86.54291248829068,-89.36960004521245,-85.56307197697012,-78.83007469706499,-81.99975092011374
2025.06.11_0.3_2,index=9.2.67E+05,266907.6965,60,-71.37807364093456,-68.28653885903057,-65.04005235143525,-79.78864963757772,-77.22639317777589,-86.45605254446505,-84.53516467834496,-63.18190345582226,-64.89267012861117
2025.06.18_0.3_3,index=1.0,-1.42E-06,60,-84.43236057681305,-85.54463907885513,-88.4003678965079,-91.14943553335597,-92.60939465295377,-95.19713865313805,-89.92647738367504,-83.02796573922782,-86.59534422927871
2025.06.18_0.3_3,index=10.322114,322114.2428,60,-83.85336109533606,-84.39147132620809,-81.9198808086064,-88.63699957407862,-85.27307692991977,-91.8572160775534,-89.01492221153109,-79.41155280248736,-80.98747750452446
2025.06.18_0.3_3,index=11.376320,376320.1201,60,-69.75847330343304,-63.00720932348767,-56.81809246976371,-76.93454818084619,-72.8189146367573,-81.09240803678117,-82.1105129805772,-55.915007182535604,-56.77612807162803
2025.06.18_0.3_3,index=12.434018,434018.0833,60,-57.27270058522426,-51.634776126065105,-47.85122629512274,-65.4664047065659,-58.15543072944969,-69.02276173102652,-72.08988567615039,-46.23319309439692,-47.78966840456687
2025.06.18_0.3_3,index=13.496023,496023.3525,60,-52.4889324984991,-46.906760782931386,-42.8885935600521,-60.223150852356525,-52.15533721838929,-62.74801525329464,-66.20625165982473,-41.170637939120574,-42.78439282342151
