frequency,test_day,test_regime,train_day,train_regime,train_chunks,absolute_log_rmse,centered_shape_rmse,profile_pearson
maxfreq=3kHz,2025.06.18_0.3_3,pre_onb,2025.06.11_0.3_2,pre_onb,600,1.1025236657840196,0.7660800951058542,0.9462117814714462
maxfreq=3kHz,2025.06.18_0.3_3,pre_onb,2025.06.11_0.3_2,onb_positive,480,8.435360845263041,3.4611295662232253,0.8766932560025347
maxfreq=3kHz,2025.06.18_0.3_3,pre_onb,2025.07.09_0.3_1,pre_onb,360,1.6710897278722772,0.8149594012972101,0.9611399403713027
maxfreq=3kHz,2025.06.18_0.3_3,pre_onb,2025.07.09_0.3_1,onb_positive,209,7.244759382404383,3.201280532968866,0.8604203180354514
maxfreq=3kHz,2025.06.18_0.3_3,onb_positive,2025.06.11_0.3_2,pre_onb,600,7.475669988486434,3.0611991717387643,0.9348145811078226
maxfreq=3kHz,2025.06.18_0.3_3,onb_positive,2025.06.11_0.3_2,onb_positive,480,0.3528042299476686,0.34372459421377294,0.9978205398700182
maxfreq=3kHz,2025.06.18_0.3_3,onb_positive,2025.07.09_0.3_1,pre_onb,360,6.786280137631044,2.8600451405768856,0.9325205714439597
maxfreq=3kHz,2025.06.18_0.3_3,onb_positive,2025.07.09_0.3_1,onb_positive,209,1.3398464356781437,0.7445026122074132,0.9905771681253651
maxfreq=22kHz,2025.06.18_0.3_3,pre_onb,2025.06.11_0.3_2,pre_onb,600,1.0178377236784388,0.4081616048032296,0.9509978862556903
maxfreq=22kHz,2025.06.18_0.3_3,pre_onb,2025.06.11_0.3_2,onb_positive,480,8.043821570527781,2.251852739443527,0.6430406954048451
maxfreq=22kHz,2025.06.18_0.3_3,pre_onb,2025.07.09_0.3_1,pre_onb,360,1.0562867170868429,0.8830345441894081,0.8926422437001873
maxfreq=22kHz,2025.06.18_0.3_3,pre_onb,2025.07.09_0.3_1,onb_positive,209,5.913913455313311,2.092213190578168,0.6944462605742093
maxfreq=22kHz,2025.06.18_0.3_3,onb_positive,2025.06.11_0.3_2,pre_onb,600,6.788535586044021,2.2025238236673204,0.736263385764303
maxfreq=22kHz,2025.06.18_0.3_3,onb_positive,2025.06.11_0.3_2,onb_positive,480,0.7842343423979667,0.6922788329918736,0.9729827723165108
maxfreq=22kHz,2025.06.18_0.3_3,onb_positive,2025.07.09_0.3_1,pre_onb,360,7.0783770535548785,2.0531499570465037,0.7393327347856422
maxfreq=22kHz,2025.06.18_0.3_3,onb_positive,2025.07.09_0.3_1,onb_positive,209,2.041851395432079,0.9211567928382391,0.9516463121369807
