frequency,experiment_name,role,source_wav_id,heat_flux,chunks,selected_chunks,log_mean,log_std,log_p95,raw_mean,selected_log_mean,selected_log_std,selected_log_p95,selected_raw_mean
maxfreq=3kHz,2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,60,60,5.089456330259527,2.3958951976662988,7.771035075187683,6.478300003032337e-10,5.089456330259527,2.3958951976662988,7.771035075187683,6.478300003032337e-10
maxfreq=3kHz,2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,60,60,5.873461629313228,3.2228413136049143,12.218537092208862,6.458656848460138e-08,5.873461629313228,3.2228413136049143,12.218537092208862,6.458656848460138e-08
maxfreq=3kHz,2025.06.11_0.3_2,train,index=11.3.69E+05,368978.105,60,60,9.560910745315713,4.447242382019347,14.485619068145752,4.363767632992909e-07,9.560910745315713,4.447242382019347,14.485619068145752,4.363767632992909e-07
maxfreq=3kHz,2025.06.11_0.3_2,train,index=12.4.27E+05,427276.195,60,60,11.051539184982186,4.8884119213406425,15.942296028137207,1.8667527349613097e-06,11.051539184982186,4.8884119213406425,15.942296028137207,1.8667527349613097e-06
maxfreq=3kHz,2025.06.11_0.3_2,train,index=13.4.89E+05,489453.9981,60,60,11.604301091634316,5.06408345379041,16.66762685775757,3.8026883592441207e-06,11.604301091634316,5.06408345379041,16.66762685775757,3.8026883592441207e-06
maxfreq=3kHz,2025.06.11_0.3_2,train,index=14.5.54E+05,554196.3218,60,60,12.221108095439655,5.22515514565786,17.32822823524475,7.437648200521567e-06,12.221108095439655,5.22515514565786,17.32822823524475,7.437648200521567e-06
maxfreq=3kHz,2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,60,60,12.626300734328948,5.336097498620209,17.83732032775879,1.2170381394677435e-05,12.626300734328948,5.336097498620209,17.83732032775879,1.2170381394677435e-05
maxfreq=3kHz,2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,60,60,13.015311218173213,5.424231139795603,18.2380108833313,1.83077307527732e-05,13.015311218173213,5.424231139795603,18.2380108833313,1.83077307527732e-05
maxfreq=3kHz,2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,60,60,13.27732862555666,5.485166767716638,18.5192608833313,2.4590306814208605e-05,13.27732862555666,5.485166767716638,18.5192608833313,2.4590306814208605e-05
maxfreq=3kHz,2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,60,60,13.536060331629892,5.536699453208284,18.795260429382324,3.2158069396148875e-05,13.536060331629892,5.536699453208284,18.795260429382324,3.2158069396148875e-05
maxfreq=3kHz,2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,60,60,5.637924100640991,2.5579054387606956,8.327169060707092,1.1288406732734613e-09,5.637924100640991,2.5579054387606956,8.327169060707092,1.1288406732734613e-09
maxfreq=3kHz,2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,60,60,5.6077247496046,2.5455527254526595,8.31634271144867,1.0977735904980735e-09,5.6077247496046,2.5455527254526595,8.31634271144867,1.0977735904980735e-09
maxfreq=3kHz,2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,60,60,5.650906702098315,2.5585771996503075,8.34900176525116,1.1480746742581302e-09,5.650906702098315,2.5585771996503075,8.34900176525116,1.1480746742581302e-09
