experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,spectrum_method,spectrum_unit,peak_850_1200_psd,peak_850_1200_hz,peak_1250_1650_psd,peak_1250_1650_hz,peak_2100_2500_psd,peak_2100_2500_hz
2025.06.11_0.3_2,index=1.3.28E-04,0,0.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0000.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.7883019982740826e-11,947.4609375,1.5603352620433225e-11,1356.591796875,1.956986604341292e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,1,1.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0001.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.62072865817269e-11,1055.126953125,1.8658233885021247e-11,1356.591796875,2.5542864216329287e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,2,2.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0002.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.3452870554708036e-11,1055.126953125,1.2867326223464927e-11,1356.591796875,1.9354849547523925e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,3,3.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0003.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.2181179194370135e-11,947.4609375,1.1977008905662522e-11,1356.591796875,2.0241610822016335e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,4,4.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0004.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.6405022425999636e-11,947.4609375,1.3518488735031229e-11,1356.591796875,1.853654708041123e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,5,5.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0005.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.1842222649662153e-11,904.39453125,1.1054806742116459e-11,1356.591796875,2.2870927174623262e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,6,6.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0006.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.4011023384698402e-11,947.4609375,1.0727681057344033e-11,1356.591796875,1.9623627762839828e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,7,7.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0007.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.7110384711416782e-11,1055.126953125,1.4463068101484678e-11,1356.591796875,2.134534207220259e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,8,8.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0008.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.0929788418044454e-11,1055.126953125,1.013320905269665e-11,1356.591796875,2.12247955291277e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,9,9.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0009.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.33460938618428e-11,1055.126953125,1.7826948626822153e-11,1356.591796875,2.2078255673178757e-11,2304.052734375
