day,role,region,feature,n,minimum,median,maximum,unit
2025.06.11_0.3_2,train,early_background_q_below_half_ONB,peak_850_1200_psd,420,0.01980259058591372,0.04781636938901644,0.18912953038738778,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,late_pre_ONB,peak_850_1200_psd,180,0.018658429940429905,0.04322211971638583,15.302826860415426,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,ONB_and_above,peak_850_1200_psd,480,0.5250718261817884,225.16473672720267,866.4235449750494,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,early_background_q_below_half_ONB,peak_1250_1650_psd,420,0.009495175056300063,0.02538471512050014,0.06461646141810509,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,late_pre_ONB,peak_1250_1650_psd,180,0.008337159138341434,0.03376050124113131,10.155058294584128,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,ONB_and_above,peak_1250_1650_psd,480,0.5953802425988343,159.06003110267795,694.8237291362078,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,early_background_q_below_half_ONB,peak_2100_2500_psd,420,0.008809520297566589,0.015668057289312774,0.05186789862061868,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,late_pre_ONB,peak_2100_2500_psd,180,0.005998830311137782,0.3305367256364184,35.64705961613607,1e-9 digital amplitude squared / Hz
2025.06.11_0.3_2,train,ONB_and_above,peak_2100_2500_psd,480,7.953158157659416,1123.5625282753924,6792.751916000095,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,early_background_q_below_half_ONB,peak_850_1200_psd,420,0.012334598828242092,0.029586929434165642,0.10795342846352114,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,late_pre_ONB,peak_850_1200_psd,180,0.015713834770076766,0.018908543807327087,19.201255500458807,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,ONB_and_above,peak_850_1200_psd,480,0.022614134905962438,101.50674625083846,312.8556383303658,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,early_background_q_below_half_ONB,peak_1250_1650_psd,420,0.003813131898778428,0.007829058321406564,0.06183095041742815,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,late_pre_ONB,peak_1250_1650_psd,180,0.003155185471440569,0.004882500755267507,32.42836869626532,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,ONB_and_above,peak_1250_1650_psd,480,0.0077290103292901305,185.4481708254117,661.7521640757698,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,early_background_q_below_half_ONB,peak_2100_2500_psd,420,0.003988721914117479,0.010222628872189152,2.0575032648696916,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,late_pre_ONB,peak_2100_2500_psd,180,0.007965251400503555,0.010658774863241221,46.173183260530095,1e-9 digital amplitude squared / Hz
2025.06.18_0.3_3,test_description_only,ONB_and_above,peak_2100_2500_psd,480,0.017270459655498564,808.3509248651478,3860.8882221654208,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,early_background_q_below_half_ONB,peak_850_1200_psd,240,0.08555295853591864,0.15664212853688397,0.9926319938924031,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,late_pre_ONB,peak_850_1200_psd,120,0.09054459311231795,0.1145441574849638,0.21181065097526688,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,ONB_and_above,peak_850_1200_psd,420,0.091297444914881,0.1264738511884552,174.67991638289865,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,early_background_q_below_half_ONB,peak_1250_1650_psd,240,0.023821124781254446,0.046059072323572404,0.4852451002201321,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,late_pre_ONB,peak_1250_1650_psd,120,0.016473968369831088,0.029338072460261395,0.0555069623585113,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,ONB_and_above,peak_1250_1650_psd,420,0.01644454485633782,0.04631316447786296,176.46242063784896,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,early_background_q_below_half_ONB,peak_2100_2500_psd,240,0.02428357707804622,0.06857490966497118,0.328257291814919,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,late_pre_ONB,peak_2100_2500_psd,120,0.028262744519913403,0.038174837247680234,0.09537278706717955,1e-9 digital amplitude squared / Hz
2025.07.09_0.3_1,train,ONB_and_above,peak_2100_2500_psd,420,0.025318752136939862,0.5629123003628359,2238.399500667729,1e-9 digital amplitude squared / Hz
